Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,127.90,127.90,127.90,127.90,000,127.90
2012-12-24,128.25,129.40,127.25,127.90,276000,127.90
2012-12-21,130.95,131.15,127.25,127.90,614400,127.90
2012-12-20,132.55,133.05,130.25,131.95,1060100,131.95
2012-12-19,133.75,135.15,131.50,132.10,479500,132.10
2012-12-18,132.85,134.90,128.50,133.65,927100,133.65
2012-12-17,131.40,133.10,130.45,131.60,650500,131.60
2012-12-14,127.45,131.90,127.10,131.20,634400,131.20
2012-12-13,132.20,133.00,126.70,127.85,518300,127.85
2012-12-12,131.00,133.50,128.60,132.15,611500,132.15
2012-12-11,135.20,137.45,129.00,130.70,970100,130.70
2012-12-10,131.00,136.25,130.20,135.35,943000,135.35
2012-12-07,133.60,134.75,129.20,130.60,1319900,130.60
2012-12-06,128.55,133.50,125.65,132.80,1411000,132.80
2012-12-05,125.50,130.80,124.30,127.60,889400,127.60
2012-12-04,126.00,127.85,123.25,125.25,489100,125.25
2012-12-03,127.95,128.65,125.05,126.80,618000,126.80
2012-11-30,123.10,128.45,123.10,127.60,1300500,127.60
2012-11-29,121.05,124.60,120.80,122.95,659200,122.95
2012-11-28,121.10,121.10,121.10,121.10,000,121.10
2012-11-27,120.60,121.95,120.40,121.10,532200,121.10
2012-11-26,117.75,121.25,117.70,120.20,300000,120.20
2012-11-23,118.80,120.50,117.30,119.20,355200,119.20
2012-11-22,119.00,120.35,117.40,118.50,408100,118.50
2012-11-21,116.90,119.40,115.30,118.55,463600,118.55
2012-11-20,118.35,119.00,115.65,116.40,282800,116.40
2012-11-19,119.50,119.90,116.55,117.80,261300,117.80
2012-11-16,123.65,124.50,118.60,119.30,511500,119.30
2012-11-15,122.30,124.00,120.25,123.25,330700,123.25
2012-11-14,123.35,123.35,123.35,123.35,000,123.35
2012-11-13,123.35,123.35,123.35,123.35,000,123.35
2012-11-12,124.40,125.30,121.10,123.35,560100,123.35
2012-11-09,125.00,127.20,123.50,124.15,1215500,124.15
2012-11-08,119.20,126.45,119.20,125.75,1464900,125.75
2012-11-07,119.55,122.70,119.10,121.30,727500,121.30
2012-11-06,116.25,121.75,116.25,119.75,498700,119.75
2012-11-05,121.50,122.55,118.40,119.75,550300,119.75
2012-11-02,119.00,121.40,117.25,120.90,663600,120.90
2012-11-01,118.00,118.85,116.85,118.10,278200,118.10
2012-10-31,114.05,118.10,113.40,117.65,541900,117.65
2012-10-30,119.00,121.30,114.90,115.65,1232800,115.65
2012-10-29,120.00,121.60,117.35,120.00,1427900,120.00
2012-10-26,121.80,121.80,121.80,121.80,000,121.80
2012-10-25,122.70,123.95,120.60,121.80,1004600,121.80
2012-10-24,122.10,122.10,122.10,122.10,000,122.10
2012-10-23,121.85,123.40,121.05,122.10,1752300,122.10
2012-10-22,123.85,125.90,120.25,121.80,3378300,121.80
2012-10-19,124.45,124.90,122.20,123.55,1536800,123.55
2012-10-18,119.15,124.25,117.65,123.85,1709700,123.85
2012-10-17,121.30,121.80,117.20,118.55,716900,118.55
2012-10-16,121.40,122.40,119.10,120.40,1578100,120.40
2012-10-15,114.65,120.90,114.65,120.25,1488800,120.25
2012-10-12,115.00,118.25,114.15,115.45,1253500,115.45
2012-10-11,113.80,115.90,112.20,114.80,1292700,114.80
2012-10-10,115.05,116.40,113.40,114.00,1016000,114.00
2012-10-09,112.70,116.85,111.75,115.85,1402600,115.85
2012-10-08,114.50,114.50,110.70,111.40,624100,111.40
2012-10-05,114.00,114.30,109.60,113.10,1028200,113.10
2012-10-04,112.40,113.80,112.15,113.45,830700,113.45
2012-10-03,113.50,114.00,110.50,111.65,1489400,111.65
2012-10-02,112.75,112.75,112.75,112.75,000,112.75
2012-10-01,108.05,113.30,108.05,112.75,2017800,112.75
2012-09-28,108.80,110.30,107.85,108.75,959800,108.75
2012-09-27,107.15,109.75,106.15,107.05,2472000,107.05
2012-09-26,102.50,107.35,100.95,106.60,1148000,106.60
2012-09-25,104.55,105.45,101.25,103.40,598000,103.40
2012-09-24,101.40,108.45,101.40,103.40,887900,103.40
2012-09-21,102.75,105.85,102.70,105.20,1307800,105.20
2012-09-20,102.00,104.50,98.60,102.10,1508500,102.10
2012-09-19,102.55,102.55,102.55,102.55,000,102.55
2012-09-18,97.20,103.40,97.20,102.55,1216000,102.55
2012-09-17,96.10,99.80,96.10,98.80,1134900,98.80
2012-09-14,93.25,96.75,93.25,95.55,785900,95.55
2012-09-13,93.90,94.70,92.00,92.65,421800,92.65
2012-09-12,93.50,95.25,93.35,93.60,292800,93.60
2012-09-11,93.65,94.55,93.10,93.95,222500,93.95
2012-09-10,93.60,95.80,93.60,94.65,134600,94.65
2012-09-07,94.65,96.05,93.80,94.55,444600,94.55
2012-09-06,93.80,95.15,93.30,94.00,278000,94.00
2012-09-05,97.50,97.50,93.65,94.35,362300,94.35
2012-09-04,93.70,96.90,93.35,96.30,211500,96.30
2012-09-03,94.00,94.50,93.40,93.60,105200,93.60
2012-08-31,94.00,95.60,92.55,93.05,218700,93.05
2012-08-30,92.35,95.20,91.30,94.15,198900,94.15
2012-08-29,93.00,93.70,92.00,92.55,175400,92.55
2012-08-28,93.05,93.30,91.00,92.35,245800,92.35
2012-08-27,94.70,94.70,92.55,93.30,277500,93.30
2012-08-24,95.50,95.50,93.35,94.45,154400,94.45
2012-08-23,97.20,97.20,95.00,95.30,184500,95.30
2012-08-22,97.00,97.50,95.30,96.00,122300,96.00
2012-08-21,96.50,98.00,95.40,97.50,181000,97.50
2012-08-20,96.15,96.15,96.15,96.15,000,96.15
2012-08-17,99.00,99.00,95.90,96.15,251600,96.15
2012-08-16,97.00,98.90,97.00,97.60,264700,97.60
2012-08-15,97.20,97.20,97.20,97.20,000,97.20
2012-08-14,96.10,97.95,94.75,97.20,361200,97.20
2012-08-13,93.50,96.00,92.00,94.45,401500,94.45
2012-08-10,94.05,94.80,93.25,93.90,299700,93.90
2012-08-09,96.40,96.80,93.45,94.75,554800,94.75
2012-08-08,97.70,98.40,95.70,96.05,360500,96.05
2012-08-07,97.75,98.50,96.50,97.60,216000,97.60
2012-08-06,99.80,99.80,96.35,96.85,394100,96.85
2012-08-03,97.05,97.75,95.25,96.60,305500,96.60
2012-08-02,99.00,100.05,97.80,98.40,195000,98.40
2012-08-01,98.20,99.65,97.00,99.25,556800,99.25
2012-07-31,98.50,100.00,95.00,98.10,1014400,98.10
2012-07-30,93.00,99.15,93.00,97.70,1874000,97.70
2012-07-27,95.90,100.25,91.05,92.20,1062600,92.20
2012-07-26,98.00,98.45,93.50,94.65,380000,94.65
2012-07-25,98.10,98.90,97.00,97.95,290400,97.95
2012-07-24,98.60,99.30,97.50,98.75,231200,98.75
2012-07-23,99.55,99.60,97.20,98.30,331300,98.30
2012-07-20,101.45,101.60,100.00,100.20,256000,100.20
2012-07-19,102.65,103.50,101.25,101.50,286900,101.50
2012-07-18,103.10,103.10,100.75,101.60,300400,101.60
2012-07-17,103.95,104.00,102.15,102.40,204200,102.40
2012-07-16,104.10,104.85,102.70,103.05,384100,103.05
2012-07-13,104.25,105.50,103.50,104.05,355700,104.05
2012-07-12,104.85,105.65,103.50,104.00,342400,104.00
2012-07-11,107.40,107.60,105.40,106.00,581300,106.00
2012-07-10,108.50,110.50,108.35,110.25,388800,106.45
2012-07-09,109.50,109.50,107.50,108.15,375700,104.42
2012-07-06,110.30,111.00,108.85,109.15,495300,105.39
2012-07-05,109.10,110.80,107.75,110.15,570100,106.35
2012-07-04,107.60,108.70,107.15,108.30,305100,104.57
2012-07-03,107.00,107.90,106.60,107.30,265700,103.60
2012-07-02,108.00,108.00,104.35,106.40,528300,102.73
2012-06-29,105.90,107.40,105.85,106.95,467000,103.26
2012-06-28,105.15,105.90,104.15,104.75,371900,101.14
2012-06-27,104.70,105.95,104.00,104.95,325500,101.33
2012-06-26,102.60,104.50,102.05,103.60,247000,100.03
2012-06-25,103.50,106.70,102.15,103.10,551500,99.55
2012-06-22,101.75,103.90,101.15,103.10,330500,99.55
2012-06-21,100.05,103.35,99.40,102.80,381900,99.26
2012-06-20,101.45,101.50,99.50,100.70,368600,97.23
2012-06-19,99.05,100.50,97.20,100.10,388900,96.65
2012-06-18,104.85,105.50,98.75,99.05,685600,95.64
2012-06-15,101.45,104.00,101.40,103.40,493700,99.84
2012-06-14,100.50,102.70,99.40,101.30,565200,97.81
2012-06-13,103.00,103.85,102.00,102.40,501700,98.87
2012-06-12,100.20,102.70,98.75,102.25,778800,98.73
2012-06-11,98.20,101.20,98.20,100.10,1344600,96.65
