Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,228.20,228.20,228.20,228.20,000,228.20
2012-12-24,230.05,232.45,225.60,228.20,64900,228.20
2012-12-21,221.10,231.45,221.10,228.10,15400,228.10
2012-12-20,234.10,235.25,230.65,231.80,19500,231.80
2012-12-19,231.50,236.45,228.00,233.60,50000,233.60
2012-12-18,231.30,235.65,229.30,230.85,34000,230.85
2012-12-17,231.00,234.50,228.60,229.40,12500,229.40
2012-12-14,237.00,237.00,229.00,229.85,13200,229.85
2012-12-13,233.50,240.95,232.15,233.00,51000,233.00
2012-12-12,237.00,238.00,231.25,236.05,49900,236.05
2012-12-11,227.95,243.00,226.20,234.20,226500,234.20
2012-12-10,233.00,233.15,224.30,225.95,29700,225.95
2012-12-07,238.95,239.65,228.70,229.85,37500,229.85
2012-12-06,238.50,241.90,235.25,237.30,35500,237.30
2012-12-05,241.10,244.70,237.00,237.95,118300,237.95
2012-12-04,235.00,243.70,234.20,236.70,71200,236.70
2012-12-03,233.00,244.20,231.65,235.45,116600,235.45
2012-11-30,217.00,253.00,216.00,242.65,752100,242.65
2012-11-29,215.20,221.00,214.70,215.30,16900,215.30
2012-11-28,215.55,215.55,215.55,215.55,000,215.55
2012-11-27,215.50,218.00,213.60,215.55,16800,215.55
2012-11-26,215.50,216.85,211.10,212.65,11400,212.65
2012-11-23,215.00,216.95,212.00,213.55,6600,213.55
2012-11-22,215.00,217.30,211.30,216.10,14100,216.10
2012-11-21,214.60,214.60,211.70,213.00,14100,213.00
2012-11-20,215.65,217.00,212.00,212.60,11200,212.60
2012-11-19,217.95,218.00,213.80,214.25,5700,214.25
2012-11-16,222.90,222.90,216.50,217.20,9600,217.20
2012-11-15,218.20,220.30,217.00,218.90,6200,218.90
2012-11-14,220.60,220.60,220.60,220.60,000,220.60
2012-11-13,220.60,220.60,220.60,220.60,000,220.60
2012-11-12,217.30,222.75,217.30,220.60,14800,220.60
2012-11-09,221.00,221.90,219.00,219.55,8300,219.55
2012-11-08,220.70,221.80,212.60,220.55,10600,220.55
2012-11-07,220.75,224.95,220.40,222.40,37100,222.40
2012-11-06,218.00,222.00,217.10,220.10,36900,220.10
2012-11-05,222.80,225.45,218.80,219.55,14800,219.55
2012-11-02,220.50,222.90,219.65,222.00,29500,222.00
2012-11-01,218.00,223.95,216.00,220.95,41000,220.95
2012-10-31,221.10,223.00,216.10,217.70,15200,217.70
2012-10-30,220.30,223.40,220.00,221.95,11200,221.95
2012-10-29,220.20,225.00,219.00,223.25,18800,223.25
2012-10-26,224.60,224.60,224.60,224.60,000,224.60
2012-10-25,221.20,225.00,217.80,224.60,19500,224.60
2012-10-24,223.15,223.15,223.15,223.15,000,223.15
2012-10-23,222.00,223.85,220.00,223.15,11800,223.15
2012-10-22,225.00,228.40,220.40,221.95,28300,221.95
2012-10-19,227.00,228.90,222.00,224.70,76700,224.70
2012-10-18,230.75,233.40,229.00,232.30,32800,232.30
2012-10-17,235.95,238.00,227.05,229.35,46100,229.35
2012-10-16,232.90,238.00,232.90,234.60,71000,234.60
2012-10-15,230.75,233.30,228.50,232.05,70700,232.05
2012-10-12,228.50,231.50,227.35,229.85,25400,229.85
2012-10-11,228.90,228.90,224.75,228.10,12800,228.10
2012-10-10,227.00,231.95,226.05,227.85,38700,227.85
2012-10-09,227.95,232.70,226.05,229.00,23500,229.00
2012-10-08,226.60,228.00,225.00,226.95,47100,226.95
2012-10-05,235.00,235.70,225.00,225.90,24400,225.90
2012-10-04,234.50,237.25,233.00,233.60,56400,233.60
2012-10-03,233.70,235.80,230.80,233.65,42000,233.65
2012-10-02,231.45,231.45,231.45,231.45,000,231.45
2012-10-01,222.50,233.55,222.50,231.45,47600,231.45
2012-09-28,227.30,230.50,224.00,224.70,45100,224.70
2012-09-27,226.70,228.70,225.10,225.80,18600,225.80
2012-09-26,226.40,232.05,224.00,225.30,25500,225.30
2012-09-25,228.60,229.45,227.00,227.85,14500,227.85
2012-09-24,229.85,232.50,226.40,226.90,26000,226.90
2012-09-21,227.75,230.90,224.30,229.40,20500,229.40
2012-09-20,224.00,232.50,222.50,225.85,46400,225.85
2012-09-19,226.85,226.85,226.85,226.85,000,226.85
2012-09-18,228.40,231.00,224.65,226.85,35800,226.85
2012-09-17,231.30,235.20,227.00,228.35,33400,228.35
2012-09-14,231.70,240.50,229.10,230.80,126600,230.80
2012-09-13,232.60,236.00,228.00,229.50,29900,229.50
2012-09-12,234.85,238.65,231.00,232.50,68300,232.50
2012-09-11,224.70,243.80,222.00,234.20,262900,234.20
2012-09-10,220.30,229.80,219.15,225.85,75700,225.85
2012-09-07,217.75,224.25,216.30,221.90,120200,221.90
2012-09-06,212.00,217.40,210.05,215.75,21200,215.75
2012-09-05,214.00,218.60,210.00,211.90,36700,211.90
2012-09-04,211.50,214.35,209.50,212.80,14200,212.80
2012-09-03,213.00,217.70,212.00,213.05,12800,213.05
2012-08-31,214.50,220.00,211.60,214.55,14000,214.55
2012-08-30,214.80,217.50,213.35,216.45,7600,216.45
2012-08-29,218.00,220.00,216.00,216.35,19100,216.35
2012-08-28,220.00,221.00,213.10,219.40,42700,219.40
2012-08-27,219.70,220.75,214.20,219.85,17900,219.85
2012-08-24,219.70,222.00,217.45,218.75,53900,218.75
2012-08-23,220.70,226.75,217.25,220.70,65700,220.70
2012-08-22,218.90,221.55,218.90,220.00,22100,220.00
2012-08-21,220.70,223.25,217.85,220.05,15900,220.05
2012-08-20,219.45,219.45,219.45,219.45,000,219.45
2012-08-17,221.75,222.00,217.55,219.45,16400,219.45
2012-08-16,221.30,223.55,217.90,220.50,62400,220.50
2012-08-15,221.90,221.90,221.90,221.90,000,221.90
2012-08-14,224.95,224.95,221.20,221.90,12100,221.90
2012-08-13,219.90,224.70,219.10,223.95,33000,223.95
2012-08-10,224.60,225.50,218.05,219.45,29800,219.45
2012-08-09,222.55,228.40,221.05,222.90,37200,222.90
2012-08-08,220.00,231.50,220.00,225.15,142500,225.15
2012-08-07,217.75,227.00,216.40,222.10,46900,222.10
2012-08-06,220.90,223.55,217.00,217.05,47200,217.05
2012-08-03,219.10,222.00,216.55,218.90,18700,218.90
2012-08-02,215.00,225.20,213.25,223.20,82600,223.20
2012-08-01,214.05,218.70,214.05,215.70,18800,215.70
2012-07-31,210.50,220.00,210.50,216.85,17900,216.85
2012-07-30,207.05,215.45,205.05,214.35,28100,214.35
2012-07-27,218.30,221.60,207.45,210.10,14400,210.10
2012-07-26,217.00,222.40,214.15,216.40,42300,216.40
2012-07-25,222.00,227.00,215.30,216.35,44100,216.35
2012-07-24,236.10,243.00,220.00,222.45,190300,222.45
2012-07-23,241.75,245.00,235.15,236.10,21300,236.10
2012-07-20,243.95,246.95,241.00,244.85,54100,244.85
2012-07-19,241.30,245.15,239.00,243.50,49700,243.50
2012-07-18,236.05,242.00,230.20,239.20,41300,239.20
2012-07-17,242.85,250.50,235.30,237.05,87600,237.05
2012-07-16,235.00,253.70,233.45,241.95,255600,241.95
2012-07-13,238.10,239.60,230.00,233.85,72900,233.85
2012-07-12,238.00,245.40,233.80,240.90,173900,233.90
2012-07-11,225.00,241.00,225.00,238.50,120400,231.57
2012-07-10,227.15,234.00,227.15,228.20,42100,221.57
2012-07-09,229.40,231.20,226.55,228.15,23100,221.52
2012-07-06,230.25,232.75,228.00,229.75,25000,223.07
2012-07-05,226.75,231.60,224.50,230.55,49300,223.85
2012-07-04,223.40,229.80,223.40,226.75,40400,220.16
2012-07-03,226.00,228.00,222.65,224.30,22900,217.78
2012-07-02,220.95,229.05,219.30,224.55,45000,218.03
2012-06-29,217.20,221.10,217.20,220.30,41800,213.90
2012-06-28,219.95,221.35,218.00,219.00,56700,212.64
2012-06-27,219.00,222.15,217.00,217.70,15900,211.37
2012-06-26,220.00,223.00,216.70,218.60,21000,212.25
2012-06-25,220.00,224.40,216.55,220.20,54500,213.80
2012-06-22,213.00,218.95,210.50,216.90,38500,210.60
2012-06-21,209.00,214.80,209.00,213.20,86900,207.00
2012-06-20,210.10,216.25,210.05,211.85,19300,205.69
2012-06-19,206.05,211.95,206.05,210.10,8200,203.99
2012-06-18,213.85,218.00,206.80,208.10,14100,202.05
2012-06-15,209.00,212.85,207.30,208.65,10600,202.59
2012-06-14,208.15,210.30,208.10,208.90,11300,202.83
2012-06-13,210.80,210.90,209.00,209.05,6100,202.98
2012-06-12,208.40,212.00,208.25,210.10,14700,203.99
2012-06-11,215.00,215.00,209.35,209.85,13400,203.75
2012-06-08,209.95,218.60,205.55,213.25,57900,207.05
2012-06-07,208.00,210.00,207.40,209.05,10500,202.98
2012-06-06,208.15,209.50,207.60,208.50,9400,202.44
2012-06-05,207.50,209.45,206.15,208.05,19200,202.00
2012-06-04,205.05,210.00,204.05,207.55,18700,201.52
2012-06-01,205.55,207.80,204.70,207.10,15700,201.08
2012-05-31,205.05,208.60,205.00,206.90,11400,200.89
2012-05-30,205.00,208.00,204.80,206.50,10400,200.50
2012-05-29,208.50,210.00,206.35,206.85,12900,200.84
2012-05-28,208.10,209.80,206.50,208.45,13200,202.39
2012-05-25,211.00,211.00,208.00,209.20,18700,203.12
2012-05-24,209.30,210.45,205.00,209.10,12900,203.02
2012-05-23,204.50,208.45,202.50,207.10,15900,201.08
2012-05-22,206.15,210.10,204.15,205.40,14400,199.43
2012-05-21,204.00,209.00,203.15,207.20,34000,201.18
2012-05-18,196.15,208.45,196.15,205.75,61300,199.77
2012-05-17,200.00,202.45,200.00,200.85,18600,195.01
2012-05-16,199.10,202.00,196.50,200.15,78300,194.33
2012-05-15,196.05,201.00,196.05,199.95,43900,194.14
2012-05-14,191.25,200.80,191.25,198.65,41800,192.88
2012-05-11,200.15,202.90,198.50,198.95,34400,193.17
2012-05-10,198.60,204.70,198.55,201.55,25200,195.69
2012-05-09,201.95,204.70,199.60,200.55,34300,194.72
2012-05-08,206.50,211.85,200.15,202.05,192400,196.18
2012-05-07,201.00,205.00,197.00,203.85,54600,197.93
2012-05-04,207.45,208.00,200.50,201.70,37700,195.84
2012-05-03,212.15,214.95,205.35,206.85,34200,200.84
2012-05-02,201.15,217.25,201.15,212.55,225900,206.37
2012-05-01,206.50,206.50,206.50,206.50,000,200.50
2012-04-30,206.90,208.50,203.50,205.40,29400,199.43
2012-04-27,203.00,208.80,202.00,203.45,50800,197.54
2012-04-26,200.50,204.00,200.20,202.00,8300,196.13
2012-04-25,204.80,206.75,199.85,201.00,72500,195.16
2012-04-24,202.80,204.25,201.05,202.90,15700,197.00
2012-04-23,203.80,205.90,201.50,201.70,27500,195.84
2012-04-20,202.00,206.90,200.20,202.90,111000,197.00
2012-04-19,204.80,204.80,200.45,201.75,14100,195.89
2012-04-18,204.80,205.90,202.00,202.40,26100,196.52
2012-04-17,204.85,205.60,201.25,204.40,32600,198.46
2012-04-16,199.75,202.35,199.00,201.70,17500,195.84
2012-04-13,203.00,209.20,199.00,199.90,63000,194.09
2012-04-12,206.40,208.75,203.10,203.65,34200,197.73
2012-04-11,199.60,205.15,197.05,203.05,52000,197.15
2012-04-10,199.00,202.65,197.65,198.60,21500,192.83
2012-04-09,206.45,206.45,200.30,201.30,15400,195.45
2012-04-06,207.25,207.25,207.25,207.25,000,201.23
2012-04-05,207.25,207.25,207.25,207.25,000,201.23
2012-04-04,207.10,210.75,204.10,207.25,39800,201.23
2012-04-03,203.75,210.55,202.50,207.20,134100,201.18
2012-04-02,196.50,203.50,196.50,201.95,37500,196.08
