Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,160.65,160.65,160.65,160.65,000,160.65
2012-12-24,161.70,162.60,160.00,160.65,1922800,160.65
2012-12-21,163.00,165.45,160.25,160.85,2415500,160.85
2012-12-20,165.00,165.35,162.30,162.95,1960900,162.95
2012-12-19,166.35,167.50,164.35,165.15,1973800,165.15
2012-12-18,167.00,167.00,163.45,165.20,2129800,165.20
2012-12-17,168.90,169.55,165.30,165.65,1487600,165.65
2012-12-14,168.20,169.70,166.60,168.75,1145500,168.75
2012-12-13,173.50,174.25,167.55,168.05,2915500,168.05
2012-12-12,170.00,172.75,167.75,172.05,1988800,172.05
2012-12-11,173.00,174.25,166.55,169.80,2509700,169.80
2012-12-10,171.40,173.70,170.50,172.85,4194800,172.85
2012-12-07,168.40,172.20,165.85,169.85,6204200,169.85
2012-12-06,166.95,166.95,164.00,165.75,1949200,165.75
2012-12-05,166.45,168.25,165.10,165.60,2272000,165.60
2012-12-04,168.35,169.50,165.15,166.25,1869900,166.25
2012-12-03,166.80,169.75,165.40,168.55,3160500,168.55
2012-11-30,163.20,168.50,163.00,165.95,3996800,165.95
2012-11-29,163.50,165.95,162.05,162.60,3999400,162.60
2012-11-28,163.05,163.05,163.05,163.05,000,163.05
2012-11-27,166.45,166.45,162.05,163.05,3126600,163.05
2012-11-26,164.70,166.60,162.25,163.40,3080200,163.40
2012-11-23,160.85,164.35,160.20,163.40,3658800,163.40
2012-11-22,161.00,163.60,158.20,159.95,2824300,159.95
2012-11-21,160.00,164.30,157.15,160.85,5161800,160.85
2012-11-20,165.00,166.40,156.05,159.00,4152200,159.00
2012-11-19,174.00,174.00,162.50,164.15,6071300,164.15
2012-11-16,180.00,181.40,172.50,173.40,4742800,173.40
2012-11-15,171.70,181.50,170.00,178.85,8682600,178.85
2012-11-14,168.80,168.80,168.80,168.80,000,168.80
2012-11-13,168.80,168.80,168.80,168.80,000,168.80
2012-11-12,168.85,171.20,168.20,168.80,1731200,168.80
2012-11-09,168.60,171.50,166.50,168.90,3242500,168.90
