Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,317.00,318.70,310.10,313.05,7207800,313.05
2013-01-22,323.45,324.55,315.30,318.55,6037700,318.55
2013-01-21,329.10,330.00,322.25,323.25,3868400,323.25
2013-01-18,330.10,332.40,326.00,328.55,4962000,328.55
2013-01-17,324.10,331.25,324.10,328.95,9952200,328.95
2013-01-16,329.50,329.90,318.50,320.05,12610400,320.05
2013-01-15,329.90,333.65,327.90,331.55,6718100,331.55
2013-01-14,331.25,332.95,326.85,327.70,7133500,327.70
2013-01-11,334.85,336.15,326.80,330.40,7289500,330.40
2013-01-10,331.50,337.40,330.65,333.70,12617800,333.70
2013-01-09,319.00,330.35,318.95,327.35,16501900,327.35
2013-01-08,314.00,316.35,313.15,314.15,7226800,314.15
2013-01-07,317.80,318.60,312.60,313.25,4890500,313.25
2013-01-04,318.50,318.50,313.20,315.40,8870500,315.40
2013-01-03,320.00,321.75,317.15,318.10,6099500,318.10
2013-01-02,318.50,320.95,316.25,318.00,6855700,318.00
2013-01-01,316.00,318.30,314.50,316.75,3938200,316.75
2012-12-31,309.50,313.80,309.50,312.65,3537900,312.65
2012-12-28,310.70,312.40,308.20,310.05,7580500,310.05
2012-12-27,307.00,314.00,304.95,309.20,13097600,309.20
2012-12-26,305.40,308.45,303.75,306.10,4828100,306.10
2012-12-25,306.95,306.95,306.95,306.95,000,306.95
2012-12-24,301.40,310.40,297.10,306.95,9826100,306.95
2012-12-21,300.55,303.15,297.60,299.40,5434400,299.40
2012-12-20,307.80,309.20,302.50,304.90,8080600,304.90
2012-12-19,300.00,308.60,299.50,307.75,11633300,307.75
2012-12-18,296.80,300.45,294.00,298.35,14461300,298.35
2012-12-17,292.90,295.80,291.10,294.05,8295900,294.05
2012-12-14,287.50,294.20,284.65,292.10,12250800,292.10
2012-12-13,282.20,290.35,281.35,287.90,19468000,287.90
2012-12-12,279.00,280.75,274.90,276.50,7634400,276.50
2012-12-11,281.15,282.85,273.20,278.10,9015900,278.10
2012-12-10,283.35,286.15,278.00,279.95,9514000,279.95
2012-12-07,281.30,287.50,279.05,281.90,12808600,281.90
2012-12-06,277.30,281.95,273.85,280.85,10561700,280.85
2012-12-05,272.10,279.00,272.10,274.95,10577300,274.95
2012-12-04,273.25,275.40,269.30,271.55,6715300,271.55
2012-12-03,273.00,276.80,271.10,272.10,9636600,272.10
2012-11-30,278.00,284.00,271.95,273.45,70995000,273.45
2012-11-29,268.00,279.70,267.60,278.45,20010100,278.45
2012-11-28,266.65,266.65,266.65,266.65,000,266.65
2012-11-27,264.35,267.90,263.75,266.65,8474200,266.65
2012-11-26,262.00,267.20,261.75,263.20,7629600,263.20
2012-11-23,256.00,261.85,256.00,260.50,8493700,260.50
2012-11-22,264.25,268.40,257.40,258.75,7511800,258.75
2012-11-21,266.90,268.00,264.00,265.50,5284700,265.50
2012-11-20,268.05,270.35,261.70,266.10,6864000,266.10
2012-11-19,265.25,267.15,262.00,264.10,6616900,264.10
2012-11-16,273.00,274.30,263.00,265.00,7322100,265.00
2012-11-15,273.00,274.80,269.80,272.25,13068800,272.25
2012-11-14,280.75,280.75,280.75,280.75,000,280.75
2012-11-13,280.75,280.75,280.75,280.75,000,280.75
2012-11-12,278.95,283.90,278.10,280.75,6932700,280.75
2012-11-09,284.00,284.60,279.10,280.60,7187500,280.60
2012-11-08,267.50,285.50,265.30,283.95,24412600,283.95
2012-11-07,266.80,273.35,266.55,269.35,9676600,269.35
2012-11-06,269.00,272.45,265.10,266.95,9567800,266.95
2012-11-05,270.00,274.70,266.55,269.80,7809200,269.80
2012-11-02,272.00,272.00,265.10,270.05,11070800,270.05
2012-11-01,257.00,269.55,257.00,267.45,10469600,267.45
2012-10-31,248.00,255.30,247.75,254.75,9122900,254.75
2012-10-30,257.15,257.75,245.00,247.65,9560900,247.65
2012-10-29,262.10,264.35,254.20,256.75,4690500,256.75
2012-10-26,261.25,261.25,261.25,261.25,000,261.25
2012-10-25,264.60,265.55,260.25,261.25,7531900,261.25
2012-10-24,264.60,264.60,264.60,264.60,000,264.60
2012-10-23,266.00,267.15,263.10,264.60,3120600,264.60
2012-10-22,267.50,268.70,264.60,267.05,4470900,267.05
2012-10-19,270.00,273.40,266.55,269.00,3928900,269.00
2012-10-18,266.00,271.80,266.00,270.25,6627900,270.25
2012-10-17,265.00,267.70,261.00,264.90,7572600,264.90
2012-10-16,265.00,265.95,261.20,262.30,9523900,262.30
2012-10-15,270.65,271.25,266.20,269.40,4752000,269.40
2012-10-12,273.80,274.35,269.90,271.25,7520400,271.25
2012-10-11,268.70,274.90,265.20,273.80,7852200,273.80
2012-10-10,267.10,273.00,266.60,267.45,7367600,267.45
