Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,309.20,309.20,309.20,309.20,000,309.20
2012-12-24,311.00,314.00,308.00,309.20,4800,309.20
2012-12-21,313.10,324.40,310.10,310.80,12300,310.80
2012-12-20,321.00,326.00,315.25,320.30,34700,320.30
2012-12-19,319.95,319.95,313.35,316.30,8100,316.30
2012-12-18,306.55,319.00,306.55,315.35,19800,315.35
2012-12-17,307.65,310.40,305.30,306.55,4100,306.55
2012-12-14,307.00,309.00,305.05,307.65,3400,307.65
2012-12-13,310.50,310.50,306.20,307.10,2500,307.10
2012-12-12,308.00,308.00,305.25,306.35,3500,306.35
2012-12-11,305.15,309.85,305.00,305.70,6900,305.70
2012-12-10,311.95,312.00,308.50,309.25,6700,309.25
2012-12-07,308.70,313.50,307.50,308.05,13600,308.05
2012-12-06,312.00,312.00,305.05,308.10,9200,308.10
2012-12-05,311.00,312.45,309.00,309.75,5500,309.75
2012-12-04,311.00,313.50,306.05,308.60,11600,308.60
2012-12-03,305.35,315.00,305.35,310.70,16600,310.70
2012-11-30,307.35,317.30,300.30,309.95,28700,309.95
2012-11-29,311.30,311.30,306.65,307.20,4300,307.20
2012-11-28,307.40,307.40,307.40,307.40,000,307.40
2012-11-27,311.00,311.00,306.00,307.40,2900,307.40
2012-11-26,307.00,311.00,305.00,306.90,4300,306.90
2012-11-23,312.00,312.70,305.00,305.55,1500,305.55
2012-11-22,312.90,312.90,306.35,307.80,2100,307.80
2012-11-21,309.85,310.95,305.20,309.25,3900,309.25
2012-11-20,309.45,312.00,303.45,305.85,3200,305.85
2012-11-19,314.00,315.50,308.00,309.35,2800,309.35
2012-11-16,317.15,319.75,312.00,312.75,4900,312.75
2012-11-15,319.95,324.00,313.30,315.05,4200,315.05
2012-11-14,317.10,317.10,317.10,317.10,000,317.10
2012-11-13,317.10,317.10,317.10,317.10,000,317.10
2012-11-12,319.00,322.90,316.60,317.10,3200,317.10
2012-11-09,325.05,329.30,316.30,318.50,5400,318.50
2012-11-08,322.00,324.50,316.00,323.30,4100,323.30
2012-11-07,326.60,333.00,322.10,322.95,6600,322.95
2012-11-06,330.00,337.80,325.20,327.20,8600,327.20
2012-11-05,330.00,334.50,328.10,330.20,4000,330.20
2012-11-02,335.00,337.90,330.10,331.05,16300,331.05
2012-11-01,330.00,337.55,330.00,332.55,5800,332.55
2012-10-31,329.30,333.75,329.05,331.70,6200,331.70
2012-10-30,335.00,349.00,325.00,333.40,78900,333.40
2012-10-29,340.00,344.95,331.50,333.65,10000,333.65
2012-10-26,324.70,324.70,324.70,324.70,000,324.70
2012-10-25,325.00,327.50,324.00,324.70,2700,324.70
2012-10-24,323.45,323.45,323.45,323.45,000,323.45
2012-10-23,332.00,333.40,323.10,323.45,5800,323.45
2012-10-22,322.05,345.00,321.10,329.00,59500,329.00
2012-10-19,324.95,325.50,321.10,322.15,4200,322.15
2012-10-18,325.05,327.35,320.50,322.10,5400,322.10
2012-10-17,325.05,331.35,322.50,325.40,2000,325.40
2012-10-16,331.90,331.90,321.00,326.30,6800,326.30
2012-10-15,331.40,334.00,327.00,330.55,8800,330.55
2012-10-12,325.00,329.95,323.15,328.30,8100,328.30
2012-10-11,327.95,327.95,320.65,323.55,8800,323.55
2012-10-10,322.85,325.65,320.50,323.25,5800,323.25
2012-10-09,326.25,326.35,321.00,322.90,4900,322.90
2012-10-08,323.55,329.00,319.00,319.60,4600,319.60
2012-10-05,330.10,330.45,318.20,320.10,16300,320.10
2012-10-04,328.95,339.70,326.50,331.20,16500,331.20
2012-10-03,322.00,330.00,320.10,325.35,21700,325.35
2012-10-02,321.25,321.25,321.25,321.25,000,321.25
2012-10-01,315.00,324.25,314.65,321.25,16400,321.25
2012-09-28,310.05,317.50,310.00,315.10,14000,315.10
2012-09-27,311.40,312.90,309.00,311.15,15500,311.15
2012-09-26,304.00,310.00,301.10,309.05,7200,309.05
2012-09-25,301.05,310.00,301.05,307.05,3600,307.05
2012-09-24,303.00,312.90,303.00,305.95,7800,305.95
2012-09-21,306.00,309.80,303.25,308.80,6300,308.80
2012-09-20,308.40,310.00,290.10,303.25,16900,303.25
2012-09-19,307.65,307.65,307.65,307.65,000,307.65
2012-09-18,308.85,309.00,306.20,307.65,3100,307.65
2012-09-17,310.30,313.30,306.00,307.40,8900,307.40
2012-09-14,309.85,312.00,307.25,309.85,12500,309.85
2012-09-13,304.10,311.75,303.50,305.70,12600,305.70
2012-09-12,310.40,312.95,305.05,307.40,8500,307.40
2012-09-11,305.00,324.90,297.05,309.40,72600,309.40
2012-09-10,300.15,306.00,297.05,301.90,6200,301.90
2012-09-07,301.90,305.95,293.00,304.05,16900,304.05
2012-09-06,294.95,295.80,293.00,293.35,6800,293.35
2012-09-05,344.90,344.90,291.05,291.60,10700,291.60
2012-09-04,285.05,297.60,282.00,294.60,7400,294.60
2012-09-03,286.15,297.50,286.15,288.90,11500,288.90
2012-08-31,292.05,297.45,291.05,291.85,6900,291.85
2012-08-30,293.85,297.50,290.30,294.40,14100,294.40
2012-08-29,334.40,334.40,290.10,295.30,149100,295.30
2012-08-28,292.00,311.45,292.00,299.50,19900,299.50
2012-08-27,298.00,309.40,296.05,303.80,9000,303.80
2012-08-24,316.00,318.05,300.00,301.70,37400,301.70
2012-08-23,321.10,324.25,318.60,320.80,3200,320.80
2012-08-22,323.70,327.80,322.15,323.95,3300,323.95
2012-08-21,322.00,336.90,321.60,324.55,1900,324.55
2012-08-20,330.35,330.35,330.35,330.35,000,330.35
2012-08-17,326.05,341.00,326.05,330.35,1800,330.35
2012-08-16,325.05,336.90,325.05,329.80,2000,329.80
2012-08-15,330.85,330.85,330.85,330.85,000,330.85
2012-08-14,338.00,339.00,326.50,330.85,2700,330.85
2012-08-13,329.00,358.95,326.20,332.40,5500,332.40
2012-08-10,333.00,337.50,328.10,330.35,2500,330.35
2012-08-09,326.40,333.00,324.15,330.10,6800,330.10
2012-08-08,339.45,340.00,326.50,329.65,10900,329.65
2012-08-07,337.20,341.90,337.20,339.55,7500,339.55
2012-08-06,335.05,341.00,335.05,340.75,19800,340.75
2012-08-03,340.25,342.35,338.50,339.75,8100,339.75
2012-08-02,341.05,343.00,341.00,341.90,11600,341.90
2012-08-01,342.30,345.75,341.05,342.45,11000,342.45
2012-07-31,342.55,344.70,342.55,343.65,7700,343.65
2012-07-30,344.00,345.75,343.00,343.65,10600,343.65
2012-07-27,343.40,346.80,342.00,342.95,23200,342.95
2012-07-26,343.55,345.90,342.00,343.35,7800,343.35
2012-07-25,344.00,344.00,343.25,343.75,13700,343.75
2012-07-24,342.10,344.45,342.10,343.50,6300,343.50
2012-07-23,342.25,344.35,340.40,343.55,8600,343.55
2012-07-20,343.75,350.00,342.00,343.55,66100,343.55
2012-07-19,342.00,342.95,341.00,342.60,20200,342.60
2012-07-18,339.90,342.75,338.00,342.05,25600,342.05
2012-07-17,340.50,340.50,338.00,339.05,8700,339.05
2012-07-16,337.60,339.75,337.60,338.85,28200,338.85
2012-07-13,337.10,339.70,337.10,338.25,12100,338.25
2012-07-12,338.10,339.75,337.00,338.70,7200,338.70
2012-07-11,340.00,340.35,338.00,338.10,7900,338.10
2012-07-10,336.75,339.50,335.00,338.00,15700,338.00
2012-07-09,336.25,340.45,336.00,337.80,20600,337.80
2012-07-06,338.50,339.35,336.30,338.05,4100,338.05
2012-07-05,338.45,339.75,337.10,338.30,7400,338.30
2012-07-04,337.80,339.00,336.25,338.25,10400,338.25
2012-07-03,338.00,339.00,335.25,338.10,14400,338.10
2012-07-02,340.95,341.00,336.90,338.65,11100,338.65
2012-06-29,340.50,341.40,339.00,341.00,31200,341.00
2012-06-28,345.15,347.00,344.25,345.90,13800,337.90
2012-06-27,342.60,346.50,342.55,345.15,29500,337.17
2012-06-26,343.00,345.00,342.15,343.80,14500,335.85
2012-06-25,342.75,345.65,341.50,342.35,14700,334.43
2012-06-22,341.05,342.45,340.55,341.45,18900,333.55
2012-06-21,343.80,344.80,340.25,341.75,32100,333.85
2012-06-20,346.45,346.45,340.00,342.50,75400,334.58
2012-06-19,345.00,348.40,336.50,345.30,340300,337.31
2012-06-18,336.10,349.80,336.10,345.55,995700,337.56
2012-06-15,312.00,317.00,302.75,307.00,62300,299.90
2012-06-14,297.10,307.60,297.10,306.20,23100,299.12
2012-06-13,298.00,300.95,294.05,299.30,20500,292.38
2012-06-12,290.00,301.00,290.00,298.75,17300,291.84
2012-06-11,289.20,294.00,286.00,292.45,20100,285.69
2012-06-08,281.30,290.00,281.30,289.15,5500,282.46
2012-06-07,287.00,287.90,283.00,286.95,2200,280.31
2012-06-06,276.20,285.00,276.20,283.90,2100,277.33
2012-06-05,277.00,281.00,269.25,279.70,3100,273.23
2012-06-04,264.30,277.00,264.30,274.70,3000,268.35
2012-06-01,271.00,276.90,265.30,270.35,7500,264.10
2012-05-31,275.40,278.00,268.30,274.00,6600,267.66
2012-05-30,277.35,281.90,273.30,275.40,5800,269.03
2012-05-29,276.00,283.95,270.30,282.55,9900,276.02
2012-05-28,266.55,277.25,266.55,272.35,10200,266.05
2012-05-25,271.95,271.95,266.05,269.40,2500,263.17
2012-05-24,269.90,271.80,264.00,265.90,3200,259.75
2012-05-23,270.00,270.95,264.00,265.00,5200,258.87
2012-05-22,268.60,271.50,262.10,268.35,14300,262.14
