Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,229.85,229.85,229.85,229.85,000,229.85
2012-12-24,230.00,230.00,225.00,229.85,3900,229.85
2012-12-21,217.00,233.30,217.00,227.45,1000,227.45
2012-12-20,231.40,233.60,228.00,228.85,1700,228.85
2012-12-19,230.05,235.90,230.05,235.00,800,235.00
2012-12-18,234.00,234.05,229.50,229.90,700,229.90
2012-12-17,233.55,236.90,230.00,236.40,1500,236.40
2012-12-14,234.50,254.95,230.10,233.00,3300,233.00
2012-12-13,234.00,239.90,230.50,235.00,2200,235.00
2012-12-12,243.00,243.00,230.20,237.05,600,237.05
2012-12-11,256.50,256.50,238.00,238.80,1100,238.80
2012-12-10,270.00,270.00,235.80,238.00,900,238.00
2012-12-07,240.00,240.00,233.60,240.00,100,240.00
2012-12-06,240.00,244.00,236.00,239.60,900,239.60
2012-12-05,248.25,250.00,236.95,239.90,4600,239.90
2012-12-04,225.00,252.50,220.00,248.25,413000,248.25
2012-12-03,227.00,235.00,225.10,229.85,6100,229.85
2012-11-30,225.00,230.90,222.50,222.50,500,222.50
2012-11-29,228.50,230.00,222.00,223.30,2200,223.30
2012-11-28,233.05,233.05,233.05,233.05,000,233.05
2012-11-27,235.00,235.00,221.10,233.05,1300,233.05
2012-11-26,228.00,230.00,227.00,227.00,300,227.00
2012-11-23,220.00,233.00,220.00,229.70,600,229.70
2012-11-22,215.00,220.00,215.00,220.00,800,220.00
2012-11-21,218.00,218.00,210.00,212.20,1000,212.20
2012-11-20,216.00,219.00,211.20,213.35,7000,213.35
2012-11-19,219.00,219.00,218.00,218.00,5000,218.00
2012-11-16,220.00,220.00,219.00,219.00,300,219.00
2012-11-15,221.00,221.00,219.00,219.00,1000,219.00
2012-11-14,219.95,219.95,219.95,219.95,000,219.95
2012-11-13,219.95,219.95,219.95,219.95,000,219.95
2012-11-12,225.00,228.00,214.10,219.95,7100,219.95
2012-11-09,227.10,229.75,223.05,224.50,1200,224.50
2012-11-08,226.55,230.00,226.00,229.00,2300,229.00
2012-11-07,234.90,234.90,225.00,226.40,1700,226.40
2012-11-06,235.00,238.00,229.50,229.50,4300,229.50
2012-11-05,230.10,247.50,230.10,238.40,1900,238.40
2012-11-02,238.05,240.00,203.70,231.80,6200,231.80
2012-11-01,246.00,249.00,235.00,238.05,95800,238.05
