Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,903.65,903.65,903.65,903.65,000,903.65
2012-12-24,914.85,923.00,898.35,903.65,270700,903.65
2012-12-21,921.65,933.00,903.30,906.40,404400,906.40
2012-12-20,946.55,947.95,921.60,926.15,1202300,926.15
2012-12-19,949.95,966.90,941.05,944.45,559200,944.45
2012-12-18,952.75,954.20,940.00,946.55,294700,946.55
2012-12-17,952.00,956.50,925.00,952.70,1043500,952.70
2012-12-14,903.00,951.85,903.00,948.20,896900,948.20
2012-12-13,915.00,924.75,908.50,918.35,895200,918.35
2012-12-12,877.00,931.55,875.00,914.10,4117300,914.10
2012-12-11,870.05,889.80,870.00,879.50,420700,879.50
2012-12-10,880.00,886.00,869.00,874.15,279600,874.15
2012-12-07,874.00,893.30,865.50,880.35,575800,880.35
2012-12-06,888.00,890.95,877.15,882.35,216100,882.35
2012-12-05,897.75,897.75,878.10,887.85,225000,887.85
2012-12-04,893.05,900.50,885.00,889.05,221500,889.05
2012-12-03,882.15,902.20,878.40,891.90,456600,891.90
2012-11-30,876.05,897.65,867.60,880.10,693800,880.10
2012-11-29,885.00,895.25,875.50,880.70,593500,880.70
2012-11-28,894.10,894.10,894.10,894.10,000,894.10
2012-11-27,907.90,913.50,882.05,894.10,471200,894.10
2012-11-26,907.75,913.90,904.30,907.90,196600,907.90
2012-11-23,918.55,918.55,898.50,903.65,196000,903.65
2012-11-22,904.90,915.40,889.30,910.10,285200,910.10
2012-11-21,889.50,907.40,867.10,904.65,374200,904.65
2012-11-20,886.25,898.65,872.00,884.20,319900,884.20
2012-11-19,910.80,916.95,872.65,883.25,601200,883.25
2012-11-16,918.00,927.45,905.35,910.90,277200,910.90
2012-11-15,939.45,943.05,913.00,918.20,193800,918.20
2012-11-14,947.65,947.65,947.65,947.65,000,947.65
2012-11-13,947.65,947.65,947.65,947.65,000,947.65
2012-11-12,936.00,950.00,934.00,947.65,120700,947.65
2012-11-09,959.00,961.00,937.10,939.05,171800,939.05
2012-11-08,962.60,965.00,950.00,954.65,208400,954.65
2012-11-07,964.00,975.95,956.10,969.10,256800,969.10
2012-11-06,995.00,995.00,959.90,963.30,582200,963.30
2012-11-05,945.00,962.90,930.00,955.45,386300,955.45
2012-11-02,947.00,966.40,945.25,951.60,298700,951.60
2012-11-01,947.00,954.45,940.00,943.30,172300,943.30
2012-10-31,940.00,953.90,931.10,948.45,322700,948.45
2012-10-30,930.00,937.85,919.10,933.75,235400,933.75
2012-10-29,919.45,934.90,912.90,929.60,259100,929.60
2012-10-26,911.65,911.65,911.65,911.65,000,911.65
2012-10-25,930.50,934.25,907.15,911.65,414200,911.65
2012-10-24,931.40,931.40,931.40,931.40,000,931.40
2012-10-23,940.15,943.75,928.00,931.40,142400,931.40
2012-10-22,926.00,943.90,922.50,937.65,147500,937.65
2012-10-19,941.95,942.00,918.75,927.95,378700,927.95
2012-10-18,952.00,954.90,930.20,938.55,298500,938.55
2012-10-17,949.90,959.40,945.05,950.55,229800,950.55
2012-10-16,925.05,953.95,915.55,944.65,291600,944.65
2012-10-15,945.00,969.50,935.50,940.55,262600,940.55
2012-10-12,968.95,991.35,958.10,961.85,398400,961.85
2012-10-11,945.00,984.00,944.00,979.50,522000,979.50
2012-10-10,953.80,978.90,948.90,965.30,947000,965.30
2012-10-09,945.70,957.85,936.65,952.45,407100,952.45
2012-10-08,942.00,971.70,935.00,940.05,521200,940.05
2012-10-05,979.80,979.80,943.00,946.80,421800,946.80
2012-10-04,1000.00,1005.00,967.05,971.80,833900,971.80
2012-10-03,1019.40,1028.00,990.65,994.20,1110700,994.20
2012-10-02,1025.55,1025.55,1025.55,1025.55,000,1025.55
2012-10-01,975.55,1042.95,975.50,1025.55,2618000,1025.55
2012-09-28,956.95,980.00,956.95,972.05,816800,972.05
2012-09-27,939.00,959.50,939.00,952.15,1008700,952.15
2012-09-26,923.05,940.85,915.30,938.25,563800,938.25
2012-09-25,920.05,944.00,915.00,927.50,957800,927.50
2012-09-24,886.00,921.00,886.00,916.15,451000,916.15
2012-09-21,903.30,918.15,902.95,913.35,476200,913.35
2012-09-20,900.00,914.80,895.00,899.00,738300,899.00
2012-09-19,901.35,901.35,901.35,901.35,000,901.35
2012-09-18,915.85,927.00,895.20,901.35,884700,901.35
2012-09-17,919.90,919.90,887.00,903.50,1045000,903.50
2012-09-14,921.75,930.40,900.70,910.65,1119400,910.65
2012-09-13,917.05,932.15,911.35,914.00,968300,914.00
2012-09-12,895.40,933.45,894.10,925.65,2044200,925.65
2012-09-11,874.35,895.95,874.35,892.55,1024700,892.55
2012-09-10,857.95,888.00,857.05,880.05,1528500,880.05
2012-09-07,843.90,861.00,843.10,858.85,913400,858.85
2012-09-06,835.00,846.20,829.45,838.20,1030800,838.20
2012-09-05,821.00,838.95,815.00,831.90,1180100,831.90
2012-09-04,817.05,835.00,812.00,821.15,1246200,821.15
2012-09-03,802.80,815.90,802.00,810.55,607500,810.55
2012-08-31,791.10,807.00,782.60,798.60,1019600,798.60
2012-08-30,820.00,820.00,781.10,793.05,8936700,793.05
2012-08-29,864.45,864.45,832.60,834.90,171900,834.90
2012-08-28,875.00,883.00,833.25,842.95,485400,842.95
2012-08-27,874.20,886.40,866.45,875.10,371500,875.10
2012-08-24,868.10,878.00,862.05,871.35,307300,871.35
2012-08-23,864.30,870.00,850.70,865.65,211400,865.65
2012-08-22,869.75,877.00,852.00,855.70,249100,855.70
2012-08-21,847.85,871.50,844.05,869.00,328200,869.00
2012-08-20,849.00,849.00,849.00,849.00,000,849.00
2012-08-17,846.00,858.50,840.85,849.00,402600,849.00
2012-08-16,814.65,848.00,814.65,845.45,490300,845.45
2012-08-15,816.60,816.60,816.60,816.60,000,816.60
2012-08-14,818.00,820.00,806.10,816.60,178700,816.60
2012-08-13,806.00,819.90,799.00,817.35,495200,817.35
2012-08-10,771.20,805.80,769.50,799.80,1054600,799.80
2012-08-09,759.00,774.00,756.85,762.40,274000,762.40
2012-08-08,754.95,766.55,753.70,759.90,133300,759.90
2012-08-07,757.95,771.45,750.15,755.00,273200,755.00
2012-08-06,772.25,772.25,748.15,750.90,224400,750.90
2012-08-03,735.00,772.60,721.00,761.60,1015800,761.60
2012-08-02,720.70,730.00,717.10,720.00,73600,720.00
2012-08-01,711.00,729.95,711.00,727.95,97300,723.95
2012-07-31,727.95,727.95,708.45,713.10,81800,709.18
2012-07-30,705.00,724.50,705.00,712.85,62000,708.93
2012-07-27,721.05,738.00,713.95,716.05,127200,712.12
2012-07-26,725.20,728.75,712.05,715.95,134200,712.02
2012-07-25,718.45,732.00,716.40,725.20,143500,721.22
2012-07-24,718.10,721.90,708.00,717.90,49800,713.96
2012-07-23,708.35,719.30,703.15,716.85,80000,712.91
2012-07-20,720.10,725.00,707.60,713.10,91400,709.18
2012-07-19,712.65,722.00,710.30,717.15,52100,713.21
2012-07-18,708.85,712.65,697.30,708.75,70100,704.86
2012-07-17,708.95,710.90,690.20,706.55,110300,702.67
2012-07-16,713.00,722.45,702.10,706.45,71800,702.57
2012-07-13,711.90,717.95,707.25,712.75,40000,708.83
2012-07-12,702.00,719.00,702.00,710.75,104700,706.84
2012-07-11,718.95,731.80,714.00,718.00,107000,714.05
2012-07-10,716.20,731.00,716.20,721.50,59500,717.54
2012-07-09,722.00,726.90,708.60,718.60,151400,714.65
2012-07-06,735.70,738.90,717.15,721.90,137800,717.93
2012-07-05,732.75,741.10,725.70,736.60,132100,732.55
2012-07-04,730.00,744.45,727.60,731.00,279900,726.98
2012-07-03,736.05,740.30,721.45,727.05,113500,723.05
2012-07-02,710.00,748.50,704.00,734.35,289700,730.31
2012-06-29,700.05,712.90,700.05,708.30,108700,704.41
2012-06-28,696.30,707.00,688.10,701.30,181700,697.45
2012-06-27,690.00,699.70,685.00,694.80,233800,690.98
2012-06-26,776.00,776.00,681.00,687.35,55500,683.57
2012-06-25,690.00,695.00,686.00,689.25,60500,685.46
2012-06-22,681.85,692.90,675.25,688.35,52500,684.57
2012-06-21,688.25,693.00,680.00,686.00,52800,682.23
2012-06-20,685.00,695.00,683.05,685.70,49000,681.93
2012-06-19,685.00,691.80,680.55,685.35,50200,681.58
2012-06-18,798.00,798.00,681.15,685.30,194600,681.53
2012-06-15,675.10,704.00,672.30,701.00,429800,697.15
2012-06-14,669.80,680.90,663.00,677.70,148600,673.98
2012-06-13,672.30,676.90,665.00,667.10,81000,663.43
2012-06-12,660.55,681.00,660.55,676.30,68500,672.58
2012-06-11,678.25,688.00,664.00,666.80,85300,663.14
2012-06-08,674.80,688.00,668.25,678.90,187400,675.17
