Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,186.20,186.20,186.20,186.20,000,186.20
2012-12-24,194.00,194.85,184.80,186.20,21500,186.20
2012-12-21,197.10,206.90,194.25,194.85,27300,194.85
2012-12-20,209.10,210.00,197.00,198.30,84000,198.30
2012-12-19,215.40,216.70,195.75,209.45,356600,209.45
2012-12-18,215.00,234.90,211.25,215.40,232400,215.40
2012-12-17,197.00,216.50,197.00,212.85,477400,212.85
2012-12-14,188.75,204.00,180.00,195.40,568200,195.40
2012-12-13,184.90,184.95,178.00,179.15,779900,179.15
2012-12-12,179.75,187.95,176.10,178.15,11300,178.15
2012-12-11,179.90,181.20,176.10,179.75,17300,179.75
2012-12-10,178.25,182.65,176.15,178.15,9700,178.15
2012-12-07,180.90,180.90,175.50,178.25,23000,178.25
2012-12-06,179.80,184.00,177.10,178.95,21200,178.95
2012-12-05,182.50,185.50,178.50,179.70,38600,179.70
2012-12-04,180.10,186.00,178.55,182.85,17400,182.85
2012-12-03,183.85,188.80,178.30,180.80,31600,180.80
2012-11-30,184.20,185.90,181.15,182.45,14600,182.45
2012-11-29,185.05,189.80,183.00,184.80,28900,184.80
2012-11-28,186.65,186.65,186.65,186.65,000,186.65
2012-11-27,189.75,192.00,182.75,186.65,9400,186.65
2012-11-26,187.05,190.70,183.05,184.35,21600,184.35
2012-11-23,187.05,191.85,185.10,186.85,9000,186.85
2012-11-22,197.00,197.00,184.50,187.55,35500,187.55
2012-11-21,196.40,196.40,188.00,189.20,35200,189.20
2012-11-20,195.10,202.30,190.15,191.05,51900,191.05
2012-11-19,200.55,202.85,193.50,196.50,4800,196.50
2012-11-16,207.30,212.90,199.00,199.00,26200,199.00
2012-11-15,205.00,207.40,203.55,205.45,8300,205.45
2012-11-14,205.95,205.95,205.95,205.95,000,205.95
2012-11-13,205.95,205.95,205.95,205.95,000,205.95
2012-11-12,200.00,213.60,200.00,205.95,368800,205.95
2012-11-09,205.80,209.90,195.60,201.40,40200,201.40
2012-11-08,209.80,210.00,200.25,203.85,15000,203.85
2012-11-07,205.95,210.00,202.00,207.80,51200,207.80
2012-11-06,207.50,207.50,197.00,201.00,27500,201.00
2012-11-05,204.00,205.95,199.00,201.00,4900,201.00
2012-11-02,203.00,208.90,197.10,205.95,33800,205.95
2012-11-01,203.00,204.35,196.10,202.35,22400,202.35
2012-10-31,207.00,207.90,195.00,200.65,8400,200.65
2012-10-30,210.95,210.95,201.10,202.55,40700,202.55
2012-10-29,208.95,210.45,203.05,207.15,3900,207.15
2012-10-26,208.35,208.35,208.35,208.35,000,208.35
2012-10-25,212.80,213.90,205.00,208.35,17400,208.35
2012-10-24,210.45,210.45,210.45,210.45,000,210.45
2012-10-23,222.00,222.00,210.10,210.45,23300,210.45
2012-10-22,213.50,215.45,210.00,212.75,43100,212.75
2012-10-19,220.95,220.95,207.05,209.80,57500,209.80
2012-10-18,204.80,216.10,195.60,213.90,139800,213.90
2012-10-17,204.00,205.80,200.05,202.55,34000,202.55
2012-10-16,201.70,205.65,199.50,202.85,50500,202.85
2012-10-15,198.95,205.50,192.10,199.50,109900,199.50
2012-10-12,187.95,214.00,187.30,196.95,622700,196.95
2012-10-11,187.95,188.00,179.40,187.45,23700,187.45
2012-10-10,192.80,192.80,186.00,187.05,12200,187.05
2012-10-09,193.00,193.50,187.75,188.85,10300,188.85
2012-10-08,189.50,194.00,186.70,188.75,7900,188.75
2012-10-05,195.00,195.00,186.50,189.80,24600,189.80
2012-10-04,188.95,192.00,185.30,189.15,29800,189.15
2012-10-03,186.00,186.80,181.40,182.50,10600,182.50
2012-10-02,182.50,182.50,182.50,182.50,000,182.50
2012-10-01,187.00,187.00,180.55,182.50,33800,182.50
2012-09-28,184.90,184.90,182.00,182.75,17200,182.75
2012-09-27,181.90,184.35,180.45,182.80,58600,182.80
2012-09-26,189.00,193.85,178.05,181.55,18900,181.55
2012-09-25,178.50,186.95,174.25,185.30,24500,185.30
2012-09-24,177.00,184.95,171.20,180.25,19600,180.25
2012-09-21,174.80,174.80,171.05,172.75,25700,172.75
2012-09-20,177.90,177.90,169.30,169.85,26100,169.85
2012-09-19,172.25,172.25,172.25,172.25,000,172.25
2012-09-18,173.00,176.00,171.50,172.25,54600,172.25
2012-09-17,175.70,175.70,169.65,172.80,15000,172.80
2012-09-14,172.90,173.90,169.05,169.65,19500,169.65
2012-09-13,171.50,172.00,165.50,170.00,17100,170.00
2012-09-12,174.50,174.50,169.00,170.25,13000,170.25
2012-09-11,170.00,177.95,169.05,170.15,7800,170.15
2012-09-10,169.35,172.75,167.10,167.85,8400,167.85
2012-09-07,176.00,176.70,167.50,170.00,2600,170.00
2012-09-06,177.00,177.00,169.45,170.95,18500,170.95
2012-09-05,171.05,180.00,165.65,172.20,9900,172.20
2012-09-04,175.05,180.50,172.50,173.70,32000,173.70
2012-09-03,177.00,183.00,174.50,175.55,12800,175.55
2012-08-31,181.90,181.90,173.05,178.65,4500,178.65
2012-08-30,183.05,186.45,175.05,178.00,6800,178.00
2012-08-29,183.95,184.90,180.10,183.85,36700,183.85
2012-08-28,189.80,189.80,178.80,182.70,34500,182.70
2012-08-27,186.50,186.85,181.55,184.30,8800,184.30
2012-08-24,186.00,186.90,183.50,186.45,8400,186.45
2012-08-23,184.70,187.00,182.55,184.20,5300,184.20
2012-08-22,185.25,188.85,182.50,185.00,16900,185.00
2012-08-21,188.00,192.00,183.00,185.20,39700,185.20
2012-08-20,185.80,185.80,185.80,185.80,000,185.80
2012-08-17,193.70,193.70,183.95,185.80,34600,185.80
2012-08-16,193.80,194.00,180.50,186.35,24600,186.35
2012-08-15,186.30,186.30,186.30,186.30,000,186.30
2012-08-14,191.95,194.80,182.50,186.30,27100,186.30
2012-08-13,192.00,195.00,187.05,188.95,32900,188.95
2012-08-10,189.00,194.00,183.20,187.60,49100,187.60
2012-08-09,183.95,195.05,180.10,188.55,65600,188.55
2012-08-08,176.45,185.00,175.00,183.60,39100,183.60
2012-08-07,177.50,178.00,172.35,173.90,2100,173.90
2012-08-06,175.00,179.00,170.60,173.05,6900,173.05
2012-08-03,173.80,177.90,173.65,175.40,1800,175.40
