Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,58.25,58.25,58.25,58.25,000,58.25
2012-12-24,58.55,59.80,57.55,58.25,33200,58.25
2012-12-21,59.00,59.90,58.50,58.75,23300,58.75
2012-12-20,59.25,59.95,59.00,59.40,36800,59.40
2012-12-19,60.00,60.35,59.30,59.60,43700,59.60
2012-12-18,60.10,60.40,59.75,60.05,43600,60.05
2012-12-17,60.00,60.80,59.95,60.00,31200,60.00
2012-12-14,60.15,60.45,59.80,60.05,44900,60.05
2012-12-13,59.75,60.35,59.55,60.05,45800,60.05
2012-12-12,60.40,60.75,60.00,60.10,26900,60.10
2012-12-11,61.45,61.45,60.05,60.20,38700,60.20
2012-12-10,60.70,61.20,60.05,60.95,51300,60.95
2012-12-07,60.60,61.85,60.05,60.40,68300,60.40
2012-12-06,60.80,61.25,60.15,60.50,42200,60.50
2012-12-05,61.45,61.50,60.00,60.20,43700,60.20
2012-12-04,61.20,62.20,60.55,61.40,145700,61.40
2012-12-03,60.85,62.85,60.85,61.05,129500,61.05
2012-11-30,59.00,61.65,58.50,60.05,90200,60.05
2012-11-29,60.40,60.80,59.80,59.95,68100,59.95
2012-11-28,60.05,60.05,60.05,60.05,000,60.05
2012-11-27,60.40,61.45,59.75,60.05,60200,60.05
2012-11-26,61.00,61.00,59.60,59.95,91200,59.95
2012-11-23,59.80,63.10,59.60,61.10,200300,61.10
2012-11-22,63.50,63.65,59.80,60.00,137100,60.00
2012-11-21,65.10,68.00,62.50,62.90,847400,62.90
2012-11-20,58.55,64.80,58.50,63.95,450400,63.95
2012-11-19,59.05,59.65,58.60,59.00,19600,59.00
2012-11-16,59.05,59.70,58.50,59.05,28900,59.05
2012-11-15,59.60,59.95,59.00,59.25,26500,59.25
2012-11-14,59.60,59.60,59.60,59.60,000,59.60
2012-11-13,59.60,59.60,59.60,59.60,000,59.60
2012-11-12,60.35,60.85,59.00,59.60,30900,59.60
2012-11-09,61.05,61.90,59.00,59.50,127400,59.50
2012-11-08,62.15,62.15,60.60,60.95,36700,60.95
2012-11-07,61.25,63.05,61.25,62.00,89800,62.00
2012-11-06,62.00,63.10,61.60,62.00,81100,62.00
2012-11-05,64.00,65.50,60.60,63.00,308500,63.00
2012-11-02,62.25,62.40,58.35,59.90,154900,59.90
2012-11-01,57.90,63.85,57.35,61.50,279000,61.50
2012-10-31,58.50,58.75,57.40,57.85,26800,57.85
2012-10-30,59.20,60.50,58.40,58.55,33900,58.55
2012-10-29,61.20,61.85,59.50,59.85,31500,59.85
2012-10-26,61.00,61.00,61.00,61.00,000,61.00
2012-10-25,61.10,61.80,60.35,61.00,27400,61.00
2012-10-24,61.35,61.35,61.35,61.35,000,61.35
2012-10-23,63.00,63.40,60.05,61.35,112000,61.35
2012-10-22,59.55,61.45,59.55,60.35,20400,60.35
2012-10-19,60.35,61.45,60.25,60.40,32200,60.40
2012-10-18,59.40,62.00,59.40,61.55,115300,61.55
2012-10-17,60.60,61.00,60.10,60.35,46700,60.35
2012-10-16,61.10,61.70,60.15,60.40,38700,60.40
2012-10-15,60.55,62.35,60.15,61.10,86100,61.10
2012-10-12,61.25,62.20,60.25,60.50,47200,60.50
2012-10-11,63.00,63.15,60.95,61.20,322600,61.20
