Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,52.65,52.65,52.65,52.65,000,52.65
2012-12-24,52.80,54.00,52.40,52.65,32300,52.65
2012-12-21,54.00,55.00,52.60,52.80,44800,52.80
2012-12-20,52.70,55.50,52.20,54.60,146800,54.60
2012-12-19,53.75,54.10,52.50,52.85,63700,52.85
2012-12-18,51.35,55.30,51.25,53.30,276600,53.30
2012-12-17,51.70,51.85,51.05,51.20,10100,51.20
2012-12-14,51.80,52.20,51.00,51.25,21400,51.25
2012-12-13,52.10,52.80,51.25,51.60,17100,51.60
2012-12-12,52.50,53.00,51.85,52.05,24300,52.05
2012-12-11,53.20,53.70,52.00,52.25,49000,52.25
2012-12-10,53.05,53.75,52.50,52.55,29700,52.55
2012-12-07,53.30,53.85,52.75,53.00,30400,53.00
2012-12-06,52.85,54.30,52.10,53.20,53900,53.20
2012-12-05,53.45,53.90,51.50,52.70,48900,52.70
2012-12-04,52.60,53.40,52.60,52.70,21200,52.70
2012-12-03,53.15,53.75,52.65,52.85,37400,52.85
2012-11-30,52.20,54.40,52.00,52.55,87300,52.55
2012-11-29,52.10,53.15,52.00,52.10,36200,52.10
2012-11-28,52.55,52.55,52.55,52.55,000,52.55
2012-11-27,52.05,53.50,51.60,52.55,48600,52.55
2012-11-26,53.75,55.00,51.80,51.95,25700,51.95
2012-11-23,53.50,53.70,52.15,52.40,33400,52.40
2012-11-22,54.90,55.50,53.10,53.65,197300,53.65
2012-11-21,56.20,56.50,54.25,54.55,615300,54.55
2012-11-20,53.10,56.35,51.55,55.05,386600,55.05
2012-11-19,51.00,54.80,50.05,52.65,239200,52.65
2012-11-16,51.25,52.45,50.80,50.80,20200,50.80
2012-11-15,50.90,51.70,50.55,51.15,13700,51.15
2012-11-14,51.30,51.30,51.30,51.30,000,51.30
2012-11-13,51.30,51.30,51.30,51.30,000,51.30
2012-11-12,52.75,52.75,51.00,51.30,13700,51.30
2012-11-09,52.35,53.20,51.70,51.90,18700,51.90
2012-11-08,52.00,53.75,52.00,52.35,29500,52.35
2012-11-07,51.55,53.40,51.55,52.75,337100,52.75
2012-11-06,52.00,52.80,51.45,51.90,37800,51.90
2012-11-05,51.90,53.40,50.50,52.00,46600,52.00
2012-11-02,50.35,51.15,50.30,51.05,16700,51.05
2012-11-01,50.30,50.70,50.05,50.20,18900,50.20
2012-10-31,50.05,50.85,50.00,50.20,9400,50.20
2012-10-30,51.10,52.00,50.05,50.20,25400,50.20
2012-10-29,50.90,52.50,50.55,51.45,53600,51.45
2012-10-26,51.45,51.45,51.45,51.45,000,51.45
2012-10-25,52.15,52.15,51.40,51.45,29100,51.45
2012-10-24,51.95,51.95,51.95,51.95,000,51.95
2012-10-23,52.40,52.40,51.75,51.95,22900,51.95
2012-10-22,52.70,53.25,52.10,52.20,31200,52.20
2012-10-19,52.50,53.40,52.05,52.75,44800,52.75
2012-10-18,53.40,53.75,51.50,53.05,67800,53.05
2012-10-17,53.30,61.80,52.10,52.75,529900,52.75
2012-10-16,51.50,54.00,51.25,51.75,131500,51.75
2012-10-15,51.25,52.00,51.10,51.20,15100,51.20
2012-10-12,51.65,52.45,51.00,51.15,17900,51.15
2012-10-11,51.05,52.60,50.70,51.60,21800,51.60
2012-10-10,51.00,51.95,50.05,51.05,17200,51.05
2012-10-09,52.30,52.80,51.50,51.60,10600,51.60
2012-10-08,51.70,53.15,51.70,51.80,18800,51.80
2012-10-05,52.30,52.75,51.25,51.95,18000,51.95
2012-10-04,52.95,53.40,52.00,52.05,32700,52.05
