Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,110.00,110.00,110.00,110.00,000,110.00
2012-12-24,111.10,112.40,109.35,110.00,10600,110.00
2012-12-21,110.50,112.50,110.50,111.55,27100,111.55
2012-12-20,112.00,112.90,110.50,111.20,9700,111.20
2012-12-19,111.50,113.55,111.50,112.50,31700,112.50
2012-12-18,111.50,112.50,111.10,111.95,13400,111.95
2012-12-17,112.90,112.90,110.70,112.00,12000,112.00
2012-12-14,111.75,113.45,110.65,111.45,16700,111.45
2012-12-13,113.00,113.40,111.35,111.85,13800,111.85
2012-12-12,111.05,113.15,111.00,113.00,90000,113.00
2012-12-11,113.40,118.40,110.00,111.05,103700,111.05
2012-12-10,113.35,113.35,110.75,112.10,17800,112.10
2012-12-07,112.40,113.40,111.80,113.05,24600,113.05
2012-12-06,111.90,113.50,110.70,111.05,33200,111.05
2012-12-05,113.30,113.90,110.25,110.80,47100,110.80
2012-12-04,110.75,113.00,110.75,112.25,63000,112.25
2012-12-03,112.60,112.70,108.90,110.40,49300,110.40
2012-11-30,112.00,113.20,110.30,112.00,50800,112.00
2012-11-29,113.80,113.80,109.50,112.35,73400,112.35
2012-11-28,112.65,112.65,112.65,112.65,000,112.65
2012-11-27,113.50,113.50,111.60,112.65,14600,112.65
2012-11-26,110.00,113.90,108.55,113.05,81200,113.05
2012-11-23,110.30,110.30,108.60,110.00,100600,110.00
2012-11-22,108.65,111.00,107.35,108.80,72800,108.80
2012-11-21,110.30,110.30,108.05,109.40,15800,109.40
2012-11-20,110.00,111.80,109.00,109.10,13800,109.10
2012-11-19,112.40,112.40,109.50,110.00,15600,110.00
2012-11-16,111.60,113.50,109.00,111.05,17600,111.05
2012-11-15,113.80,113.80,110.20,111.80,11400,111.80
2012-11-14,112.55,112.55,112.55,112.55,000,112.55
2012-11-13,112.55,112.55,112.55,112.55,000,112.55
2012-11-12,114.60,114.60,111.15,112.55,20200,112.55
2012-11-09,113.60,114.70,111.50,111.65,27800,111.65
2012-11-08,115.00,115.00,113.40,114.10,22200,114.10
2012-11-07,119.90,119.90,114.30,115.80,217300,115.80
2012-11-06,115.50,115.50,111.15,111.90,9400,111.90
2012-11-05,113.00,114.75,112.40,114.05,32200,114.05
2012-11-02,110.90,112.90,109.20,112.15,47600,112.15
2012-11-01,112.00,112.00,108.20,109.75,24200,109.75
2012-10-31,109.65,111.00,108.20,109.05,12100,109.05
2012-10-30,108.50,111.45,105.35,109.90,59100,109.90
2012-10-29,110.10,112.10,108.45,108.90,31300,108.90
2012-10-26,112.25,112.25,112.25,112.25,000,112.25
2012-10-25,113.95,115.00,112.05,112.25,20100,112.25
2012-10-24,112.10,112.10,112.10,112.10,000,112.10
2012-10-23,115.80,116.50,111.45,112.10,17300,112.10
2012-10-22,115.50,116.30,113.00,114.75,34000,114.75
2012-10-19,120.00,120.00,114.00,115.05,72200,115.05
2012-10-18,118.65,121.50,114.20,120.05,306400,120.05
2012-10-17,111.00,115.05,109.90,113.65,241500,113.65
2012-10-16,109.25,111.30,108.65,109.80,135000,109.80
2012-10-15,107.50,109.90,107.00,108.80,84500,108.80
2012-10-12,108.90,109.15,107.05,108.10,11800,108.10
2012-10-11,106.55,109.00,106.10,108.25,64400,108.25
2012-10-10,107.70,108.80,106.60,107.10,12600,107.10
2012-10-09,109.00,110.00,107.00,107.95,120700,107.95
2012-10-08,109.00,110.15,108.00,109.75,70200,109.75
2012-10-05,108.30,109.90,107.10,109.00,28500,109.00
2012-10-04,108.00,109.90,107.80,108.30,82500,108.30
2012-10-03,107.50,111.90,106.70,108.20,79700,108.20
2012-10-02,106.70,106.70,106.70,106.70,000,106.70
2012-10-01,106.00,107.90,106.00,106.70,8700,106.70
2012-09-28,107.00,108.40,104.55,105.55,51200,105.55
2012-09-27,109.45,109.45,106.50,107.05,335100,107.05
2012-09-26,109.95,109.95,107.00,108.60,79500,108.60
2012-09-25,108.40,109.45,107.50,108.20,26900,108.20
2012-09-24,110.00,110.10,106.60,107.25,26700,107.25
2012-09-21,108.95,110.00,107.60,109.00,49700,109.00
2012-09-20,107.15,108.70,107.10,108.45,6900,108.45
2012-09-19,107.60,107.60,107.60,107.60,000,107.60
2012-09-18,112.00,112.00,107.05,107.60,16900,107.60
2012-09-17,110.50,111.40,108.05,111.00,194300,111.00
2012-09-14,111.00,111.65,110.00,110.60,13900,110.60
2012-09-13,111.00,112.00,110.60,111.15,19000,111.15
2012-09-12,109.00,112.40,107.55,111.75,84300,111.75
2012-09-11,115.95,116.30,114.00,115.00,463300,110.00
2012-09-10,115.85,115.95,114.90,115.00,52000,110.00
2012-09-07,115.50,115.50,114.30,114.70,67100,109.71
2012-09-06,115.30,115.85,113.50,114.90,17200,109.90
2012-09-05,114.95,115.70,113.00,113.80,35800,108.85
2012-09-04,112.30,114.45,111.00,113.90,47800,108.95
2012-09-03,111.00,113.50,111.00,112.00,8200,107.13
2012-08-31,107.05,110.45,107.05,109.75,12500,104.98
2012-08-30,110.90,111.60,106.75,107.30,41600,102.63
2012-08-29,112.00,113.75,110.40,110.90,7500,106.08
2012-08-28,114.90,115.00,111.50,111.80,17400,106.94
2012-08-27,114.55,115.50,113.15,114.40,13500,109.43
2012-08-24,116.00,116.00,113.25,114.30,13100,109.33
2012-08-23,114.85,116.00,112.00,115.70,26900,110.67
2012-08-22,114.00,114.70,113.90,114.40,7400,109.43
2012-08-21,115.00,115.00,114.00,114.05,11000,109.09
2012-08-20,114.25,114.25,114.25,114.25,000,109.28
2012-08-17,112.30,114.60,112.30,114.25,8700,109.28
2012-08-16,112.30,113.45,108.90,113.20,31900,108.28
2012-08-15,113.55,113.55,113.55,113.55,000,108.61
2012-08-14,113.95,113.95,112.00,113.55,17300,108.61
2012-08-13,112.30,113.90,112.20,112.85,3900,107.94
2012-08-10,113.90,113.90,112.25,112.70,6300,107.80
2012-08-09,113.25,115.00,112.50,112.90,13700,107.99
2012-08-08,115.00,115.80,112.20,113.25,13200,108.33
2012-08-07,115.40,115.70,114.30,115.05,14100,110.05
2012-08-06,114.90,116.80,113.60,114.10,25400,109.14
2012-08-03,114.35,114.45,110.80,114.15,7000,109.19
2012-08-02,115.00,115.00,112.20,113.60,8100,108.66
2012-08-01,114.55,114.80,113.05,113.70,6200,108.76
2012-07-31,113.50,115.00,112.85,114.90,13400,109.90
2012-07-30,114.00,115.00,112.05,114.85,39400,109.86
2012-07-27,113.90,113.90,112.30,112.95,198200,108.04
2012-07-26,112.80,112.80,110.15,112.00,17500,107.13
2012-07-25,113.35,113.35,110.00,111.55,6500,106.70
2012-07-24,97.90,113.80,97.90,111.35,9200,106.51
2012-07-23,114.00,114.40,110.20,111.30,9800,106.46
2012-07-20,112.30,112.30,110.05,110.85,4600,106.03
2012-07-19,112.50,113.35,111.45,112.20,5600,107.32
2012-07-18,111.00,113.20,110.10,112.80,26100,107.90
2012-07-17,112.50,112.80,110.40,112.15,16300,107.27
2012-07-16,110.00,112.00,108.50,111.30,5700,106.46
2012-07-13,114.00,114.00,108.85,109.95,30000,105.17
2012-07-12,113.95,114.30,111.15,112.95,29600,108.04
2012-07-11,109.90,114.60,109.50,113.15,72300,108.23
2012-07-10,108.90,110.45,108.00,109.85,42900,105.07
2012-07-09,108.00,109.65,107.00,108.15,19200,103.45
2012-07-06,108.70,108.80,107.75,108.55,13500,103.83
2012-07-05,108.80,109.30,107.10,108.80,62900,104.07
2012-07-04,105.00,108.90,105.00,108.65,41800,103.93
2012-07-03,105.75,106.45,103.05,106.20,22700,101.58
2012-07-02,103.40,106.70,101.35,104.75,32000,100.20
2012-06-29,103.95,103.95,102.20,103.15,14300,98.67
2012-06-28,102.00,104.00,101.70,103.60,46700,99.10
2012-06-27,102.25,102.75,101.20,102.40,10800,97.95
2012-06-26,101.60,103.00,100.55,101.85,19400,97.42
2012-06-25,101.50,102.00,100.00,101.10,27700,96.70
2012-06-22,99.25,101.45,99.25,100.20,11100,95.84
2012-06-21,101.75,101.75,99.40,99.80,28900,95.46
2012-06-20,100.10,101.45,99.35,99.50,28800,95.17
2012-06-19,99.05,101.75,97.65,99.80,19600,95.46
2012-06-18,102.80,102.80,99.60,99.85,5600,95.51
2012-06-15,101.30,102.00,100.50,100.85,7900,96.47
2012-06-14,100.70,101.65,100.35,100.75,6500,96.37
2012-06-13,101.05,101.95,100.30,101.00,17400,96.61
2012-06-12,101.90,101.90,99.50,101.30,7300,96.90
2012-06-11,102.00,102.90,100.50,100.80,10800,96.42
2012-06-08,99.90,102.50,99.65,101.90,23300,97.47
2012-06-07,101.00,102.65,99.35,99.60,38600,95.27
2012-06-06,102.20,102.20,100.80,101.15,13800,96.75
2012-06-05,101.00,102.40,99.70,101.65,13300,97.23
2012-06-04,100.00,101.80,99.00,100.35,10300,95.99
2012-06-01,101.95,101.95,99.60,100.85,8200,96.47
2012-05-31,101.00,101.80,98.65,101.15,7700,96.75
2012-05-30,99.00,104.40,99.00,101.85,26100,97.42
2012-05-29,99.00,99.95,98.30,98.95,3900,94.65
2012-05-28,97.05,99.90,97.05,99.15,2200,94.84
2012-05-25,99.00,99.00,96.50,97.70,4300,93.45
2012-05-24,98.95,99.00,96.50,97.10,7100,92.88
2012-05-23,99.00,101.80,98.15,98.25,2700,93.98
