Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,698.45,698.45,698.45,698.45,000,698.45
2012-12-24,679.00,702.00,679.00,698.45,40700,698.45
2012-12-21,695.95,696.00,675.20,679.00,9400,679.00
2012-12-20,695.60,699.00,676.20,686.90,31600,686.90
2012-12-19,666.50,694.40,666.50,681.15,75200,681.15
2012-12-18,666.30,677.00,666.05,672.75,8200,672.75
2012-12-17,670.00,677.85,660.10,669.35,24200,669.35
2012-12-14,669.85,671.90,661.30,670.05,54300,670.05
2012-12-13,683.35,683.35,665.10,666.90,78700,666.90
2012-12-12,676.80,677.00,663.60,667.40,375800,667.40
2012-12-11,687.65,688.95,668.05,670.15,29500,670.15
2012-12-10,696.90,696.90,670.25,681.55,17300,681.55
2012-12-07,687.95,697.05,673.30,692.10,28800,692.10
2012-12-06,687.65,687.75,670.15,682.70,39900,682.70
2012-12-05,688.00,692.00,670.10,679.20,28200,679.20
2012-12-04,688.90,690.00,676.35,689.85,66400,689.85
2012-12-03,679.85,698.40,670.00,682.15,32000,682.15
2012-11-30,655.05,674.90,652.70,668.45,175300,668.45
2012-11-29,652.50,669.00,651.10,652.90,420600,652.90
2012-11-28,658.00,658.00,658.00,658.00,000,658.00
2012-11-27,650.20,663.90,650.05,658.00,189100,658.00
2012-11-26,637.00,665.00,636.50,653.65,9400,653.65
2012-11-23,635.45,647.00,634.00,641.80,11400,641.80
2012-11-22,655.00,655.00,630.55,641.20,43600,641.20
2012-11-21,656.20,657.00,646.20,649.90,59800,649.90
2012-11-20,660.00,660.00,650.00,654.25,9700,654.25
2012-11-19,677.80,677.85,650.00,650.20,18700,650.20
2012-11-16,659.05,668.95,654.00,660.25,158200,660.25
2012-11-15,660.05,678.60,656.10,660.25,17600,660.25
2012-11-14,666.75,666.75,666.75,666.75,000,666.75
2012-11-13,666.75,666.75,666.75,666.75,000,666.75
2012-11-12,661.50,671.85,655.00,666.75,19900,666.75
2012-11-09,673.00,679.85,651.60,665.80,8200,665.80
2012-11-08,680.30,683.60,668.00,673.00,13600,673.00
2012-11-07,678.00,685.50,675.45,679.10,43700,679.10
2012-11-06,671.50,683.65,671.45,678.20,39100,678.20
2012-11-05,684.95,685.00,667.25,671.45,28100,671.45
2012-11-02,675.10,679.95,670.00,671.10,32700,671.10
2012-11-01,667.00,680.00,665.30,675.05,42600,675.05
2012-10-31,680.75,680.80,669.90,673.90,85700,673.90
2012-10-30,667.85,679.45,665.25,669.85,40100,669.85
2012-10-29,695.00,698.00,662.20,667.35,99700,667.35
2012-10-26,679.90,679.90,679.90,679.90,000,679.90
2012-10-25,672.05,686.95,672.00,679.90,6700,679.90
2012-10-24,682.00,682.00,682.00,682.00,000,682.00
2012-10-23,680.20,688.00,676.25,682.00,10700,682.00
2012-10-22,675.20,680.30,670.00,677.95,52400,677.95
2012-10-19,685.00,689.90,671.50,676.65,9900,676.65
2012-10-18,690.95,696.00,678.70,688.95,18800,688.95
2012-10-17,665.00,697.05,661.10,691.05,328600,691.05
2012-10-16,665.00,673.95,660.15,661.90,8500,661.90
2012-10-15,670.60,674.45,658.40,660.60,20800,660.60
2012-10-12,666.60,673.05,660.50,668.55,22800,668.55
2012-10-11,678.90,686.65,667.25,669.10,369000,669.10
2012-10-10,685.40,685.40,676.60,681.80,5900,681.80
2012-10-09,692.15,698.80,676.10,680.70,145600,680.70
2012-10-08,688.60,696.85,685.30,690.95,79500,690.95
2012-10-05,705.00,706.00,686.20,691.45,38900,691.45
2012-10-04,689.00,700.00,687.05,696.00,149100,696.00
2012-10-03,694.95,699.95,683.00,684.65,43800,684.65
2012-10-02,691.05,691.05,691.05,691.05,000,691.05
2012-10-01,690.50,704.00,688.00,691.05,8000,691.05
2012-09-28,691.95,707.00,680.00,694.50,25800,694.50
2012-09-27,714.25,714.25,681.15,693.60,8800,693.60
2012-09-26,712.85,728.50,690.10,694.40,23500,694.40
2012-09-25,668.95,717.95,665.80,712.50,98600,712.50
2012-09-24,693.85,693.85,661.10,675.35,15100,675.35
2012-09-21,677.15,687.50,670.00,675.15,70200,675.15
2012-09-20,663.05,682.20,660.25,675.95,10400,675.95
2012-09-19,673.80,673.80,673.80,673.80,000,673.80
2012-09-18,674.05,683.75,663.00,673.80,398000,673.80
2012-09-17,710.00,710.00,675.00,684.10,20500,684.10
2012-09-14,715.00,715.00,690.00,696.30,30900,696.30
2012-09-13,704.95,715.00,694.70,702.45,61000,702.45
2012-09-12,693.35,713.00,675.15,705.00,176900,705.00
2012-09-11,686.20,707.00,686.20,694.60,15100,694.60
2012-09-10,615.00,705.95,615.00,696.20,15000,696.20
2012-09-07,711.95,724.00,690.00,693.10,34000,693.10
2012-09-06,705.40,711.90,700.05,704.05,13800,704.05
2012-09-05,718.65,718.65,701.00,703.40,18500,703.40
2012-09-04,701.05,714.80,701.00,707.60,12200,707.60
2012-09-03,706.00,725.00,697.00,706.25,20300,706.25
2012-08-31,714.95,714.95,701.10,705.00,20200,705.00
2012-08-30,712.95,713.00,684.05,707.40,13000,707.40
