Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,178.95,178.95,173.80,174.85,953000,174.85
2013-01-22,181.65,182.75,177.20,177.70,2120900,177.70
2013-01-21,180.95,183.35,176.80,181.60,107200,181.60
2013-01-18,179.55,184.70,177.95,178.70,2976500,178.70
2013-01-17,179.55,181.90,176.20,178.65,50200,178.65
2013-01-16,180.05,181.90,178.20,179.60,97200,179.60
2013-01-15,184.40,184.65,179.30,179.95,73500,179.95
2013-01-14,179.40,184.00,175.10,182.95,103100,182.95
2013-01-11,180.35,181.85,176.40,177.05,86600,177.05
2013-01-10,186.30,187.25,175.55,179.55,277900,179.55
2013-01-09,189.00,190.55,183.00,185.40,103600,185.40
2013-01-08,186.15,190.85,184.50,187.90,229500,187.90
2013-01-07,189.90,189.95,184.45,185.30,189800,185.30
2013-01-04,191.70,191.70,187.80,188.70,176500,188.70
2013-01-03,192.95,195.45,189.30,190.85,134800,190.85
2013-01-02,199.90,199.90,190.00,191.25,166800,191.25
2013-01-01,195.00,198.25,193.75,195.45,190400,195.45
2012-12-31,189.85,196.75,186.70,193.50,356800,193.50
2012-12-28,188.05,192.95,185.10,190.55,504700,190.55
2012-12-27,182.95,188.75,179.10,187.35,391300,187.35
2012-12-26,180.20,184.00,178.10,178.95,84600,178.95
2012-12-25,179.60,179.60,179.60,179.60,000,179.60
2012-12-24,182.55,183.85,178.15,179.60,80500,179.60
2012-12-21,180.10,188.90,178.55,182.10,887000,182.10
2012-12-20,185.90,189.70,179.10,180.85,506600,180.85
2012-12-19,179.20,187.75,176.35,184.35,679700,184.35
2012-12-18,175.75,180.00,174.90,178.85,242800,178.85
2012-12-17,170.90,176.75,170.90,175.00,77800,175.00
2012-12-14,171.80,172.75,170.55,171.70,55000,171.70
2012-12-13,176.00,176.35,170.50,171.40,72600,171.40
2012-12-12,175.50,179.05,174.50,175.05,134500,175.05
2012-12-11,179.00,182.00,172.25,174.50,258000,174.50
2012-12-10,170.70,183.65,169.95,177.95,834600,177.95
2012-12-07,170.60,175.40,168.60,170.00,377300,170.00
2012-12-06,168.95,172.45,164.25,169.80,228200,169.80
2012-12-05,170.00,173.65,166.00,166.95,215200,166.95
2012-12-04,163.75,169.45,162.65,168.65,245100,168.65
2012-12-03,161.00,164.10,161.00,162.95,174300,162.95
2012-11-30,159.40,167.30,158.10,160.60,258400,160.60
2012-11-29,158.65,162.40,156.25,159.15,49300,159.15
2012-11-28,157.40,157.40,157.40,157.40,000,157.40
2012-11-27,158.10,159.30,156.75,157.40,47900,157.40
2012-11-26,157.80,161.50,157.80,158.30,18200,158.30
2012-11-23,157.05,159.40,157.05,158.40,21100,158.40
2012-11-22,158.20,159.75,156.50,156.85,16600,156.85
2012-11-21,158.00,158.70,155.55,158.05,20000,158.05
2012-11-20,160.95,161.35,155.65,156.95,42800,156.95
2012-11-19,163.95,163.95,159.00,160.10,59600,160.10
2012-11-16,167.05,167.05,162.00,162.80,36300,162.80
2012-11-15,165.05,168.35,164.25,165.35,79200,165.35
2012-11-14,164.10,164.10,164.10,164.10,000,164.10
2012-11-13,164.10,164.10,164.10,164.10,000,164.10
2012-11-12,166.55,166.60,163.20,164.10,79700,164.10
2012-11-09,165.00,166.00,163.80,165.05,30000,165.05
2012-11-08,163.20,166.30,163.00,165.40,46000,165.40
2012-11-07,168.95,169.00,163.10,164.75,53400,164.75
2012-11-06,160.75,168.80,160.75,167.25,140000,167.25
2012-11-05,161.20,164.70,160.00,163.95,65000,163.95
2012-11-02,162.00,163.80,157.05,162.10,114900,162.10
2012-11-01,154.35,163.70,153.45,161.80,204400,161.80
2012-10-31,155.70,156.60,152.80,153.70,52000,153.70
2012-10-30,156.10,157.40,153.35,155.00,63800,155.00
2012-10-29,159.50,159.50,152.45,155.35,202700,155.35
2012-10-26,158.90,158.90,158.90,158.90,000,158.90
2012-10-25,159.55,160.65,158.00,158.90,61400,158.90
2012-10-24,159.90,159.90,159.90,159.90,000,159.90
2012-10-23,161.50,161.90,158.00,159.90,101100,159.90
2012-10-22,160.65,161.90,159.50,161.20,80000,161.20
2012-10-19,164.70,165.50,160.35,161.05,86700,161.05
2012-10-18,164.25,166.50,164.00,164.55,75700,164.55
2012-10-17,167.00,167.45,162.80,163.00,85800,163.00
2012-10-16,167.75,169.05,165.10,166.10,105600,166.10
2012-10-15,167.75,169.10,164.60,166.75,92200,166.75
2012-10-12,161.25,169.95,161.25,166.90,94200,166.90
2012-10-11,166.90,171.90,165.70,166.50,175100,166.50
2012-10-10,170.60,172.30,165.10,166.10,120900,166.10
2012-10-09,173.55,175.15,170.00,170.60,116000,170.60
2012-10-08,172.50,179.20,171.15,173.15,223900,173.15
2012-10-05,174.00,174.35,170.00,172.90,136900,172.90
2012-10-04,172.00,176.00,172.00,173.45,154800,173.45
2012-10-03,171.10,176.85,170.00,172.95,160500,172.95
2012-10-02,175.20,175.20,175.20,175.20,000,175.20
2012-10-01,176.60,178.75,173.25,175.20,181600,175.20
2012-09-28,171.00,178.00,170.25,175.85,396100,175.85
2012-09-27,169.70,175.30,166.15,169.30,363800,169.30
2012-09-26,171.00,172.00,167.50,168.40,130000,168.40
2012-09-25,172.00,174.20,169.60,171.65,686200,171.65
2012-09-24,155.35,169.00,155.35,168.20,1001500,168.20
2012-09-21,159.50,165.30,153.65,155.30,1372600,155.30
2012-09-20,157.00,160.95,156.95,158.70,124300,158.70
2012-09-19,159.75,159.75,159.75,159.75,000,159.75
2012-09-18,159.85,164.90,159.00,159.75,362400,159.75
2012-09-17,162.60,163.05,157.10,158.60,221400,158.60
2012-09-14,161.50,166.50,158.00,159.60,231200,159.60
2012-09-13,166.00,168.50,161.65,162.25,137400,162.25
2012-09-12,169.10,172.50,164.05,165.00,150000,165.00
2012-09-11,168.10,174.55,166.00,168.25,248200,168.25
2012-09-10,169.50,174.50,168.30,169.80,256500,169.80
2012-09-07,181.90,183.85,171.00,172.05,918700,172.05
2012-09-06,163.80,181.50,159.90,179.90,2759100,179.90
2012-09-05,163.90,177.80,156.65,163.60,1345900,163.60
2012-09-04,150.95,162.65,150.95,157.40,1009300,157.40
2012-09-03,149.00,150.45,147.55,147.95,54100,147.95
2012-08-31,148.75,149.70,147.70,148.30,35600,148.30
2012-08-30,148.00,149.00,147.00,148.75,47000,148.75
2012-08-29,154.60,155.45,148.00,148.90,56500,148.90
2012-08-28,152.60,155.60,151.20,152.95,76700,152.95
2012-08-27,160.40,161.00,151.70,154.20,384500,154.20
2012-08-24,152.20,158.00,151.00,156.85,117600,156.85
2012-08-23,151.50,157.50,151.00,152.20,45500,152.20
2012-08-22,150.00,155.55,150.00,153.75,15600,153.75
2012-08-21,156.00,157.95,154.50,154.95,24100,154.95
2012-08-20,156.25,156.25,156.25,156.25,000,156.25
2012-08-17,154.50,159.20,154.50,156.25,43100,156.25
2012-08-16,156.30,157.00,153.00,153.90,31000,153.90
2012-08-15,156.75,156.75,156.75,156.75,000,156.75
2012-08-14,156.50,158.00,155.00,156.75,12300,156.75
2012-08-13,154.45,158.60,153.30,156.15,37300,156.15
2012-08-10,157.00,157.00,153.05,154.45,21500,154.45
2012-08-09,156.00,157.25,156.00,156.40,15100,156.40
2012-08-08,156.20,157.45,156.20,156.65,40200,156.65
2012-08-07,157.45,157.45,155.80,156.75,20400,156.75
2012-08-06,156.75,157.50,156.05,156.55,22800,156.55
2012-08-03,155.85,157.25,154.55,156.25,20600,156.25
2012-08-02,158.00,158.85,153.10,156.15,42400,156.15
2012-08-01,161.00,161.00,156.15,157.85,44300,157.85
2012-07-31,157.00,160.00,154.05,159.10,51300,159.10
2012-07-30,155.00,158.40,153.40,154.85,70400,154.85
2012-07-27,157.20,159.95,153.00,154.35,53800,154.35
2012-07-26,158.00,158.60,153.25,155.95,580400,155.95
2012-07-25,166.85,166.85,155.55,157.75,205000,157.75
2012-07-24,166.90,170.00,165.30,169.80,70900,169.80
2012-07-23,165.00,167.90,164.00,164.85,64200,164.85
2012-07-20,169.00,173.85,165.00,165.85,86300,165.85
2012-07-19,173.75,175.15,168.80,169.80,104500,169.80
2012-07-18,175.00,180.00,170.20,171.20,54700,171.20
2012-07-17,179.10,180.00,174.45,175.00,45400,175.00
2012-07-16,183.30,183.45,178.00,178.55,37400,178.55
2012-07-13,178.40,184.50,178.40,181.80,53800,181.80
2012-07-12,182.00,182.00,180.00,180.30,31000,180.30
2012-07-11,182.00,185.40,182.00,182.95,45800,182.95
2012-07-10,179.95,184.00,179.65,182.85,141900,182.85
2012-07-09,180.55,181.30,177.50,177.80,228900,177.80
2012-07-06,180.60,183.30,180.50,180.90,245300,180.90
2012-07-05,182.20,188.20,181.20,181.80,91600,181.80
2012-07-04,182.10,185.00,181.55,182.20,41300,182.20
2012-07-03,184.60,186.00,181.90,182.70,34800,182.70
2012-07-02,183.00,184.80,181.30,183.95,47500,183.95
2012-06-29,183.40,184.00,179.60,182.00,45700,182.00
2012-06-28,180.00,184.80,180.00,181.35,85700,181.35
2012-06-27,179.00,181.40,178.65,178.95,73900,178.95
2012-06-26,177.00,180.00,176.80,177.75,27700,177.75
2012-06-25,178.65,179.50,176.00,177.25,45800,177.25
2012-06-22,182.95,183.00,176.50,177.00,59200,177.00
2012-06-21,184.00,185.30,181.90,182.35,41100,182.35
2012-06-20,189.00,189.00,184.05,184.80,43200,184.80
2012-06-19,188.40,190.95,186.50,187.90,11000,187.90
2012-06-18,189.00,193.00,188.55,189.65,19600,189.65
2012-06-15,189.25,192.00,188.45,190.55,23300,190.55
2012-06-14,187.95,190.55,187.50,188.95,32300,188.95
2012-06-13,193.00,195.25,187.65,189.40,74500,185.90
2012-06-12,191.50,193.90,191.15,191.90,26900,188.35
2012-06-11,196.80,197.85,191.45,193.25,27700,189.68
2012-06-08,193.95,194.55,192.80,193.85,19800,190.27
2012-06-07,195.00,197.50,194.00,194.80,18800,191.20
2012-06-06,188.95,195.95,188.95,194.75,22200,191.15
2012-06-05,192.90,192.90,186.55,187.65,17000,184.18
2012-06-04,194.85,195.00,189.70,191.20,20000,187.67
2012-06-01,199.00,199.00,194.50,195.60,35500,191.99
2012-05-31,198.40,202.15,195.00,198.90,72800,195.22
2012-05-30,191.30,198.40,191.30,195.55,20300,191.94
2012-05-29,194.20,197.00,191.05,193.05,24200,189.48
2012-05-28,192.40,200.00,192.00,194.95,15200,191.35
2012-05-25,192.00,193.00,190.00,191.35,5700,187.81
2012-05-24,191.50,194.15,191.50,193.85,10500,190.27
2012-05-23,192.00,193.20,190.55,192.15,17300,188.60
2012-05-22,191.90,195.95,191.00,193.25,196800,189.68
2012-05-21,190.25,193.50,188.00,191.85,438200,188.30
2012-05-18,185.20,192.00,185.20,190.25,63100,186.73
2012-05-17,186.15,191.05,186.15,190.20,38100,186.69
2012-05-16,192.30,192.70,184.85,185.65,59000,182.22
2012-05-15,194.50,198.00,190.50,192.30,30600,188.75
2012-05-14,196.00,201.60,193.15,195.90,78200,192.28
2012-05-11,198.00,199.95,191.10,192.75,36700,189.19
2012-05-10,194.00,200.55,193.00,198.85,37100,195.18
2012-05-09,193.90,198.95,191.00,192.50,363400,188.94
2012-05-08,192.00,196.00,191.10,193.40,27000,189.83
2012-05-07,191.95,194.10,186.00,191.75,28100,188.21
2012-05-04,199.00,199.90,189.75,190.45,22500,186.93
2012-05-03,199.00,199.90,198.00,198.40,10200,194.73
2012-05-02,205.20,206.75,200.20,201.05,19000,197.33
2012-05-01,204.65,204.65,204.65,204.65,000,200.87
2012-04-30,199.00,204.85,196.55,203.85,37900,200.08
2012-04-27,198.85,201.10,196.50,199.00,20500,195.32
2012-04-26,197.00,201.95,194.60,198.70,33600,195.03
2012-04-25,201.80,201.80,196.25,197.35,12900,193.70
2012-04-24,202.00,202.80,197.15,198.40,24100,194.73
2012-04-23,202.00,204.85,200.10,201.00,15800,197.29
2012-04-20,203.30,205.45,201.50,203.00,14800,199.25
2012-04-19,206.50,207.55,204.00,204.45,26900,200.67
2012-04-18,205.00,209.90,200.00,204.95,114000,201.16
2012-04-17,201.90,202.40,198.40,201.35,17000,197.63
2012-04-16,201.00,204.00,197.70,198.55,32100,194.88
2012-04-13,201.10,204.05,200.70,201.00,22200,197.29
2012-04-12,203.10,205.85,202.50,202.90,20600,199.15
2012-04-11,200.10,203.50,199.00,203.05,26000,199.30
2012-04-10,201.50,204.00,199.20,201.75,21200,198.02
2012-04-09,213.25,213.25,191.55,202.85,41500,199.10
2012-04-06,212.70,212.70,212.70,212.70,000,208.77
2012-04-05,212.70,212.70,212.70,212.70,000,208.77
2012-04-04,215.00,217.65,211.20,212.70,28100,208.77
2012-04-03,209.00,219.70,207.10,213.40,56100,209.46
2012-04-02,205.00,208.90,203.05,206.85,60800,203.03
2012-03-30,200.10,203.70,199.05,201.75,65600,198.02
2012-03-29,202.15,207.90,197.75,199.75,106700,196.06
2012-03-28,203.95,205.80,202.00,204.00,37600,200.23
2012-03-27,209.00,210.00,202.00,203.15,63100,199.40
2012-03-26,210.50,210.50,206.00,207.85,33800,204.01
2012-03-23,211.80,211.80,207.05,209.55,36400,205.68
2012-03-22,213.00,220.60,208.00,208.50,58100,204.65
2012-03-21,216.70,216.90,213.00,214.75,45700,210.78
2012-03-20,212.00,215.95,212.00,215.25,17000,211.27
2012-03-19,214.95,216.00,211.60,214.25,58500,210.29
2012-03-16,218.90,221.45,210.00,211.55,125300,207.64
2012-03-15,215.60,218.85,215.00,216.95,36000,212.94
2012-03-14,221.00,222.90,216.15,217.05,22000,213.04
2012-03-13,220.75,221.90,218.60,219.30,31800,215.25
2012-03-12,221.70,221.70,217.05,217.85,29300,213.82
2012-03-09,214.95,222.00,214.05,219.40,53200,215.35
2012-03-08,216.25,216.25,216.25,216.25,000,212.25
2012-03-07,211.80,215.00,209.20,212.95,38300,209.01
2012-03-06,218.90,222.00,208.70,212.55,38600,208.62
2012-03-05,216.00,223.40,216.00,217.45,79700,213.43
2012-03-02,218.00,220.50,216.00,216.95,27400,212.94
2012-03-01,223.75,223.75,215.00,216.25,92200,212.25
2012-02-29,231.95,231.95,217.00,220.75,50600,216.67
2012-02-28,224.00,229.40,219.10,225.70,67900,221.53
2012-02-27,232.10,232.10,216.00,223.15,744900,219.03
2012-02-24,232.85,233.75,229.05,230.45,40500,226.19
2012-02-23,230.00,232.90,226.05,230.25,452200,226.00
2012-02-22,238.50,240.95,228.60,230.05,290600,225.80
2012-02-21,241.00,243.75,235.10,236.60,1433200,232.23
2012-02-20,238.45,238.45,238.45,238.45,000,234.04
2012-02-17,237.00,244.00,236.00,238.45,515400,234.04
2012-02-16,234.00,243.85,232.30,236.65,267400,232.28
2012-02-15,220.10,252.90,217.00,235.30,1526400,230.95
2012-02-14,215.00,219.45,214.25,215.75,38500,211.76
2012-02-13,216.50,219.90,214.00,214.90,42200,210.93
2012-02-10,216.50,221.50,215.10,216.30,33200,212.30
2012-02-09,217.00,217.90,213.20,215.75,33100,211.76
2012-02-08,222.25,222.25,215.50,217.90,53400,213.87
2012-02-07,218.50,222.25,215.00,219.15,77400,215.10
2012-02-06,219.05,223.90,217.55,219.05,49400,215.00
2012-02-03,211.60,220.85,211.60,218.55,44800,214.51
2012-02-02,213.00,216.00,212.20,213.15,22900,209.21
2012-02-01,208.90,214.40,207.10,211.40,29400,207.49
2012-01-31,208.50,211.75,205.10,206.90,24700,203.08
2012-01-30,217.85,219.70,205.10,208.05,109700,204.21
2012-01-27,219.00,223.70,216.55,217.05,15100,213.04
2012-01-26,219.00,219.00,219.00,219.00,000,214.95
2012-01-25,218.00,220.85,217.40,219.00,54400,214.95
2012-01-24,220.00,221.90,218.50,219.55,56300,212.55
2012-01-23,221.90,227.75,218.00,218.45,45800,211.48
2012-01-20,226.95,229.50,217.00,218.40,36600,211.43
2012-01-19,216.00,224.50,216.00,223.15,88000,216.03
2012-01-18,222.95,230.00,215.10,218.45,1108200,211.48
2012-01-17,223.25,226.40,217.55,219.20,42700,212.21
2012-01-16,220.00,227.75,216.00,223.75,29500,216.61
2012-01-13,220.00,229.90,220.00,221.45,94900,214.39
2012-01-12,208.00,220.00,205.15,217.75,32900,210.81
2012-01-11,207.80,217.40,203.55,210.25,42400,203.54
2012-01-10,200.00,206.80,198.30,203.55,15800,197.06
2012-01-09,199.00,200.00,195.35,197.60,6100,191.30
2012-01-06,199.05,200.50,197.10,198.60,3000,192.27
2012-01-05,200.00,202.00,194.10,200.90,18400,194.49
2012-01-04,200.00,201.70,200.00,200.75,9500,194.35
2012-01-03,198.05,202.90,197.10,199.35,15400,192.99
2012-01-02,196.00,201.80,196.00,199.65,19800,193.28
2011-12-30,197.50,199.00,193.10,197.05,37300,190.77
2011-12-29,195.00,198.80,194.00,197.60,9800,191.30
2011-12-28,194.50,198.40,194.50,196.90,17300,190.62
2011-12-27,195.15,198.90,190.00,196.10,9200,189.85
2011-12-26,191.10,196.65,191.10,196.00,82200,189.75
2011-12-23,191.50,195.50,190.55,193.95,10200,187.76
2011-12-22,181.35,196.70,163.00,191.85,31100,185.73
2011-12-21,191.05,192.80,188.15,190.15,46400,184.09
2011-12-20,187.00,192.00,187.00,190.25,22900,184.18
2011-12-19,194.00,195.00,184.00,188.75,33400,182.73
2011-12-16,197.00,200.95,195.00,196.10,17900,189.85
2011-12-15,198.00,198.00,195.00,197.50,19500,191.20
2011-12-14,198.10,201.00,195.10,199.15,11800,192.80
2011-12-13,197.50,200.45,196.55,198.35,34100,192.02
2011-12-12,201.00,201.90,197.75,198.15,14000,191.83
2011-12-09,199.00,199.95,196.60,198.55,22500,192.22
2011-12-08,200.00,205.00,199.00,199.25,19500,192.90
2011-12-07,203.90,204.75,200.60,202.20,31100,195.75
2011-12-06,202.05,202.05,202.05,202.05,000,195.61
2011-12-05,202.00,204.00,200.35,202.05,10200,195.61
2011-12-02,199.00,204.50,198.60,201.95,21100,195.51
2011-12-01,205.00,207.00,199.15,200.30,11500,193.91
2011-11-30,204.00,204.00,199.15,200.10,17200,193.72
2011-11-29,202.50,207.00,202.00,203.70,34400,197.20
2011-11-28,199.00,207.00,198.00,201.75,13500,195.32
2011-11-25,198.00,203.85,198.00,198.20,13100,191.88
2011-11-24,197.15,199.75,196.50,199.10,9200,192.75
2011-11-23,199.00,200.00,194.00,198.20,23100,191.88
2011-11-22,202.30,202.50,199.00,200.00,95800,193.62
2011-11-21,202.00,204.10,199.10,200.15,29200,193.77
2011-11-18,206.20,208.65,202.00,203.25,84900,196.77
2011-11-17,214.00,214.00,205.00,206.20,24100,199.62
2011-11-16,212.75,214.70,207.00,211.70,32300,204.95
2011-11-15,220.00,221.50,211.65,212.40,27400,205.63
2011-11-14,222.00,228.30,211.65,222.60,51200,215.50
2011-11-11,228.90,228.90,215.60,222.05,47400,214.97
2011-11-09,231.90,231.90,225.10,226.55,14400,219.33
2011-11-08,229.00,234.50,227.00,229.05,22500,221.75
2011-11-04,234.00,234.95,228.25,229.50,11300,222.18
2011-11-03,233.65,235.95,228.00,230.75,219100,223.39
2011-11-02,231.35,235.85,230.55,234.95,19600,227.46
2011-11-01,235.80,236.90,230.85,232.70,15400,225.28
2011-10-31,233.00,236.00,231.50,235.05,16900,227.55
2011-10-28,234.75,236.95,230.20,232.95,25800,225.52
2011-10-26,230.00,233.00,227.05,233.00,7200,225.57
2011-10-25,229.00,229.75,226.35,228.10,14500,220.83
2011-10-24,231.50,234.40,222.55,225.65,15300,218.45
2011-10-21,232.95,236.90,230.50,231.20,22700,223.83
2011-10-20,242.10,243.00,228.80,231.75,83600,224.36
2011-10-19,237.80,241.50,234.20,239.70,74600,232.06
2011-10-18,230.10,239.80,228.00,234.15,87300,226.68
2011-10-17,232.00,233.95,226.10,228.70,156800,221.41
2011-10-14,233.50,235.85,225.00,227.65,35700,220.39
2011-10-13,236.60,238.00,207.70,225.75,172300,218.55
2011-10-12,234.00,237.00,231.20,236.60,24700,229.05
2011-10-11,229.50,234.80,229.50,233.00,540900,225.57
2011-10-10,219.45,232.40,201.00,230.40,25200,223.05
2011-10-07,226.00,228.75,222.50,225.10,40000,217.92
2011-10-05,225.30,229.60,222.00,224.90,46000,217.73
2011-10-04,220.40,224.70,219.55,223.25,108400,216.13
2011-10-03,220.35,225.50,218.00,222.80,28800,215.69
2011-09-30,227.95,227.95,222.00,223.75,23700,216.61
2011-09-29,219.35,230.00,211.25,227.95,117000,220.68
2011-09-28,220.85,220.85,215.00,216.30,15200,209.40
2011-09-27,217.30,221.70,216.30,218.50,26400,211.53
2011-09-26,222.40,225.00,213.25,214.20,43500,207.37
2011-09-23,224.00,224.00,216.25,217.95,83400,211.00
2011-09-22,236.80,236.80,223.30,226.40,47300,219.18
2011-09-21,232.80,248.70,230.00,239.30,344300,231.67
