Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1210.85,1210.85,1210.85,1210.85,000,1210.85
2012-12-24,1176.25,1215.00,1163.20,1210.85,4800,1210.85
2012-12-21,1222.05,1234.90,1191.15,1196.85,5900,1196.85
2012-12-20,1206.25,1250.00,1202.30,1238.15,9100,1238.15
2012-12-19,1230.05,1245.00,1211.00,1223.60,6300,1223.60
2012-12-18,1207.00,1245.90,1191.30,1235.95,8100,1235.95
2012-12-17,1203.80,1225.00,1201.65,1219.05,7700,1219.05
2012-12-14,1215.25,1222.00,1190.10,1199.15,7300,1199.15
2012-12-13,1224.05,1243.95,1217.00,1223.00,7500,1223.00
2012-12-12,1226.00,1236.90,1216.00,1221.05,8800,1221.05
2012-12-11,1261.95,1262.00,1215.70,1224.15,9100,1224.15
2012-12-10,1279.40,1279.80,1230.10,1239.15,25900,1239.15
2012-12-07,1285.90,1306.05,1255.05,1281.70,57900,1281.70
2012-12-06,1315.05,1328.00,1250.05,1270.25,93000,1270.25
2012-12-05,1227.45,1326.95,1216.25,1274.35,91600,1274.35
2012-12-04,1240.00,1250.00,1200.00,1216.60,15600,1216.60
2012-12-03,1230.30,1250.00,1212.25,1239.65,23500,1239.65
2012-11-30,1175.75,1250.00,1170.25,1218.65,16900,1218.65
2012-11-29,1170.00,1200.00,1168.00,1175.75,19600,1175.75
2012-11-28,1156.90,1156.90,1156.90,1156.90,000,1156.90
2012-11-27,1150.00,1194.00,1138.90,1156.90,27500,1156.90
2012-11-26,1150.05,1174.00,1130.25,1153.80,21600,1153.80
2012-11-23,1145.95,1168.00,1144.95,1153.25,2900,1153.25
2012-11-22,1185.00,1185.00,1141.00,1157.40,4200,1157.40
2012-11-21,1125.90,1168.00,1110.10,1152.40,10500,1152.40
2012-11-20,1093.00,1135.00,1093.00,1125.85,9100,1125.85
2012-11-19,1112.00,1125.05,1105.00,1107.85,105700,1107.85
2012-11-16,1136.00,1137.00,1100.00,1112.00,10800,1112.00
2012-11-15,1154.05,1159.75,1130.10,1134.50,4300,1134.50
2012-11-14,1144.75,1144.75,1144.75,1144.75,000,1144.75
2012-11-13,1144.75,1144.75,1144.75,1144.75,000,1144.75
2012-11-12,1168.85,1169.90,1126.00,1144.75,2300,1144.75
2012-11-09,1158.95,1168.00,1136.55,1150.75,4600,1150.75
2012-11-08,1120.00,1162.90,1120.00,1152.85,3600,1152.85
2012-11-07,1165.15,1171.90,1140.10,1145.05,6300,1145.05
2012-11-06,1154.10,1172.00,1144.65,1163.50,9300,1163.50
2012-11-05,1139.00,1155.00,1134.10,1146.50,6400,1146.50
2012-11-02,1124.05,1140.00,1120.05,1137.20,9100,1137.20
2012-11-01,1113.00,1121.65,1099.00,1108.35,5800,1108.35
2012-10-31,1097.35,1130.00,1081.10,1113.15,4500,1113.15
2012-10-30,1120.05,1120.05,1087.00,1095.85,3300,1095.85
2012-10-29,1129.60,1135.00,1110.00,1116.95,3700,1116.95
2012-10-26,1155.00,1155.00,1155.00,1155.00,000,1155.00
2012-10-25,1149.95,1159.00,1135.10,1155.00,26500,1155.00
2012-10-24,1138.25,1138.25,1138.25,1138.25,000,1138.25
2012-10-23,1143.95,1150.00,1132.55,1138.25,1500,1138.25
2012-10-22,1147.05,1150.00,1121.05,1145.15,4900,1145.15
2012-10-19,1157.95,1157.95,1125.05,1130.75,8700,1130.75
2012-10-18,1164.00,1165.00,1132.15,1142.30,6200,1142.30
2012-10-17,1160.00,1176.95,1140.00,1143.80,7400,1143.80
2012-10-16,1155.65,1185.00,1144.05,1163.05,51600,1163.05
2012-10-15,1146.30,1175.55,1137.05,1171.50,10600,1171.50
2012-10-12,1150.00,1156.00,1131.85,1146.35,3800,1146.35
2012-10-11,1133.00,1159.00,1117.00,1150.25,6000,1150.25
2012-10-10,1143.90,1143.90,1118.00,1123.80,2800,1123.80
2012-10-09,1149.90,1149.90,1132.10,1133.45,2200,1133.45
2012-10-08,1139.50,1150.00,1129.00,1139.80,5500,1139.80
2012-10-05,1160.00,1170.80,1120.00,1139.80,12600,1139.80
2012-10-04,1179.00,1190.00,1121.00,1159.25,10800,1159.25
2012-10-03,1197.75,1197.75,1152.00,1163.05,6200,1163.05
2012-10-02,1186.90,1186.90,1186.90,1186.90,000,1186.90
2012-10-01,1163.05,1192.00,1163.00,1186.90,6600,1186.90
2012-09-28,1165.95,1194.00,1142.25,1172.95,18200,1172.95
2012-09-27,1150.85,1190.00,1132.85,1164.10,31600,1164.10
2012-09-26,1139.05,1164.95,1117.00,1144.30,43000,1144.30
2012-09-25,1097.55,1150.00,1097.50,1138.10,69600,1138.10
2012-09-24,1090.00,1128.00,1043.00,1104.25,39800,1104.25
2012-09-21,1120.00,1146.90,1076.15,1089.25,70700,1089.25
2012-09-20,1103.30,1141.00,1063.00,1090.75,46600,1090.75
2012-09-19,1129.45,1129.45,1129.45,1129.45,000,1129.45
2012-09-18,1140.00,1148.00,1114.00,1129.45,16000,1129.45
2012-09-17,1125.00,1244.00,1125.00,1135.50,104400,1135.50
2012-09-14,1060.00,1115.00,1048.65,1084.80,14500,1084.80
2012-09-13,1047.20,1067.00,1047.20,1053.20,2800,1053.20
2012-09-12,1049.05,1065.00,1040.10,1048.10,2900,1048.10
2012-09-11,1055.00,1066.00,1050.00,1050.20,16800,1050.20
2012-09-10,1080.00,1080.00,1035.00,1053.15,2600,1053.15
2012-09-07,1044.40,1054.35,1023.05,1035.20,2600,1035.20
2012-09-06,1025.05,1049.85,1023.05,1029.10,1700,1029.10
2012-09-05,1045.45,1045.45,1025.00,1030.25,500,1030.25
2012-09-04,1036.95,1050.00,1030.60,1039.45,1000,1039.45
2012-09-03,1054.95,1058.45,1035.00,1038.50,3200,1038.50
2012-08-31,1022.35,1065.00,1001.00,1052.25,4600,1052.25
2012-08-30,1021.15,1044.40,1021.15,1040.15,1500,1040.15
2012-08-29,1040.05,1065.00,1025.00,1029.80,6200,1029.80
2012-08-28,1054.00,1055.00,1042.00,1049.90,2500,1049.90
2012-08-27,1038.85,1064.95,1029.10,1038.80,2800,1038.80
2012-08-24,1055.00,1062.85,1050.00,1054.20,1400,1054.20
2012-08-23,1070.15,1096.00,1055.00,1060.10,28500,1060.10
2012-08-22,1072.30,1099.95,1068.65,1080.80,3100,1080.80
2012-08-21,1084.90,1099.90,1076.00,1082.90,6700,1082.90
2012-08-20,1065.65,1065.65,1065.65,1065.65,000,1065.65
2012-08-17,1065.00,1084.50,1061.50,1065.65,6100,1065.65
2012-08-16,1044.10,1064.70,1044.00,1058.30,2500,1058.30
2012-08-15,1048.95,1048.95,1048.95,1048.95,000,1048.95
2012-08-14,1058.95,1067.00,1045.00,1048.95,1900,1048.95
2012-08-13,1065.10,1088.00,1042.15,1059.75,6300,1059.75
2012-08-10,1054.90,1079.80,1040.40,1062.45,5100,1062.45
2012-08-09,1025.10,1067.00,1023.30,1050.85,14600,1050.85
2012-08-08,1037.45,1040.00,1030.00,1030.15,1400,1030.15
2012-08-07,1039.90,1039.90,1028.00,1031.55,1300,1031.55
2012-08-06,1049.00,1049.00,1025.00,1028.55,2200,1028.55
2012-08-03,1024.00,1034.05,1005.00,1030.15,3300,1030.15
2012-08-02,1039.90,1045.00,1018.00,1022.85,2200,1022.85
2012-08-01,1025.00,1042.50,1025.00,1040.00,4100,1040.00
2012-07-31,1012.15,1045.95,1011.85,1030.05,7300,1030.05
2012-07-30,1013.90,1015.00,996.75,1011.85,13400,1011.85
2012-07-27,1015.05,1042.90,982.15,989.60,11100,989.60
2012-07-26,1037.95,1046.00,1001.00,1007.50,4300,1007.50
2012-07-25,1043.85,1068.40,1023.00,1027.60,4100,1027.60
2012-07-24,1056.00,1075.95,1039.95,1046.05,13400,1046.05
2012-07-23,1067.10,1075.00,1044.00,1053.80,10900,1053.80
2012-07-20,1059.75,1085.60,1055.00,1080.80,13700,1074.30
2012-07-19,1074.00,1074.00,1048.00,1051.10,8900,1044.78
2012-07-18,1015.00,1063.00,1014.95,1053.70,17400,1047.36
