Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,3410.30,3410.30,3410.30,3410.30,000,3410.30
2012-12-24,3430.00,3469.90,3401.00,3410.30,30200,3410.30
2012-12-21,3495.00,3519.35,3385.00,3408.80,29100,3408.80
2012-12-20,3534.80,3570.00,3477.00,3492.60,34800,3492.60
2012-12-19,3550.00,3604.00,3508.00,3517.95,36400,3517.95
2012-12-18,3649.30,3677.95,3533.05,3543.20,40700,3543.20
2012-12-17,3601.00,3698.00,3566.65,3631.30,35700,3631.30
2012-12-14,3742.90,3770.00,3602.00,3627.05,35900,3627.05
2012-12-13,3810.00,3825.00,3720.00,3742.90,57300,3742.90
2012-12-12,3837.75,3872.95,3785.00,3826.55,54300,3826.55
2012-12-11,3730.95,3847.00,3716.35,3828.35,70900,3828.35
2012-12-10,3614.90,3736.05,3612.60,3716.30,31700,3716.30
2012-12-07,3715.00,3734.90,3662.70,3680.80,30000,3680.80
2012-12-06,3620.00,3716.00,3570.95,3702.25,45300,3702.25
2012-12-05,3625.00,3650.00,3588.25,3607.35,19500,3607.35
2012-12-04,3640.00,3713.90,3580.00,3605.70,50500,3605.70
2012-12-03,3564.50,3679.00,3520.00,3654.30,71100,3654.30
2012-11-30,3554.85,3565.00,3493.25,3543.75,25600,3543.75
2012-11-29,3415.70,3555.00,3415.70,3535.55,36400,3535.55
2012-11-28,3487.95,3487.95,3487.95,3487.95,000,3487.95
2012-11-27,3520.00,3563.00,3470.00,3487.95,47900,3487.95
2012-11-26,3369.85,3508.00,3342.00,3483.00,85700,3483.00
2012-11-23,3375.00,3395.00,3330.00,3339.70,40300,3339.70
2012-11-22,3360.00,3419.00,3341.45,3367.55,25100,3367.55
2012-11-21,3349.95,3388.00,3334.95,3360.50,26000,3360.50
2012-11-20,3325.70,3379.90,3315.15,3328.75,27700,3328.75
2012-11-19,3379.90,3408.80,3290.00,3309.20,22800,3309.20
2012-11-16,3347.00,3424.00,3330.00,3381.95,40800,3381.95
2012-11-15,3320.00,3428.85,3216.00,3347.25,54800,3347.25
2012-11-14,3325.25,3325.25,3325.25,3325.25,000,3325.25
2012-11-13,3325.25,3325.25,3325.25,3325.25,000,3325.25
2012-11-12,3358.20,3399.85,3312.20,3325.25,29200,3325.25
2012-11-09,3439.95,3455.00,3325.15,3358.15,45700,3358.15
2012-11-08,3440.00,3468.00,3380.00,3440.85,42700,3440.85
2012-11-07,3436.00,3475.00,3435.00,3456.00,52300,3456.00
2012-11-06,3394.90,3464.75,3381.85,3436.05,63900,3436.05
2012-11-05,3335.00,3527.20,3322.60,3397.55,192700,3397.55
2012-11-02,3354.85,3424.40,3351.00,3401.80,95200,3401.80
2012-11-01,3190.00,3387.00,3190.00,3354.85,207100,3354.85
2012-10-31,3055.15,3225.55,2982.00,3205.75,166300,3205.75
2012-10-30,3110.15,3129.35,3025.05,3037.55,52800,3037.55
2012-10-29,3144.30,3157.70,3085.00,3109.00,29800,3109.00
2012-10-26,3137.85,3137.85,3137.85,3137.85,000,3137.85
2012-10-25,3150.00,3179.75,3069.00,3137.85,93600,3137.85
2012-10-24,3132.35,3132.35,3132.35,3132.35,000,3132.35
2012-10-23,3160.00,3215.00,3125.50,3132.35,71700,3132.35
2012-10-22,3232.35,3265.55,3132.00,3145.65,88700,3145.65
2012-10-19,3295.00,3304.95,3225.00,3233.80,50700,3233.80
2012-10-18,3297.85,3327.00,3260.15,3289.50,81200,3289.50
2012-10-17,3242.95,3298.00,3212.90,3288.15,122500,3288.15
2012-10-16,3175.15,3270.00,3170.80,3207.30,237300,3207.30
2012-10-15,3284.00,3348.00,3131.00,3154.20,392700,3154.20
2012-10-12,3668.00,3699.05,3230.00,3301.20,442800,3301.20
2012-10-11,3700.00,3730.00,3661.00,3672.40,35300,3672.40
2012-10-10,3717.00,3745.85,3671.50,3684.35,29800,3684.35
2012-10-09,3700.00,3786.00,3692.45,3710.50,51200,3710.50
2012-10-08,3739.40,3758.85,3672.00,3689.50,26900,3689.50
2012-10-05,3779.95,3820.00,3710.00,3727.10,33000,3727.10
2012-10-04,3815.00,3853.80,3725.00,3769.65,38600,3769.65
2012-10-03,3681.00,3840.00,3680.95,3812.00,105300,3812.00
2012-10-02,3687.80,3687.80,3687.80,3687.80,000,3687.80
2012-10-01,3739.00,3782.00,3629.35,3687.80,61600,3687.80
2012-09-28,3795.55,3845.00,3710.00,3730.45,50100,3730.45
2012-09-27,3910.00,3944.15,3770.00,3785.55,118000,3785.55
2012-09-26,3789.40,3949.00,3750.00,3906.25,175200,3906.25
2012-09-25,3705.00,3810.05,3622.00,3789.60,210000,3789.60
