Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,33.05,33.05,33.05,33.05,000,33.05
2012-12-24,32.35,33.25,32.10,33.05,3026600,33.05
2012-12-21,33.45,33.70,31.80,32.05,4807200,32.05
2012-12-20,34.05,34.45,33.40,33.70,3515900,33.70
2012-12-19,34.15,34.90,33.85,34.00,7230800,34.00
2012-12-18,34.35,34.45,33.50,33.85,5633900,33.85
2012-12-17,33.70,34.45,33.05,34.10,7110700,34.10
2012-12-14,33.35,33.60,33.00,33.30,3111600,33.30
2012-12-13,32.75,34.10,32.50,33.30,11441000,33.30
2012-12-12,32.50,32.85,31.75,32.55,9591400,32.55
2012-12-11,34.50,34.75,31.85,32.30,9828300,32.30
2012-12-10,34.75,35.20,34.10,34.30,2915500,34.30
2012-12-07,33.85,35.50,33.55,34.50,8962100,34.50
2012-12-06,34.00,34.10,32.85,33.65,5266700,33.65
2012-12-05,34.90,35.35,33.25,33.65,6388700,33.65
2012-12-04,35.15,35.70,34.55,34.90,5924900,34.90
2012-12-03,36.00,36.20,34.60,35.10,10633500,35.10
2012-11-30,34.65,36.25,33.65,35.75,18196000,35.75
2012-11-29,34.80,35.40,34.00,34.40,12673800,34.40
2012-11-28,34.85,34.85,34.85,34.85,000,34.85
2012-11-27,33.75,35.45,33.25,34.85,16549500,34.85
2012-11-26,32.50,34.25,32.20,33.50,11690100,33.50
2012-11-23,32.40,32.85,31.80,32.45,6043500,32.45
2012-11-22,31.75,33.05,31.75,32.35,9365300,32.35
2012-11-21,30.95,32.15,30.25,31.60,9978300,31.60
2012-11-20,31.60,32.70,29.75,30.65,11290900,30.65
2012-11-19,32.40,33.35,31.25,31.45,9295300,31.45
2012-11-16,35.90,36.55,31.60,32.05,23809100,32.05
2012-11-15,31.35,36.15,30.60,35.60,40462500,35.60
2012-11-14,29.25,29.25,29.25,29.25,000,29.25
2012-11-13,29.25,29.25,29.25,29.25,000,29.25
2012-11-12,28.45,29.50,28.25,29.25,4590100,29.25
2012-11-09,29.30,29.70,28.05,28.25,3840300,28.25
2012-11-08,28.35,30.00,28.35,29.10,3397800,29.10
2012-11-07,29.00,30.25,29.00,29.65,8558300,29.65
2012-11-06,28.35,29.70,28.35,29.15,5944700,29.15
2012-11-05,28.10,29.35,27.75,29.00,7477000,29.00
2012-11-02,28.25,29.15,28.10,28.20,7236100,28.20
2012-11-01,28.30,28.80,27.65,28.10,12523500,28.10
2012-10-31,26.20,28.60,25.50,28.25,19290300,28.25
2012-10-30,25.60,26.45,25.50,25.95,8142300,25.95
2012-10-29,26.00,27.35,25.25,25.55,9515900,25.55
2012-10-26,28.35,28.35,28.35,28.35,000,28.35
2012-10-25,26.95,29.50,25.00,28.35,20169300,28.35
