Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,42.70,42.70,42.70,42.70,000,42.70
2012-12-24,44.00,44.00,40.80,42.70,644600,42.70
2012-12-21,42.45,43.70,40.80,42.05,2210600,42.05
2012-12-20,40.55,42.60,40.05,42.00,2676300,42.00
2012-12-19,40.35,41.35,39.45,40.50,1232500,40.50
2012-12-18,40.00,41.35,39.80,40.20,746400,40.20
2012-12-17,39.70,40.80,38.30,39.95,687100,39.95
2012-12-14,39.60,39.70,38.15,38.65,414400,38.65
2012-12-13,39.65,40.10,38.20,38.40,455300,38.40
2012-12-12,38.90,39.95,38.50,39.35,720400,39.35
2012-12-11,39.30,39.70,38.40,38.60,520600,38.60
2012-12-10,39.60,39.90,39.15,39.30,334000,39.30
2012-12-07,39.55,40.20,39.00,39.25,776600,39.25
2012-12-06,40.05,40.50,39.00,39.35,792000,39.35
2012-12-05,40.55,41.65,39.10,39.95,633800,39.95
2012-12-04,40.50,41.40,40.30,40.55,1442400,40.55
2012-12-03,38.40,40.90,38.40,40.00,1937400,40.00
2012-11-30,39.25,40.00,38.80,39.00,831000,39.00
2012-11-29,37.15,38.70,37.15,38.50,1024100,38.50
2012-11-28,37.20,37.20,37.20,37.20,000,37.20
2012-11-27,37.55,37.80,37.05,37.20,371000,37.20
2012-11-26,37.80,37.80,37.00,37.10,220400,37.10
2012-11-23,37.30,37.45,36.50,37.00,906300,37.00
2012-11-22,37.80,38.10,36.70,36.90,508400,36.90
2012-11-21,37.60,38.55,37.20,37.65,372300,37.65
2012-11-20,38.05,38.30,37.20,37.45,374100,37.45
2012-11-19,38.10,38.60,37.65,37.80,288700,37.80
2012-11-16,38.30,39.05,37.80,38.10,503100,38.10
2012-11-15,39.30,39.60,38.20,38.50,675700,38.50
2012-11-14,38.55,38.55,38.55,38.55,000,38.55
2012-11-13,38.55,38.55,38.55,38.55,000,38.55
2012-11-12,38.30,38.80,38.30,38.55,439700,38.55
2012-11-09,38.85,38.85,38.10,38.25,534300,38.25
2012-11-08,38.25,38.75,37.75,38.35,429100,38.35
2012-11-07,38.10,39.10,37.80,38.45,700300,38.45
2012-11-06,38.45,38.80,37.70,38.45,445000,38.45
2012-11-05,40.40,40.40,38.20,38.45,564300,38.45
2012-11-02,38.80,39.55,38.65,38.80,769800,38.80
2012-11-01,39.50,39.90,38.30,38.75,2196600,38.75
2012-10-31,39.15,39.80,38.00,38.60,3779100,38.60
2012-10-30,41.45,41.45,39.10,39.95,755200,39.95
2012-10-29,42.75,42.75,40.15,41.10,912800,41.10
2012-10-26,40.30,40.30,40.30,40.30,000,40.30
2012-10-25,42.00,42.00,40.15,40.30,671600,40.30
2012-10-24,40.95,40.95,40.95,40.95,000,40.95
2012-10-23,42.00,42.05,40.75,40.95,406200,40.95
2012-10-22,42.65,42.70,41.25,41.70,766100,41.70
2012-10-19,41.00,43.65,40.40,42.70,1146100,42.70
2012-10-18,40.95,41.50,40.65,41.05,521900,41.05
2012-10-17,41.00,42.20,40.55,40.90,500600,40.90
2012-10-16,41.85,42.10,40.15,40.50,468000,40.50
2012-10-15,41.30,42.10,41.30,41.85,410500,41.85
2012-10-12,41.00,42.40,41.00,41.65,601600,41.65
2012-10-11,41.45,41.80,40.70,41.00,681700,41.00
2012-10-10,42.85,42.95,41.15,41.40,743000,41.40
2012-10-09,44.25,44.30,42.85,43.10,941400,43.10
2012-10-08,45.50,45.50,43.50,44.40,982400,44.40
2012-10-05,46.50,46.90,44.05,45.30,1580500,45.30
2012-10-04,45.20,46.40,44.80,46.10,2145000,46.10
2012-10-03,44.05,45.00,43.10,44.85,1649500,44.85
2012-10-02,44.35,44.35,44.35,44.35,000,44.35
2012-10-01,42.60,44.80,41.35,44.35,4037800,44.35
2012-09-28,41.05,42.70,41.05,42.30,1178600,42.30
2012-09-27,42.55,43.00,41.55,42.00,1282900,42.00
2012-09-26,43.90,43.90,42.05,42.50,806200,42.50
2012-09-25,45.65,45.65,42.75,43.00,1183600,43.00
2012-09-24,42.50,43.55,41.65,42.75,2803200,42.75
2012-09-21,43.50,44.50,42.35,42.70,3871400,42.70
2012-09-20,41.30,43.10,40.50,42.60,4922200,42.60
2012-09-19,41.75,41.75,41.75,41.75,000,41.75
2012-09-18,39.95,42.00,39.70,41.75,2224700,41.75
2012-09-17,40.50,40.55,39.45,40.05,1374900,40.05
2012-09-14,39.05,40.60,38.80,39.95,3005500,39.95
2012-09-13,37.55,38.95,37.50,38.65,1483400,38.65
2012-09-12,37.90,38.50,37.45,37.75,935700,37.75
2012-09-11,37.70,38.30,37.25,37.75,874700,37.75
2012-09-10,38.00,38.45,37.60,37.70,459900,37.70
2012-09-07,38.30,39.00,37.50,37.75,1556800,37.75
2012-09-06,37.50,38.35,36.80,38.00,1977000,38.00
2012-09-05,37.80,38.45,37.10,37.65,876800,37.65
2012-09-04,36.40,37.80,35.55,37.65,1738400,37.65
2012-09-03,38.50,38.50,36.05,36.65,3569400,36.65
2012-08-31,40.00,40.90,38.50,38.70,890300,38.70
2012-08-30,38.40,40.40,37.15,39.60,2994300,39.60
2012-08-29,39.25,39.30,37.80,38.20,539400,38.20
2012-08-28,40.35,40.35,38.50,38.90,569600,38.90
2012-08-27,40.45,40.90,39.55,39.75,1133800,39.75
2012-08-24,38.95,40.60,38.10,40.40,1498700,40.40
2012-08-23,38.90,39.75,38.70,38.95,497800,38.95
2012-08-22,39.80,39.95,39.10,39.40,399600,39.40
2012-08-21,40.00,40.55,39.70,39.90,929300,39.90
2012-08-20,39.95,39.95,39.95,39.95,000,39.95
2012-08-17,40.00,40.80,39.15,39.95,897000,39.95
2012-08-16,40.25,40.90,39.75,40.45,1008000,40.45
2012-08-15,40.35,40.35,40.35,40.35,000,40.35
2012-08-14,40.00,40.65,39.50,40.35,993700,40.35
2012-08-13,39.00,40.10,38.60,39.80,1039300,39.80
2012-08-10,39.50,39.90,38.15,39.35,1174300,39.35
2012-08-09,38.65,39.80,37.40,39.15,1514500,39.15
2012-08-08,39.45,39.45,38.00,38.35,916100,38.35
2012-08-07,38.90,39.40,38.55,39.00,998100,39.00
2012-08-06,37.40,38.85,37.40,38.55,1141200,38.55
2012-08-03,38.10,38.10,37.45,37.75,596900,37.75
2012-08-02,38.90,39.20,37.85,38.10,1011000,38.10
2012-08-01,37.90,39.00,37.50,38.65,1953900,38.65
2012-07-31,38.40,38.45,37.25,37.90,1176700,37.90
2012-07-30,37.75,38.70,36.55,38.40,1226000,38.40
2012-07-27,38.00,39.20,36.45,37.75,4354800,37.75
2012-07-26,38.40,38.85,36.75,38.05,3356700,38.05
2012-07-25,38.80,38.95,36.75,37.95,2609900,37.95
2012-07-24,41.55,41.55,38.80,39.00,876500,39.00
2012-07-23,39.55,39.70,38.70,39.00,1284400,39.00
2012-07-20,39.80,40.50,38.95,40.00,1455100,40.00
2012-07-19,40.65,40.70,38.70,39.65,2392600,39.65
2012-07-18,38.70,40.50,38.25,40.10,2316900,40.10
2012-07-17,40.80,41.00,38.55,39.20,2619300,39.20
2012-07-16,41.10,42.25,39.70,40.15,2428400,40.15
2012-07-13,41.00,41.90,40.45,41.45,3307200,41.45
2012-07-12,41.00,41.10,39.70,40.75,3752600,40.75
2012-07-11,39.70,41.60,39.55,41.10,7288700,41.10
2012-07-10,39.10,40.45,38.70,39.80,6128900,39.80
2012-07-09,37.10,39.80,36.90,39.50,12515500,39.50
2012-07-06,36.95,37.40,36.30,36.65,1435900,36.65
2012-07-05,35.05,37.35,35.05,37.00,5953400,37.00
2012-07-04,35.15,36.00,35.10,35.40,2063900,35.40
2012-07-03,35.80,36.10,34.75,35.05,1992900,35.05
2012-07-02,35.95,36.70,35.10,35.60,2708200,35.60
2012-06-29,34.20,36.60,34.20,36.45,3762100,36.45
2012-06-28,33.95,34.30,33.70,34.00,1855900,34.00
2012-06-27,34.20,34.55,33.35,33.95,1038600,33.95
2012-06-26,34.25,34.50,33.75,34.10,1221500,34.10
2012-06-25,34.40,34.90,33.90,34.00,1847900,34.00
2012-06-22,33.40,34.50,33.30,33.95,2422700,33.95
2012-06-21,33.00,34.00,32.80,33.85,1333600,33.85
2012-06-20,32.25,33.50,32.25,33.20,1395000,33.20
2012-06-19,32.80,32.95,32.30,32.60,1297000,32.60
2012-06-18,33.65,33.80,32.45,32.90,1668600,32.90
2012-06-15,33.50,33.50,33.05,33.35,1347700,33.35
2012-06-14,33.60,33.65,32.80,32.95,1043600,32.95
2012-06-13,33.55,33.95,33.25,33.50,1313800,33.50
2012-06-12,34.40,36.90,32.10,33.25,1002600,33.25
2012-06-11,33.00,33.90,32.85,33.20,2431100,33.20
2012-06-08,33.20,33.60,32.35,32.80,2122500,32.80
2012-06-07,33.80,34.35,32.85,33.10,3025000,33.10
2012-06-06,33.00,33.55,32.75,33.40,1443800,33.40
2012-06-05,32.50,33.10,32.25,32.60,1063200,32.60
2012-06-04,32.55,32.55,31.80,32.45,1065000,32.45
2012-06-01,33.00,34.50,33.00,33.20,2807400,32.50
2012-05-31,33.60,34.50,33.35,33.95,1671500,33.23
2012-05-30,35.00,35.15,33.90,34.15,1515900,33.43
2012-05-29,35.50,36.15,34.90,35.10,3299500,34.36
2012-05-28,34.50,35.80,34.10,35.50,4474700,34.75
2012-05-25,34.00,34.75,33.40,33.95,4966600,33.23
2012-05-24,33.00,33.70,32.55,33.35,1732500,32.65
2012-05-23,33.60,33.90,32.75,33.00,1098800,32.30
2012-05-22,34.35,34.45,33.30,33.60,1315800,32.89
2012-05-21,33.45,34.35,32.50,33.65,1758800,32.94
2012-05-18,33.00,33.40,32.05,32.90,1151600,32.21
2012-05-17,33.70,34.40,32.80,33.10,1942600,32.40
2012-05-16,34.50,34.50,33.50,33.75,1264500,33.04
2012-05-15,34.15,34.90,33.60,34.50,1375100,33.77
2012-05-14,35.50,35.90,34.05,34.45,1155300,33.72
2012-05-11,36.00,36.40,35.10,35.40,1561300,34.65
2012-05-10,37.10,37.75,35.40,36.00,1485900,35.24
2012-05-09,38.75,38.75,36.80,37.05,1034400,36.27
2012-05-08,39.65,39.85,37.60,37.75,1324100,36.95
2012-05-07,38.30,39.75,37.30,39.45,1297300,38.62
2012-05-04,39.10,39.40,38.05,38.80,1209200,37.98
2012-05-03,41.50,41.50,38.95,39.10,1861000,38.28
2012-05-02,41.00,41.75,41.00,41.50,3981100,40.63
2012-05-01,41.15,41.15,41.15,41.15,000,40.28
2012-04-30,44.00,44.00,38.80,41.00,4208700,40.14
2012-04-27,39.25,39.85,38.10,38.30,1158300,37.49
2012-04-26,42.90,42.90,39.00,39.20,2251400,38.37
2012-04-25,39.55,40.25,38.60,39.95,4831300,39.11
2012-04-24,39.70,39.80,38.30,38.80,1087100,37.98
2012-04-23,40.95,41.20,38.85,39.05,1317100,38.23
2012-04-20,41.20,41.85,40.50,40.65,1317700,39.79
2012-04-19,44.00,44.00,40.10,41.20,1758800,40.33
2012-04-18,42.25,42.25,40.60,41.20,1832100,40.33
2012-04-17,41.50,42.00,40.65,41.25,1940800,40.38
2012-04-16,40.90,41.80,40.10,41.30,1079700,40.43
2012-04-13,42.90,42.90,40.10,40.35,1351400,39.50
2012-04-12,38.75,41.95,38.75,41.65,1908700,40.77
2012-04-11,40.50,40.85,39.95,40.25,1510500,39.40
2012-04-10,41.50,41.60,40.30,40.90,1294400,40.04
2012-04-09,42.25,42.80,41.00,41.15,2370800,40.28
2012-04-06,42.85,42.85,42.85,42.85,000,41.95
2012-04-05,42.85,42.85,42.85,42.85,000,41.95
2012-04-04,42.20,43.25,40.60,42.85,4441800,41.95
2012-04-03,43.90,43.90,42.00,42.20,3238100,41.31
2012-04-02,41.50,43.40,41.20,43.15,5609500,42.24
2012-03-30,38.00,41.30,37.50,41.00,5702900,40.14
