Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,951.35,951.35,951.35,951.35,000,951.35
2012-12-24,935.50,966.40,935.50,951.35,511900,951.35
2012-12-21,959.05,968.40,930.10,933.35,372300,933.35
2012-12-20,957.15,969.00,948.20,961.90,537500,961.90
2012-12-19,935.95,964.90,928.20,952.30,793900,952.30
2012-12-18,921.95,947.00,904.00,931.85,522800,931.85
2012-12-17,928.75,936.95,911.00,916.95,333900,916.95
2012-12-14,947.85,947.90,915.50,922.65,465600,922.65
2012-12-13,958.95,972.00,925.00,936.50,548800,936.50
2012-12-12,955.00,969.90,942.25,956.40,787400,956.40
2012-12-11,929.00,976.00,922.20,953.60,2080300,953.60
2012-12-10,927.60,934.35,907.00,921.35,481700,921.35
2012-12-07,919.95,948.00,906.30,917.70,932700,917.70
2012-12-06,884.95,939.95,857.00,912.65,2173300,912.65
2012-12-05,1009.95,1024.40,866.35,884.95,3600600,884.95
2012-12-04,843.05,1011.20,838.35,1000.65,4197400,1000.65
2012-12-03,805.00,849.00,802.55,842.70,1044400,842.70
2012-11-30,762.00,818.00,760.55,798.60,6740200,798.60
2012-11-29,762.00,779.00,753.00,761.10,664100,761.10
2012-11-28,757.10,757.10,757.10,757.10,000,757.10
2012-11-27,760.00,767.00,752.20,757.10,522400,757.10
2012-11-26,770.00,774.45,750.00,756.15,525200,756.15
2012-11-23,757.95,772.00,752.65,767.85,1077100,767.85
2012-11-22,742.30,762.00,729.15,753.30,807100,753.30
2012-11-21,764.40,765.80,747.95,754.65,552600,754.65
2012-11-20,771.40,775.00,747.05,752.75,446700,752.75
2012-11-19,765.00,793.00,747.10,773.30,967400,773.30
2012-11-16,788.00,805.00,753.00,761.45,1218100,761.45
2012-11-15,837.80,851.65,782.50,788.85,2585300,788.85
2012-11-14,756.50,756.50,756.50,756.50,000,756.50
2012-11-13,756.50,756.50,756.50,756.50,000,756.50
2012-11-12,801.00,814.00,748.20,756.50,1691100,756.50
2012-11-09,809.65,819.70,781.00,791.70,768200,791.70
2012-11-08,764.80,814.40,755.00,788.25,1619800,788.25
2012-11-07,787.00,794.70,762.95,774.70,528000,774.70
2012-11-06,780.00,806.00,777.70,783.50,436700,783.50
2012-11-05,769.65,801.95,763.90,779.20,634500,779.20
2012-11-02,788.00,797.00,768.10,773.60,275000,773.60
2012-11-01,782.40,788.00,769.00,773.05,439200,773.05
2012-10-31,746.15,776.80,744.00,771.50,812500,771.50
2012-10-30,760.00,795.50,728.00,746.50,1309700,746.50
2012-10-29,740.00,881.80,692.40,776.05,3565100,776.05
2012-10-26,703.55,703.55,703.55,703.55,000,703.55
2012-10-25,667.95,712.45,663.25,703.55,546400,703.55
2012-10-24,673.85,673.85,673.85,673.85,000,673.85
2012-10-23,673.85,683.00,665.05,673.85,208600,673.85
2012-10-22,653.65,683.00,649.95,675.45,465100,675.45
2012-10-19,663.55,676.90,660.00,667.95,203900,667.95
2012-10-18,670.30,673.60,660.00,664.35,196600,664.35
2012-10-17,684.50,689.70,662.00,674.65,341300,674.65
2012-10-16,687.50,693.00,672.50,680.45,306700,680.45
2012-10-15,684.85,692.00,670.10,681.40,401400,681.40
2012-10-12,689.00,694.80,660.00,677.30,479000,677.30
2012-10-11,659.90,694.40,659.90,686.00,495200,686.00
2012-10-10,698.75,710.00,663.00,672.90,717100,672.90
2012-10-09,674.95,715.90,669.00,698.20,1213600,698.20
2012-10-08,675.00,680.00,655.05,668.30,499500,668.30
2012-10-05,663.95,685.00,641.20,676.80,550100,676.80
2012-10-04,656.00,664.40,646.45,656.15,355600,656.15
2012-10-03,650.00,683.85,648.00,652.10,842100,652.10
2012-10-02,648.35,648.35,648.35,648.35,000,648.35
2012-10-01,658.95,669.70,643.80,648.35,581300,648.35
2012-09-28,714.15,714.40,635.00,653.55,919600,653.55
2012-09-27,704.90,733.80,696.35,709.80,1330200,709.80
2012-09-26,710.00,727.00,693.10,702.85,1792500,702.85
2012-09-25,672.85,726.50,658.30,704.85,1887400,704.85
2012-09-24,647.90,677.40,647.90,665.60,654800,665.60
2012-09-21,619.70,653.40,619.70,645.65,639800,645.65
2012-09-20,638.00,643.00,611.40,619.70,364200,619.00
2012-09-19,637.80,637.80,637.80,637.80,000,637.08
2012-09-18,631.80,648.15,626.00,637.80,572200,637.08
2012-09-17,613.00,654.00,607.00,627.50,927100,626.79
2012-09-14,629.00,632.85,601.50,607.30,794700,606.61
2012-09-13,555.00,628.70,550.00,622.75,2773500,622.05
2012-09-12,574.95,579.00,545.55,551.45,499600,550.83
2012-09-11,592.65,594.25,566.00,569.40,262000,568.76
2012-09-10,615.05,622.30,570.60,595.85,263000,595.18
2012-09-07,635.00,636.80,616.00,618.35,179900,617.65
2012-09-06,639.90,641.70,626.10,628.75,151800,628.04
2012-09-05,639.40,648.70,633.15,637.30,249000,636.58
2012-09-04,651.80,665.00,639.10,643.00,468700,642.27
2012-09-03,630.00,670.65,625.00,652.45,833400,651.71
2012-08-31,620.20,637.00,614.00,624.35,233500,623.64
2012-08-30,632.00,633.70,609.15,618.60,304500,617.90
2012-08-29,634.00,659.00,625.10,630.75,890000,630.04
2012-08-28,577.15,652.00,574.95,629.85,1239900,629.14
2012-08-27,559.90,591.10,559.90,577.25,655200,576.60
2012-08-24,547.00,566.00,540.50,562.85,241500,562.21
2012-08-23,543.00,562.00,543.00,547.50,205500,546.88
2012-08-22,559.85,574.95,542.65,546.40,263300,545.78
2012-08-21,580.20,584.00,555.00,563.45,326900,562.81
2012-08-20,577.35,577.35,577.35,577.35,000,576.70
2012-08-17,574.50,604.00,571.20,577.35,626100,576.70
2012-08-16,556.00,575.00,550.45,569.80,225500,569.16
2012-08-15,556.25,556.25,556.25,556.25,000,555.62
2012-08-14,569.90,574.30,554.60,556.25,179800,555.62
2012-08-13,529.00,574.00,529.00,566.90,924000,566.26
2012-08-10,535.75,538.75,514.60,518.80,59400,518.21
2012-08-09,540.00,547.40,532.00,534.35,172800,533.75
2012-08-08,560.00,571.70,536.00,539.60,118200,538.99
2012-08-07,572.60,576.75,555.50,558.10,88100,557.47
2012-08-06,576.35,592.90,561.15,566.95,168000,566.31
2012-08-03,580.00,605.90,570.55,576.30,500900,575.65
2012-08-02,570.65,585.50,570.65,579.25,303000,578.60
2012-08-01,550.00,582.00,550.00,578.65,270900,578.00
2012-07-31,554.95,573.20,546.05,556.90,287200,556.27
2012-07-30,550.00,560.00,546.00,553.35,311600,552.72
2012-07-27,530.00,560.95,522.50,544.95,458800,544.33
2012-07-26,554.00,556.00,530.70,538.30,382100,537.69
2012-07-25,505.20,559.00,497.55,549.15,1297000,548.53
2012-07-24,478.70,506.00,475.00,502.85,179700,502.28
2012-07-23,491.65,501.70,470.10,475.75,88200,475.21
2012-07-20,494.00,509.95,494.00,504.05,163800,503.48
2012-07-19,501.00,510.00,491.35,494.60,92700,494.04
2012-07-18,502.20,509.00,492.05,499.60,108100,499.04
2012-07-17,518.95,526.85,498.35,499.75,114600,499.19
2012-07-16,542.35,542.50,512.50,517.55,80800,516.97
2012-07-13,649.00,649.00,535.00,537.05,126200,536.44
2012-07-12,531.10,563.95,529.00,544.55,334400,543.93
2012-07-11,541.30,549.90,534.05,537.05,32800,536.44
2012-07-10,536.70,553.35,535.30,544.45,117900,543.84
2012-07-09,534.90,543.40,529.00,533.65,54200,533.05
2012-07-06,544.35,554.75,530.20,535.20,126200,534.60
2012-07-05,546.45,557.40,541.00,544.80,143900,544.18
2012-07-04,560.00,560.00,542.45,543.60,60900,542.99
2012-07-03,546.75,567.90,546.75,555.65,204800,555.02
2012-07-02,541.00,555.00,540.95,546.75,71800,546.13
2012-06-29,549.90,553.90,541.45,544.55,98000,543.93
2012-06-28,533.50,550.00,533.50,545.20,294700,544.58
2012-06-27,499.85,535.00,499.85,529.90,451700,529.30
2012-06-26,499.45,505.90,497.05,498.80,27900,498.24
2012-06-25,503.00,508.40,495.05,497.35,33300,496.79
2012-06-22,491.00,503.00,482.50,498.35,28200,497.79
2012-06-21,503.00,507.45,497.50,502.10,44400,501.53
2012-06-20,497.00,514.65,494.35,500.75,119400,500.18
2012-06-19,497.55,502.45,490.70,492.95,35500,492.39
2012-06-18,512.00,518.70,495.00,499.00,58300,498.44
2012-06-15,517.60,523.00,506.50,512.85,120100,512.27
2012-06-14,513.95,524.60,510.00,514.60,316700,514.02
2012-06-13,482.35,527.65,482.15,515.50,870200,514.92
2012-06-12,480.00,488.50,478.00,481.75,42700,481.21
2012-06-11,480.15,491.70,479.00,482.15,48200,481.61
2012-06-08,496.00,496.00,480.10,485.10,36500,484.55
2012-06-07,495.00,506.70,491.00,494.20,75200,493.64
2012-06-06,485.00,509.90,480.05,492.40,97100,491.84
2012-06-05,487.70,493.70,471.35,479.90,24000,479.36
2012-06-04,500.00,500.00,470.30,483.65,20400,483.10
2012-06-01,475.40,489.85,466.65,484.40,82800,483.85
2012-05-31,466.00,488.00,441.35,481.70,128200,481.16
2012-05-30,480.55,485.00,467.00,470.00,77200,469.47
2012-05-29,483.90,488.90,477.00,480.50,43700,479.96
2012-05-28,475.00,486.00,472.50,481.45,24200,480.91
2012-05-25,484.00,486.60,475.00,478.70,34800,478.16
2012-05-24,478.60,486.50,470.50,481.00,45800,480.46
2012-05-23,472.45,480.00,464.20,476.20,56500,475.66
2012-05-22,487.55,499.00,465.25,472.45,61100,471.92
2012-05-21,484.05,489.10,476.50,479.90,40800,479.36
2012-05-18,478.05,488.00,472.00,481.75,219200,481.21
2012-05-17,484.95,521.75,475.00,482.05,413200,481.51
2012-05-16,492.40,492.40,471.15,482.60,177400,482.05
2012-05-15,499.00,502.00,488.00,493.05,106000,492.49
2012-05-14,508.00,516.00,495.95,499.00,80900,498.44
2012-05-11,513.10,524.00,506.00,511.75,33400,511.17
2012-05-10,526.20,534.45,511.50,520.55,40300,519.96
2012-05-09,532.00,545.95,520.00,523.45,70300,522.86
2012-05-08,532.80,545.90,528.00,532.65,80300,532.05
2012-05-07,547.80,549.60,509.50,527.75,116700,527.15
2012-05-04,559.20,584.85,545.30,553.20,213700,552.58
2012-05-03,558.20,564.95,543.15,562.90,159600,562.26
2012-05-02,537.00,564.90,534.05,556.90,401100,556.27
2012-05-01,538.00,538.00,538.00,538.00,000,537.39
2012-04-30,529.95,541.45,522.10,536.30,91400,535.69
2012-04-27,527.00,535.00,523.00,527.15,71600,526.55
2012-04-26,534.85,542.50,520.00,522.40,100300,521.81
2012-04-25,532.45,538.50,523.20,532.90,95000,532.30
2012-04-24,510.50,530.00,508.05,527.15,92300,526.55
2012-04-23,518.15,523.45,505.20,515.30,86200,514.72
2012-04-20,524.85,534.00,512.00,518.25,105200,517.66
2012-04-19,520.00,529.95,516.10,526.55,153500,525.96
2012-04-18,515.00,522.95,513.00,515.85,134200,515.27
2012-04-17,500.90,517.00,500.90,514.60,127100,514.02
2012-04-16,491.50,514.40,482.10,501.90,151800,501.33
2012-04-13,500.95,516.90,491.00,494.40,317000,493.84
2012-04-12,514.95,524.20,482.00,494.40,448300,493.84
2012-04-11,542.80,551.50,505.20,512.00,207900,511.42
2012-04-10,548.00,548.00,537.00,539.20,90700,538.59
2012-04-09,552.65,554.00,537.70,542.05,168300,541.44
2012-04-06,548.40,548.40,548.40,548.40,000,547.78
2012-04-05,548.40,548.40,548.40,548.40,000,547.78
2012-04-04,544.00,549.90,540.00,548.40,123200,547.78
2012-04-03,555.00,563.70,540.10,542.70,453100,542.09
2012-04-02,549.95,553.10,535.10,546.20,105400,545.58
2012-03-30,554.20,556.40,535.25,539.20,179700,538.59
2012-03-29,546.90,561.00,515.95,548.70,348700,548.08
2012-03-28,536.10,574.90,532.05,545.50,806700,544.88
2012-03-27,540.95,549.40,530.25,538.90,75100,538.29
2012-03-26,545.30,555.70,535.10,540.25,114900,539.64
2012-03-23,552.45,574.05,534.00,542.05,649100,541.44
2012-03-22,550.15,563.00,541.00,544.25,205700,543.64
2012-03-21,552.35,559.00,540.10,550.20,162900,549.58
2012-03-20,532.50,553.70,532.50,546.90,239900,546.28
2012-03-19,553.70,561.60,535.00,540.70,222700,540.09
2012-03-16,553.00,569.95,540.00,547.00,382100,546.38
2012-03-15,543.95,577.40,517.80,554.45,1964900,553.82
2012-03-14,618.50,620.00,531.10,544.45,1291800,543.84
2012-03-13,555.00,648.95,543.45,613.85,2497100,613.16
2012-03-12,460.85,549.75,458.95,541.85,1214800,541.24
2012-03-09,452.05,467.50,452.05,458.15,28700,457.63
2012-03-08,467.60,467.60,467.60,467.60,000,467.07
2012-03-07,452.50,459.40,448.00,455.10,33000,454.59
2012-03-06,452.25,463.00,450.55,458.00,26900,457.48
2012-03-05,451.55,462.00,451.55,456.75,26800,456.23
2012-03-02,467.90,471.40,453.00,457.75,26200,457.23
2012-03-01,457.00,473.50,452.00,467.60,74900,467.07
2012-02-29,453.05,473.50,452.00,458.50,134900,457.98
2012-02-28,440.85,459.80,440.85,449.75,30200,449.24
2012-02-27,434.65,454.50,434.65,440.85,62500,440.35
2012-02-24,455.85,457.40,436.50,442.75,37000,442.25
2012-02-23,464.60,464.60,452.00,454.10,53900,453.59
2012-02-22,450.00,476.00,432.00,462.40,392000,461.88
2012-02-21,455.00,458.05,445.00,452.05,68800,451.54
2012-02-20,454.95,454.95,454.95,454.95,000,454.44
2012-02-17,459.70,464.60,448.60,454.95,68200,454.44
2012-02-16,457.15,462.00,450.90,454.65,56800,454.14
2012-02-15,457.05,469.05,450.00,456.70,99600,456.18
2012-02-14,455.15,461.90,451.50,455.15,55800,454.64
2012-02-13,462.80,463.05,448.10,454.80,46900,454.29
2012-02-10,464.00,464.60,451.60,458.65,75500,458.13
2012-02-09,460.00,472.05,453.00,460.15,62800,459.63
2012-02-08,460.05,469.70,450.00,455.15,183500,454.64
2012-02-07,463.70,484.85,451.00,456.15,288300,455.63
2012-02-06,445.05,458.00,445.00,454.50,140400,453.99
2012-02-03,440.00,449.90,437.20,442.90,163300,442.40
2012-02-02,415.00,448.50,415.00,439.95,310900,439.45
2012-02-01,413.20,435.95,410.50,428.20,572900,427.72
2012-01-31,418.00,418.40,407.00,409.70,139400,409.24
2012-01-30,417.40,422.00,408.05,410.55,236600,410.09
2012-01-27,415.00,426.00,413.00,415.75,306400,415.28
2012-01-26,412.30,412.30,412.30,412.30,000,411.83
2012-01-25,410.00,429.75,410.00,412.30,448200,411.83
2012-01-24,417.35,423.40,406.00,407.85,197300,407.39
2012-01-23,443.10,446.55,413.10,418.35,155900,417.88
2012-01-20,449.80,461.55,433.10,442.10,199400,441.60
2012-01-19,455.00,459.00,431.05,445.00,159000,444.50
2012-01-18,470.15,478.30,438.55,444.45,253100,443.95
2012-01-17,469.95,480.00,457.10,465.50,369100,464.97
2012-01-16,444.00,471.00,440.30,462.75,845200,462.23
2012-01-13,478.40,507.00,422.85,444.00,1458200,443.50
2012-01-12,419.55,481.80,418.00,473.35,1935700,472.82
2012-01-11,421.15,429.00,410.10,419.35,198300,418.88
2012-01-10,422.85,429.00,412.20,417.80,146800,417.33
2012-01-09,407.00,432.00,402.40,414.40,357900,413.93
2012-01-06,425.00,433.80,408.60,412.65,448200,412.18
2012-01-05,392.00,449.90,392.00,426.85,1767900,426.37
2012-01-04,388.20,400.00,382.40,391.95,123600,391.51
2012-01-03,393.70,394.00,383.20,388.15,47600,387.71
2012-01-02,384.00,393.30,381.10,388.00,51000,387.56
2011-12-30,393.00,396.00,380.00,383.90,40200,383.47
2011-12-29,380.55,392.80,380.10,385.05,45400,384.62
2011-12-28,386.00,397.05,377.05,387.70,112200,387.26
2011-12-27,402.00,402.00,385.10,388.50,46800,388.06
2011-12-26,398.90,405.70,396.00,397.25,60600,396.80
2011-12-23,399.00,406.90,391.10,395.75,85400,395.30
2011-12-22,379.90,406.70,379.15,396.75,358300,396.30
2011-12-21,385.00,390.45,373.35,380.55,60100,380.12
2011-12-20,399.00,403.00,372.60,378.75,98700,378.32
2011-12-19,449.90,449.90,388.80,392.70,110700,392.26
2011-12-16,419.00,430.00,396.00,401.50,140800,401.05
2011-12-15,400.00,423.90,391.20,414.80,363800,413.73
2011-12-14,430.00,433.70,401.80,404.55,331300,403.51
2011-12-13,409.55,433.00,406.00,426.75,750600,425.65
2011-12-12,459.80,464.70,405.55,410.20,528300,409.14
2011-12-09,478.10,498.00,449.20,456.80,1545200,455.62
2011-12-08,436.40,502.80,425.00,478.10,1747800,476.87
2011-12-07,406.00,446.80,399.00,436.45,207100,435.33
2011-12-06,404.90,404.90,404.90,404.90,000,403.86
2011-12-05,395.00,410.00,391.00,404.90,38700,403.86
2011-12-02,401.10,402.90,396.30,399.95,44300,398.92
2011-12-01,395.30,438.50,390.50,400.55,62800,399.52
2011-11-30,396.40,398.90,392.00,395.85,12000,394.83
2011-11-29,398.95,403.30,391.00,397.65,19600,396.63
2011-11-28,392.95,410.30,391.25,394.50,158400,393.48
2011-11-25,390.00,395.95,390.00,393.20,20800,392.19
2011-11-24,391.00,397.00,363.35,390.25,28700,389.25
2011-11-23,395.00,404.00,385.50,394.90,27800,393.88
2011-11-22,392.95,397.85,390.50,395.30,28600,394.28
2011-11-21,404.95,404.95,376.60,395.25,21800,394.23
2011-11-18,393.30,404.80,393.30,400.60,32200,399.57
2011-11-17,392.55,402.50,392.50,399.15,26100,398.12
2011-11-16,390.90,407.85,388.00,398.25,148200,397.22
2011-11-15,395.00,397.50,377.25,395.25,139500,394.23
2011-11-14,391.00,397.00,374.95,390.10,61200,389.10
2011-11-11,400.15,400.45,361.55,392.10,133200,391.09
2011-11-09,401.05,410.00,397.00,399.05,44300,398.02
2011-11-08,405.00,409.00,394.60,401.10,20700,400.07
2011-11-04,406.40,406.45,399.45,401.95,25400,400.92
2011-11-03,404.00,405.00,396.10,399.90,25300,398.87
2011-11-02,404.30,409.75,402.05,402.60,28600,401.56
2011-11-01,413.90,421.95,401.25,404.35,50000,403.31
2011-10-31,423.00,427.00,415.15,416.50,32700,415.43
2011-10-28,425.00,433.60,418.05,419.60,21000,418.52
2011-10-26,421.00,422.50,419.00,419.50,9700,418.42
2011-10-25,424.00,424.00,416.10,419.15,32800,418.07
2011-10-24,427.40,429.00,418.00,420.15,58500,419.07
2011-10-21,413.75,442.90,408.25,419.15,285400,418.07
2011-10-20,419.80,419.80,405.50,408.20,37000,407.15
2011-10-19,412.60,428.95,408.60,419.15,28000,418.07
2011-10-18,427.95,434.90,416.10,417.60,42300,416.52
2011-10-17,420.65,438.80,420.00,433.95,95400,432.83
2011-10-14,422.00,423.70,411.90,420.35,57600,419.27
2011-10-13,430.00,442.40,422.35,425.10,316900,424.01
2011-10-12,379.80,433.70,379.80,427.25,775800,426.15
2011-10-11,381.45,381.95,374.50,378.25,16000,377.28
2011-10-10,373.95,378.00,360.35,372.40,22100,371.44
2011-10-07,360.10,372.00,357.25,368.15,22200,367.20
2011-10-05,364.00,367.85,352.25,354.90,40100,353.99
2011-10-04,370.05,372.95,360.00,362.50,17500,361.57
2011-10-03,369.80,375.00,362.00,372.75,32000,371.79
2011-09-30,376.00,388.00,370.50,374.50,28900,373.54
2011-09-29,391.05,396.45,375.25,378.85,35400,377.87
2011-09-28,397.90,403.00,390.25,394.45,60200,393.43
2011-09-27,394.95,396.00,388.80,393.75,16500,392.74
2011-09-26,390.15,396.90,376.00,387.30,43400,386.30
2011-09-23,380.00,396.95,370.10,390.20,37900,389.20
2011-09-22,400.10,401.00,387.10,390.20,36400,389.20
2011-09-21,404.40,404.40,398.25,402.55,21800,401.51
2011-09-20,404.95,414.00,396.50,400.20,50800,399.17
2011-09-19,402.05,405.75,395.00,399.55,85500,398.52
2011-09-16,395.10,408.80,393.10,403.45,171300,402.41
2011-09-15,395.00,398.00,390.00,392.10,60800,391.09
2011-09-14,398.00,416.90,385.10,392.60,299100,391.59
2011-09-13,410.15,416.25,390.10,394.10,100000,393.09
2011-09-12,427.00,427.45,404.25,408.55,32100,407.50
2011-09-09,431.00,440.00,426.00,429.80,30000,428.69
2011-09-08,433.00,438.00,425.40,433.00,19400,431.89
2011-09-07,433.00,440.00,424.00,431.55,35300,430.44
2011-09-06,424.00,452.00,424.00,429.90,78600,428.79
2011-09-05,428.00,428.00,421.10,424.05,7800,422.96
2011-09-02,425.00,435.00,421.00,429.25,50200,428.14
2011-08-30,424.95,435.00,416.10,422.50,24900,421.41
2011-08-29,420.45,424.30,413.90,418.60,17700,417.52
2011-08-26,431.05,435.00,406.10,413.90,16100,412.83
2011-08-25,441.90,445.00,430.25,434.95,26000,433.83
2011-08-24,432.00,446.90,427.00,438.35,66800,437.22
2011-08-23,430.00,435.70,421.10,430.90,37500,429.79
2011-08-22,424.30,434.00,416.15,430.35,24200,429.24
2011-08-19,430.00,430.00,405.00,415.35,62800,414.28
2011-08-18,439.90,443.00,428.65,432.20,35900,431.09
2011-08-17,442.10,448.90,430.10,437.65,71300,436.52
2011-08-16,450.15,464.00,435.10,442.20,81400,441.06
