Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,76.85,76.85,76.85,76.85,000,76.85
2012-12-24,77.95,77.95,76.50,76.85,892900,76.85
2012-12-21,78.90,78.90,77.20,77.50,1163700,77.50
2012-12-20,79.75,80.20,78.20,79.45,1520200,79.45
2012-12-19,80.90,81.25,79.35,79.65,1421600,79.65
2012-12-18,79.90,81.00,77.05,80.20,3097500,80.20
2012-12-17,79.10,79.80,78.55,79.20,1253900,79.20
2012-12-14,77.05,79.50,76.30,79.10,2154000,79.10
2012-12-13,80.20,80.90,77.10,77.40,1660600,77.40
2012-12-12,79.70,80.80,78.30,80.25,2388400,80.25
2012-12-11,82.80,82.80,77.75,79.15,3633100,79.15
2012-12-10,78.80,82.00,78.40,81.70,3253700,81.70
2012-12-07,79.85,80.30,78.30,79.10,1509800,79.10
2012-12-06,78.60,79.75,76.45,79.45,1994500,79.45
2012-12-05,78.00,79.15,77.65,78.20,2021700,78.20
2012-12-04,76.60,77.80,76.60,77.45,1309300,77.45
2012-12-03,76.20,76.90,75.35,76.55,1784400,76.55
2012-11-30,74.00,75.90,73.70,75.40,1889200,75.40
2012-11-29,72.00,74.00,72.00,73.50,1498000,73.50
2012-11-28,72.00,72.00,72.00,72.00,000,72.00
2012-11-27,71.70,72.60,71.60,72.00,752300,72.00
2012-11-26,71.40,71.75,70.80,71.45,592300,71.45
2012-11-23,71.35,71.50,70.15,71.05,893500,71.05
2012-11-22,71.70,72.20,70.80,71.15,1068300,71.15
2012-11-21,70.00,71.75,69.50,71.10,1334900,71.10
2012-11-20,71.90,71.90,69.35,69.85,1139200,69.85
2012-11-19,71.65,71.85,69.60,71.25,1584300,71.25
2012-11-16,74.10,74.50,70.95,71.60,1195900,71.60
2012-11-15,73.50,74.50,72.30,74.10,1370800,74.10
2012-11-14,73.70,73.70,73.70,73.70,000,73.70
2012-11-13,73.70,73.70,73.70,73.70,000,73.70
2012-11-12,74.00,74.40,72.60,73.70,990600,73.70
2012-11-09,75.25,75.85,73.35,73.60,1516600,73.60
2012-11-08,72.90,75.50,72.75,75.05,2990000,75.05
2012-11-07,73.75,75.90,72.60,74.45,7560500,74.45
2012-11-06,74.35,75.00,73.10,73.70,1715000,73.70
2012-11-05,75.10,76.20,73.75,74.35,1614700,74.35
2012-11-02,74.75,76.40,74.00,76.05,1536500,76.05
2012-11-01,73.00,73.95,72.35,73.55,857200,73.55
2012-10-31,72.00,73.15,70.90,72.85,1519100,72.85
2012-10-30,78.50,78.50,71.70,72.00,2763000,72.00
2012-10-29,76.25,76.50,74.30,75.20,1293100,75.20
2012-10-26,77.85,77.85,77.85,77.85,000,77.85
2012-10-25,77.80,78.45,75.80,77.85,1470100,77.85
2012-10-24,76.55,76.55,76.55,76.55,000,76.55
2012-10-23,78.00,78.75,76.25,76.55,1095800,76.55
2012-10-22,79.20,79.20,77.20,77.95,1020800,77.95
2012-10-19,79.00,80.15,77.40,78.55,2352800,78.55
2012-10-18,76.35,79.15,75.90,78.90,1955600,78.90
2012-10-17,77.00,77.30,75.20,76.15,1127800,76.15
2012-10-16,84.20,84.20,75.65,76.15,1881100,76.15
2012-10-15,77.05,78.70,76.25,78.20,1520100,78.20
2012-10-12,77.10,78.90,76.85,77.10,1807500,77.10
2012-10-11,75.00,77.75,73.75,77.25,1753900,77.25
2012-10-10,76.20,76.75,74.40,74.65,1222000,74.65
2012-10-09,77.00,77.65,75.25,75.95,1417700,75.95
2012-10-08,77.00,77.75,76.00,76.45,1131100,76.45
2012-10-05,79.35,79.65,75.70,77.45,1916100,77.45
2012-10-04,79.85,80.70,78.60,79.05,1926300,79.05
2012-10-03,79.50,80.35,78.15,79.30,1770300,79.30
2012-10-02,79.50,79.50,79.50,79.50,000,79.50
2012-10-01,77.15,80.00,76.10,79.50,2218900,79.50
2012-09-28,77.65,78.80,76.40,76.90,1567000,76.90
2012-09-27,75.55,77.50,75.20,77.00,2274800,77.00
2012-09-26,75.50,76.15,74.25,75.30,1359900,75.30
2012-09-25,76.10,77.05,73.70,75.80,2071300,75.80
2012-09-24,77.00,78.95,75.10,75.90,2147200,75.90
2012-09-21,76.00,77.90,75.50,77.35,2853200,77.35
2012-09-20,74.00,77.00,72.55,75.35,4013800,75.35
2012-09-19,75.15,75.15,75.15,75.15,000,75.15
2012-09-18,72.50,75.80,72.05,75.15,3882700,75.15
2012-09-17,69.50,72.35,69.50,71.70,3015300,71.70
2012-09-14,67.50,69.30,67.25,68.95,1609000,68.95
2012-09-13,65.45,67.35,65.45,66.25,1048100,66.25
2012-09-12,65.00,66.55,65.00,65.95,812900,65.95
2012-09-11,63.20,65.75,63.20,65.20,755800,65.20
2012-09-10,65.90,66.30,64.85,65.40,827700,65.40
2012-09-07,64.90,65.75,64.50,64.95,593800,64.95
2012-09-06,64.45,64.85,63.15,63.80,788000,63.80
2012-09-05,64.75,65.00,63.55,63.90,708900,63.90
2012-09-04,64.45,65.40,63.05,65.10,934500,65.10
2012-09-03,65.65,65.65,63.35,63.65,788700,63.65
2012-08-31,63.65,64.90,62.65,63.75,1027200,63.75
2012-08-30,62.45,64.45,61.20,63.70,1271100,63.70
2012-08-29,63.95,63.95,62.25,62.70,892600,62.70
2012-08-28,63.75,64.25,62.00,63.85,1473800,63.85
2012-08-27,66.45,66.90,63.10,64.00,1263800,64.00
2012-08-24,66.90,67.00,66.25,66.45,671700,66.45
