Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,97.75,97.75,97.75,97.75,000,97.75
2012-12-24,98.90,99.40,97.45,97.75,58200,97.75
2012-12-21,98.50,99.85,98.30,98.90,105300,98.90
2012-12-20,99.35,100.75,98.85,99.30,130400,99.30
2012-12-19,99.75,100.50,98.95,99.15,168900,99.15
2012-12-18,98.70,99.90,98.05,98.55,193600,98.55
2012-12-17,99.30,100.60,96.00,98.15,136700,98.15
2012-12-14,99.50,100.75,98.65,99.25,134300,99.25
2012-12-13,101.85,101.90,99.10,99.50,123600,99.50
2012-12-12,101.90,102.30,100.55,101.00,115600,101.00
2012-12-11,102.85,103.90,100.40,101.35,188500,101.35
2012-12-10,103.55,103.75,101.25,102.35,156800,102.35
2012-12-07,104.75,105.80,102.55,103.05,326800,103.05
2012-12-06,103.95,104.50,102.20,103.80,235400,103.80
2012-12-05,102.85,104.75,102.10,103.35,423900,103.35
2012-12-04,101.45,103.00,101.25,101.85,270300,101.85
2012-12-03,100.40,102.40,99.80,100.10,342300,100.10
2012-11-30,100.95,102.20,99.20,99.70,329200,99.70
2012-11-29,98.80,101.65,98.25,100.40,259600,100.40
2012-11-28,98.45,98.45,98.45,98.45,000,98.45
2012-11-27,98.15,99.80,96.25,98.45,133000,98.45
2012-11-26,98.05,98.70,96.75,97.25,136900,97.25
2012-11-23,99.25,99.35,97.05,97.90,125200,97.90
2012-11-22,100.00,100.80,98.50,98.75,115700,98.75
2012-11-21,101.70,101.70,98.10,98.85,134700,98.85
2012-11-20,101.50,102.30,98.65,99.40,150600,99.40
2012-11-19,101.05,102.50,100.20,101.20,156900,101.20
2012-11-16,103.15,104.15,100.00,100.65,143100,100.65
2012-11-15,102.25,104.35,102.10,103.40,256700,103.40
2012-11-14,100.55,100.55,100.55,100.55,000,100.55
2012-11-13,100.55,100.55,100.55,100.55,000,100.55
2012-11-12,102.00,102.25,99.95,100.55,136100,100.55
2012-11-09,102.25,103.30,101.00,101.25,132000,101.25
2012-11-08,102.50,103.40,101.75,102.05,145800,102.05
2012-11-07,102.60,104.50,102.30,103.35,277500,103.35
2012-11-06,103.40,104.50,102.00,102.75,209200,102.75
2012-11-05,103.00,106.80,101.20,103.00,422900,103.00
2012-11-02,102.90,104.80,101.85,102.20,180700,102.20
2012-11-01,100.80,103.40,100.65,102.05,191800,102.05
2012-10-31,100.40,101.70,98.55,100.55,172000,100.55
2012-10-30,104.00,104.00,99.65,100.05,318600,100.05
2012-10-29,105.35,107.20,103.15,103.90,215200,103.90
2012-10-26,109.20,109.20,109.20,109.20,000,109.20
2012-10-25,107.95,110.75,107.10,109.20,507100,109.20
2012-10-24,106.80,106.80,106.80,106.80,000,106.80
2012-10-23,107.20,108.35,106.00,106.80,299800,106.80
2012-10-22,104.60,107.70,104.30,106.75,269000,106.75
2012-10-19,109.00,112.35,105.15,105.45,753200,105.45
2012-10-18,108.05,110.30,107.70,108.80,277300,108.80
2012-10-17,110.65,111.00,106.80,107.80,291400,107.80
2012-10-16,112.10,113.25,108.25,109.20,322700,109.20
2012-10-15,113.25,113.90,110.15,111.35,377400,111.35
2012-10-12,114.25,117.60,112.30,113.40,1007000,113.40
2012-10-11,112.20,114.00,107.10,113.00,828700,113.00
2012-10-10,117.85,117.85,110.90,111.45,709100,111.45
2012-10-09,114.35,117.75,112.70,116.60,1751000,116.60
2012-10-08,107.40,113.90,106.75,112.55,1308100,112.55
2012-10-05,109.20,109.25,103.00,106.90,1029600,106.90
2012-10-04,105.00,111.80,104.50,108.30,1922800,108.30
2012-10-03,98.25,104.40,97.70,103.95,1990900,103.95
2012-10-02,97.05,97.05,97.05,97.05,000,97.05
2012-10-01,93.45,97.70,93.45,97.05,953300,97.05
2012-09-28,92.30,94.90,92.20,93.45,600200,93.45
2012-09-27,92.50,94.40,91.55,91.85,395500,91.85
2012-09-26,95.30,97.40,92.75,93.15,464900,93.15
2012-09-25,95.20,97.35,94.90,95.20,225300,95.20
2012-09-24,96.00,98.70,95.20,95.80,261200,95.80
2012-09-21,97.30,100.50,95.55,95.75,972200,95.75
2012-09-20,104.50,104.50,97.50,98.15,552400,98.15
2012-09-19,99.05,99.05,99.05,99.05,000,99.05
2012-09-18,95.20,101.10,94.75,99.05,738600,99.05
2012-09-17,94.65,96.25,94.00,94.75,178300,94.75
2012-09-14,94.20,95.70,93.40,93.75,229800,93.75
2012-09-13,96.25,96.40,93.00,93.35,157500,93.35
2012-09-12,93.90,98.50,93.45,95.60,578600,95.60
2012-09-11,92.50,93.45,92.20,92.95,107300,92.95
2012-09-10,93.00,96.40,92.55,93.55,229400,93.55
2012-09-07,92.30,93.65,91.85,92.50,205200,92.50
2012-09-06,95.00,96.00,91.05,91.55,238600,91.55
2012-09-05,96.65,96.90,94.65,95.10,123200,95.10
2012-09-04,97.15,98.60,96.60,96.85,125900,96.85
2012-09-03,95.85,100.25,95.10,96.65,239100,96.65
2012-08-31,97.55,98.40,95.25,95.75,125200,95.75
2012-08-30,98.40,98.65,97.05,97.85,67400,97.85
2012-08-29,99.55,100.35,97.90,98.40,102200,98.40
2012-08-28,101.25,101.40,99.00,99.30,86300,99.30
2012-08-27,102.75,103.70,101.00,101.90,67400,99.90
2012-08-24,103.10,104.00,102.20,102.30,58800,100.29
2012-08-23,104.30,105.50,103.10,103.40,81400,101.37
2012-08-22,102.80,105.60,102.80,103.60,119800,101.57
2012-08-21,102.35,103.20,101.30,102.85,90900,100.83
2012-08-20,101.80,101.80,101.80,101.80,000,99.80
2012-08-17,102.75,103.70,101.25,101.80,146900,99.80
2012-08-16,103.10,103.70,102.00,102.25,85400,100.24
2012-08-15,102.70,102.70,102.70,102.70,000,100.68
2012-08-14,102.55,103.70,102.25,102.70,88500,100.68
2012-08-13,103.85,104.20,101.00,102.55,155000,100.54
2012-08-10,104.50,104.90,103.50,103.85,67300,101.81
2012-08-09,105.55,107.80,104.00,104.50,144700,102.45
2012-08-08,106.00,107.00,105.30,105.55,86200,103.48
2012-08-07,106.45,107.25,105.75,106.10,101500,104.02
2012-08-06,106.95,107.60,105.80,106.95,127700,104.85
2012-08-03,106.90,107.30,105.00,105.40,95300,103.33
2012-08-02,106.35,108.40,105.35,107.60,94600,105.49
2012-08-01,104.90,107.20,104.90,106.55,174100,104.46
2012-07-31,105.20,105.80,103.50,105.30,102000,103.23
2012-07-30,104.90,105.20,104.00,104.40,81900,102.35
2012-07-27,104.60,106.20,103.30,104.40,210200,102.35
2012-07-26,104.95,106.00,103.00,103.50,239400,101.47
2012-07-25,107.00,109.80,105.50,107.35,328900,105.24
2012-07-24,106.55,109.00,104.75,107.10,236100,105.00
2012-07-23,106.70,107.70,105.10,106.50,143000,104.41
2012-07-20,108.00,110.35,107.35,108.05,272000,105.93
2012-07-19,110.00,110.00,107.50,107.90,149400,105.78
2012-07-18,105.10,109.50,103.50,108.60,254500,106.47
2012-07-17,109.10,110.60,105.25,105.85,221300,103.77
2012-07-16,111.00,111.45,108.50,109.50,199400,107.35
2012-07-13,112.90,114.40,110.10,110.40,252000,108.23
2012-07-12,117.15,118.60,111.60,112.50,507600,110.29
2012-07-11,120.35,122.45,118.40,119.05,311900,116.71
2012-07-10,118.70,120.90,118.70,120.10,313400,117.74
2012-07-09,116.55,121.95,115.75,118.90,683000,116.57
2012-07-06,116.60,118.40,115.10,117.05,293100,114.75
2012-07-05,116.95,118.65,116.15,116.90,335600,114.61
2012-07-04,114.95,117.70,114.95,117.05,398100,114.75
2012-07-03,113.50,115.90,113.20,115.10,430000,112.84
2012-07-02,111.10,113.80,111.05,112.75,368100,110.54
2012-06-29,110.00,111.00,109.15,110.25,215000,108.09
2012-06-28,109.65,110.70,108.10,108.90,205900,106.76
2012-06-27,111.50,113.50,108.50,109.00,540700,106.86
