Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1956.55,1956.55,1956.55,1956.55,000,1956.55
2012-12-24,1988.00,1993.95,1941.25,1956.55,100100,1956.55
2012-12-21,2000.00,2016.65,1972.55,1988.60,522200,1988.60
2012-12-20,2000.25,2029.90,2000.25,2012.50,129800,2012.50
2012-12-19,2033.00,2033.00,2009.30,2016.95,196900,2016.95
2012-12-18,1982.25,2024.90,1974.30,2013.30,129600,2013.30
2012-12-17,1999.80,1999.80,1959.05,1979.20,94000,1979.20
2012-12-14,1954.00,1997.90,1954.00,1992.75,119500,1992.75
2012-12-13,1950.00,1965.00,1922.00,1949.25,97800,1949.25
2012-12-12,1984.00,1996.00,1926.80,1944.50,183900,1944.50
2012-12-11,1961.00,2000.00,1950.60,1978.90,120500,1978.90
2012-12-10,1963.00,1965.10,1941.00,1947.60,127400,1947.60
2012-12-07,1982.00,1991.50,1952.40,1962.20,139400,1962.20
2012-12-06,1966.00,1990.00,1920.90,1980.25,147700,1980.25
2012-12-05,1994.70,2005.80,1936.20,1952.75,139500,1952.75
2012-12-04,1997.00,1997.00,1968.55,1980.75,121700,1980.75
2012-12-03,1990.00,2016.75,1986.00,1999.75,173700,1999.75
2012-11-30,1895.70,2154.20,1873.10,1941.40,2041900,1941.40
2012-11-29,1881.65,1933.70,1881.65,1914.80,419300,1914.80
2012-11-28,1878.65,1878.65,1878.65,1878.65,000,1878.65
2012-11-27,1879.80,1897.75,1862.35,1878.65,231700,1878.65
2012-11-26,1900.00,1912.00,1857.00,1868.60,228000,1868.60
2012-11-23,1900.00,1913.95,1882.50,1896.05,179900,1896.05
2012-11-22,1921.00,1934.95,1881.60,1899.45,187400,1899.45
2012-11-21,1908.00,1940.15,1878.00,1932.40,181000,1932.40
2012-11-20,1906.10,1920.00,1885.00,1900.55,392900,1900.55
2012-11-19,1915.10,1920.00,1885.60,1905.65,164800,1905.65
2012-11-16,1921.00,1933.95,1900.10,1914.40,239700,1914.40
2012-11-15,1978.00,1978.00,1867.70,1919.05,576700,1919.05
2012-11-14,2015.10,2015.10,2015.10,2015.10,000,2015.10
2012-11-13,2015.10,2015.10,2015.10,2015.10,000,2015.10
2012-11-12,2017.00,2041.90,2002.10,2015.10,66800,2015.10
2012-11-09,2021.00,2055.15,2011.05,2022.90,121200,2022.90
2012-11-08,2020.00,2025.00,1996.00,2015.60,104600,2015.60
2012-11-07,2017.00,2030.00,2002.05,2022.85,117100,2022.85
2012-11-06,2015.00,2023.80,2015.00,2019.95,171000,2019.95
2012-11-05,2020.00,2027.80,1992.90,2014.90,86200,2014.90
2012-11-02,2023.00,2028.00,2011.75,2019.85,53000,2019.85
2012-11-01,1991.00,2011.05,1975.10,1997.60,137200,1997.60
2012-10-31,1988.00,2009.90,1983.00,1996.20,105800,1996.20
2012-10-30,2035.30,2035.30,2001.25,2012.95,132200,2012.95
2012-10-29,2040.00,2046.35,2022.05,2035.35,42300,2035.35
2012-10-26,2043.05,2043.05,2043.05,2043.05,000,2043.05
2012-10-25,2015.00,2052.00,2010.00,2043.05,301300,2043.05
2012-10-24,2022.45,2022.45,2022.45,2022.45,000,2022.45
2012-10-23,2039.80,2039.80,2002.00,2022.45,71000,2022.45
2012-10-22,2033.00,2039.00,1990.05,2022.45,317700,2022.45
2012-10-19,2049.90,2049.90,2001.00,2010.60,98600,2010.60
2012-10-18,2034.00,2055.00,2029.00,2040.25,233600,2040.25
2012-10-17,2033.00,2040.00,2018.05,2027.75,152000,2027.75
2012-10-16,2016.00,2052.00,2008.35,2026.15,61200,2026.15
2012-10-15,2047.00,2058.90,2036.00,2040.10,73100,2040.10
2012-10-12,2026.00,2074.95,2026.00,2044.70,260400,2044.70
2012-10-11,2049.00,2057.60,2033.15,2038.70,145600,2038.70
2012-10-10,2054.50,2074.45,2041.00,2048.85,73300,2048.85
2012-10-09,2019.80,2063.90,2004.80,2056.35,114700,2056.35
2012-10-08,1977.95,2020.00,1960.35,2005.70,99300,2005.70
2012-10-05,2009.00,2012.40,1736.30,1971.10,344600,1971.10
2012-10-04,2012.00,2059.75,1973.65,1982.05,196200,1982.05
2012-10-03,2015.00,2029.50,1990.35,2010.30,242100,2010.30
2012-10-02,2014.55,2014.55,2014.55,2014.55,000,2014.55
2012-10-01,1977.95,2021.85,1960.00,2014.55,158600,2014.55
2012-09-28,1957.00,2009.70,1940.00,1967.85,380900,1967.85
2012-09-27,1855.05,1989.80,1855.05,1950.85,848700,1950.85
2012-09-26,1808.00,1894.90,1808.00,1885.00,149500,1885.00
2012-09-25,1832.00,1850.00,1822.00,1836.30,89000,1836.30
2012-09-24,1840.00,1840.00,1821.40,1832.25,111400,1832.25
2012-09-21,1867.00,1867.00,1820.35,1837.60,156500,1837.60
2012-09-20,1804.20,1848.70,1771.25,1837.60,150500,1837.60
2012-09-19,1804.95,1804.95,1804.95,1804.95,000,1804.95
2012-09-18,1764.90,1810.00,1744.05,1804.95,140700,1804.95
2012-09-17,1793.95,1793.95,1738.00,1763.40,49400,1763.40
2012-09-14,1744.90,1763.45,1725.10,1754.45,102800,1754.45
2012-09-13,1755.00,1764.90,1707.90,1718.30,78200,1718.30
2012-09-12,1772.65,1773.00,1740.80,1761.55,79800,1761.55
2012-09-11,1783.60,1783.60,1746.00,1756.05,145200,1756.05
2012-09-10,1757.95,1760.00,1731.10,1755.05,62900,1755.05
2012-09-07,1749.95,1749.95,1690.00,1736.25,98200,1736.25
2012-09-06,1686.95,1701.25,1661.45,1691.20,120600,1691.20
2012-09-05,1645.60,1691.90,1645.60,1675.05,69000,1675.05
2012-09-04,1660.00,1678.90,1656.05,1670.10,92900,1670.10
2012-09-03,1694.00,1694.00,1657.00,1665.70,86200,1665.70
2012-08-31,1718.00,1720.00,1685.05,1693.90,157200,1693.90
2012-08-30,1702.70,1729.65,1691.00,1712.55,82100,1712.55
2012-08-29,1730.00,1743.35,1711.45,1717.30,53100,1717.30
2012-08-28,1751.00,1770.40,1718.25,1734.45,82700,1734.45
2012-08-27,1720.15,1758.00,1705.00,1751.35,55500,1751.35
2012-08-24,1729.00,1729.30,1710.40,1723.55,41100,1723.55
2012-08-23,1737.05,1744.50,1718.90,1726.45,23400,1726.45
2012-08-22,1748.50,1748.50,1720.25,1735.60,46100,1735.60
2012-08-21,1744.35,1744.35,1710.15,1718.90,60500,1718.90
2012-08-20,1732.35,1732.35,1732.35,1732.35,000,1732.35
2012-08-17,1724.85,1736.00,1706.50,1732.35,92500,1732.35
2012-08-16,1720.00,1724.45,1701.10,1721.10,92400,1713.10
2012-08-15,1711.90,1711.90,1711.90,1711.90,000,1703.94
2012-08-14,1712.05,1724.90,1684.30,1711.90,619800,1703.94
2012-08-13,1660.80,1718.70,1660.80,1711.40,105700,1703.45
2012-08-10,1654.95,1679.00,1645.10,1675.65,101300,1667.86
2012-08-09,1641.00,1662.70,1633.15,1655.45,66800,1647.76
