Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,263.60,264.90,249.60,254.60,1332300,254.60
2013-01-22,268.60,273.25,260.35,261.55,1254300,261.55
2013-01-21,270.00,270.90,264.80,268.70,998100,268.70
2013-01-18,266.75,272.80,263.00,267.60,1898600,267.60
2013-01-17,262.25,268.40,260.10,265.05,1157100,265.05
2013-01-16,263.00,270.45,259.75,261.20,1631800,261.20
2013-01-15,272.90,273.90,267.30,269.30,1612800,269.30
2013-01-14,257.00,273.40,253.65,271.70,2410400,271.70
2013-01-11,268.00,273.65,256.25,258.15,1923200,258.15
2013-01-10,273.30,275.05,264.00,267.05,2072400,267.05
2013-01-09,275.55,277.90,270.75,271.65,1133200,271.65
2013-01-08,274.05,278.20,273.15,275.75,1815800,275.75
2013-01-07,278.35,281.20,273.00,274.70,1877800,274.70
2013-01-04,285.90,285.90,274.60,277.85,1530500,277.85
2013-01-03,279.00,282.00,274.20,276.90,1501000,276.90
2013-01-02,282.35,288.00,277.40,278.60,2491900,278.60
2013-01-01,275.95,283.35,275.90,281.30,2036200,281.30
2012-12-31,275.80,279.70,272.85,274.35,1200700,274.35
2012-12-28,271.90,275.30,269.65,274.75,881400,274.75
2012-12-27,271.00,274.95,268.80,270.65,1025400,270.65
2012-12-26,263.95,269.70,263.15,268.95,701600,268.95
2012-12-25,263.75,263.75,263.75,263.75,000,263.75
2012-12-24,265.00,267.75,261.30,263.75,823400,263.75
2012-12-21,273.05,273.05,261.30,263.25,1362500,263.25
2012-12-20,270.45,276.00,267.55,273.10,1234900,273.10
2012-12-19,275.00,277.90,269.00,270.10,1395000,270.10
2012-12-18,274.00,277.20,263.40,274.85,2634100,274.85
2012-12-17,265.75,275.40,265.75,274.30,1860700,274.30
2012-12-14,253.00,268.50,253.00,265.65,2496100,265.65
2012-12-13,257.60,264.45,254.40,256.35,1433800,256.35
2012-12-12,256.90,262.35,250.65,257.70,1327400,257.70
2012-12-11,263.00,266.40,252.10,255.50,1876500,255.50
2012-12-10,254.50,263.50,252.10,262.10,2068800,262.10
2012-12-07,253.00,256.50,250.00,252.25,1714300,252.25
2012-12-06,248.50,254.00,245.10,252.90,1557500,252.90
2012-12-05,246.10,249.00,242.40,247.20,1715400,247.20
2012-12-04,238.00,246.80,236.10,245.95,2238500,245.95
2012-12-03,243.00,244.90,235.00,237.90,2486300,237.90
2012-11-30,234.00,245.35,234.00,242.65,1968200,242.65
2012-11-29,234.50,237.50,230.60,233.90,1794900,233.90
2012-11-28,234.05,234.05,234.05,234.05,000,234.05
2012-11-27,227.75,234.90,225.60,234.05,1633000,234.05
2012-11-26,228.90,228.90,220.10,225.45,1005100,225.45
2012-11-23,232.55,232.75,225.00,226.95,1454300,226.95
2012-11-22,228.65,233.80,228.20,231.20,2063200,231.20
2012-11-21,217.85,229.35,214.30,226.55,2398200,226.55
2012-11-20,220.80,221.90,214.50,216.40,1014500,216.40
2012-11-19,224.95,225.65,216.25,218.50,1262500,218.50
2012-11-16,230.25,233.05,221.55,222.60,850600,222.60
2012-11-15,228.75,232.30,226.20,230.25,1330300,230.25
2012-11-14,230.85,230.85,230.85,230.85,000,230.85
2012-11-13,230.85,230.85,230.85,230.85,000,230.85
2012-11-12,228.00,235.80,227.65,230.85,2195900,230.85
2012-11-09,238.45,242.50,227.50,228.85,2951300,228.85
2012-11-08,229.75,238.70,227.15,237.45,2608100,237.45
2012-11-07,218.70,234.50,218.00,231.90,5290800,231.90
2012-11-06,221.65,222.15,216.45,217.90,1244600,217.90
2012-11-05,224.00,227.45,219.55,221.65,2788200,221.65
2012-11-02,208.95,224.40,200.50,223.10,13855700,223.10
2012-11-01,195.65,207.95,195.65,206.40,1769100,206.40
2012-10-31,195.00,198.00,189.65,195.65,873400,195.65
2012-10-30,200.05,206.60,190.00,192.90,3102300,192.90
2012-10-29,206.10,208.90,200.00,200.95,951300,200.95
2012-10-26,208.30,208.30,208.30,208.30,000,208.30
2012-10-25,202.25,213.15,202.25,208.30,820200,208.30
2012-10-24,204.75,204.75,204.75,204.75,000,204.75
2012-10-23,208.15,210.00,203.50,204.75,558600,204.75
2012-10-22,207.95,211.70,205.40,208.80,534900,208.80
2012-10-19,208.10,212.20,207.55,209.45,1051600,209.45
2012-10-18,201.65,210.00,198.35,209.50,1399400,209.50
2012-10-17,204.50,204.50,197.85,199.40,460500,199.40
2012-10-16,204.95,207.35,197.55,199.65,605100,199.65
2012-10-15,205.00,205.75,200.65,204.15,610600,204.15
2012-10-12,197.15,205.50,193.85,203.10,1108700,203.10
2012-10-11,193.40,203.80,188.15,202.55,1936600,202.55
2012-10-10,197.00,199.95,191.80,193.05,728500,193.05
2012-10-09,197.00,200.30,193.70,197.05,923200,197.05
2012-10-08,201.05,202.45,195.60,196.20,864700,196.20
2012-10-05,207.15,208.90,196.60,200.35,1338800,200.35
2012-10-04,205.80,209.95,204.30,205.90,1187000,205.90
2012-10-03,207.40,208.95,203.50,204.75,620500,204.75
2012-10-02,207.45,207.45,207.45,207.45,000,207.45
2012-10-01,207.25,209.55,205.70,207.45,591000,207.45
2012-09-28,207.00,211.95,207.00,207.85,969100,207.85
2012-09-27,201.00,205.90,199.75,204.35,1863900,204.35
2012-09-26,203.05,203.05,198.90,201.45,1652000,201.45
2012-09-25,207.25,213.00,201.20,202.45,2169600,202.45
2012-09-24,201.05,208.25,201.00,204.05,2476400,204.05
2012-09-21,197.90,204.00,196.10,200.50,2963100,200.50
2012-09-20,170.00,207.60,170.00,195.25,5165400,195.25
2012-09-19,193.95,193.95,193.95,193.95,000,193.95
2012-09-18,175.95,199.50,175.95,193.95,4072700,193.95
2012-09-17,166.00,177.30,166.00,176.95,2408700,176.95
2012-09-14,162.15,167.50,162.10,164.60,1336500,164.60
2012-09-13,162.40,163.00,158.30,159.55,576800,159.55
2012-09-12,164.85,165.00,161.95,162.55,552300,162.55
2012-09-11,159.45,164.50,157.15,162.80,919700,162.80
2012-09-10,160.15,161.35,159.00,159.55,540000,159.55
2012-09-07,158.10,159.55,156.50,158.60,843000,158.60
2012-09-06,159.50,159.50,154.50,156.35,713400,156.35
2012-09-05,157.90,158.50,156.15,157.80,406000,157.80
2012-09-04,159.05,160.45,157.05,158.15,661100,158.15
2012-09-03,157.15,159.85,157.15,158.90,393600,158.90
2012-08-31,152.50,157.20,152.05,156.75,520300,156.75
2012-08-30,152.15,153.40,150.05,152.50,572300,152.50
2012-08-29,154.90,155.25,150.55,151.80,569000,151.80
2012-08-28,155.40,155.40,151.40,153.40,626800,153.40
2012-08-27,158.95,159.55,154.00,154.85,549900,154.85
2012-08-24,163.75,163.75,158.05,158.65,578900,158.65
2012-08-23,165.05,165.70,162.20,163.40,433900,163.40
2012-08-22,164.65,166.45,163.55,164.30,303400,164.30
2012-08-21,163.70,167.40,163.70,165.55,636600,165.55
2012-08-20,163.90,163.90,163.90,163.90,000,163.90
2012-08-17,166.60,168.30,163.50,163.90,574300,163.90
2012-08-16,167.90,168.80,165.60,165.90,890500,165.90
2012-08-15,165.60,165.60,165.60,165.60,000,165.60
2012-08-14,162.20,168.85,162.20,165.60,1091400,165.60
2012-08-13,165.10,165.15,161.50,162.45,665900,162.45
2012-08-10,163.00,165.90,160.15,163.50,931700,163.50
2012-08-09,170.20,170.90,160.80,163.40,1368200,163.40
2012-08-08,171.40,172.20,169.60,169.95,423400,169.95
2012-08-07,172.80,172.80,167.05,170.45,495900,170.45
2012-08-06,172.75,174.40,170.00,171.05,686500,171.05
2012-08-03,174.35,174.35,170.65,171.25,560600,171.25
2012-08-02,173.95,175.70,171.45,174.70,1245600,174.70
2012-08-01,167.90,174.80,166.85,173.35,2064900,173.35
2012-07-31,169.95,171.00,165.70,167.80,1642400,167.80
2012-07-30,164.95,184.00,164.35,169.85,2394900,169.85
2012-07-27,180.90,183.00,161.00,164.10,6748300,164.10
2012-07-26,184.85,186.40,176.80,177.95,1386000,177.95
2012-07-25,186.70,186.85,183.50,184.15,510800,184.15
2012-07-24,189.25,191.00,185.60,187.20,752800,187.20
2012-07-23,190.95,191.80,188.10,188.85,357100,188.85
2012-07-20,193.65,194.00,190.30,191.90,544400,191.90
2012-07-19,196.25,198.95,190.90,193.00,1368700,193.00
2012-07-18,202.45,202.70,195.55,196.25,1280700,196.25
2012-07-17,209.80,209.80,201.50,202.10,458700,202.10
2012-07-16,207.75,213.95,207.30,207.70,683600,207.70
2012-07-13,213.35,215.00,211.50,212.45,293200,212.45
2012-07-12,216.00,216.00,209.25,212.85,446400,212.85
2012-07-11,208.50,216.70,208.50,212.85,752900,212.85
2012-07-10,206.90,211.35,206.90,210.65,414600,210.65
2012-07-09,209.90,211.80,209.10,210.05,291900,210.05
2012-07-06,212.95,214.10,209.70,212.25,456600,212.25
2012-07-05,212.05,214.80,210.70,213.00,625700,213.00
2012-07-04,212.10,213.00,210.50,212.05,644800,212.05
2012-07-03,210.50,212.00,209.00,210.85,670500,210.85
2012-07-02,210.85,212.75,208.10,209.30,332200,209.30
2012-06-29,206.05,210.35,206.05,209.10,908500,209.10
2012-06-28,208.70,208.70,203.65,204.95,1027600,204.95
2012-06-27,207.10,208.70,206.05,207.55,864700,207.55
2012-06-26,199.10,207.00,199.05,206.35,1076400,206.35
2012-06-25,202.90,205.45,198.70,200.30,648300,200.30
2012-06-22,200.05,202.65,197.30,201.35,771500,201.35
2012-06-21,198.10,202.00,195.35,200.70,1119700,200.70
2012-06-20,204.05,206.10,203.30,204.55,750000,196.55
2012-06-19,202.95,204.75,199.10,202.15,919000,194.24
2012-06-18,211.90,212.95,202.50,203.95,1097000,195.97
2012-06-15,209.65,211.50,208.00,208.95,711400,200.78
2012-06-14,212.95,216.00,206.60,208.00,673200,199.87
2012-06-13,213.00,213.70,209.80,213.05,597300,204.72
2012-06-12,205.10,215.20,203.75,212.40,1327000,204.09
2012-06-11,214.00,216.65,203.00,205.10,845100,197.08
2012-06-08,205.05,213.55,201.95,212.55,935300,204.24
2012-06-07,203.20,207.90,201.55,206.70,915500,198.62
2012-06-06,194.85,201.90,194.50,200.60,3584100,192.75
2012-06-05,194.05,196.05,192.00,193.80,842100,186.22
2012-06-04,191.95,193.20,187.35,192.35,590500,184.83
2012-06-01,202.90,203.65,192.50,193.05,1045900,185.50
2012-05-31,195.80,205.50,193.10,201.65,1538500,193.76
2012-05-30,201.10,206.40,194.75,195.80,556200,188.14
2012-05-29,211.20,211.70,202.55,204.10,692100,196.12
2012-05-28,206.60,208.70,204.75,207.90,736000,199.77
2012-05-25,201.70,206.50,200.70,205.40,836300,197.37
2012-05-24,201.50,206.10,199.20,203.00,891500,195.06
2012-05-23,200.85,203.65,199.25,200.95,858500,193.09
2012-05-22,205.45,206.10,201.30,202.15,712300,194.24
2012-05-21,197.95,205.40,197.50,203.80,906600,195.83
2012-05-18,191.00,199.75,189.35,196.80,972900,189.10
2012-05-17,195.35,199.20,193.50,194.55,866700,186.94
2012-05-16,202.00,202.40,193.20,194.35,1051800,186.75
2012-05-15,200.05,203.50,199.10,202.40,917300,194.48
2012-05-14,207.05,209.00,199.05,200.60,571000,192.75
2012-05-11,201.25,206.95,198.25,205.80,1108800,197.75
2012-05-10,205.00,210.00,195.55,203.05,1840200,195.11
2012-05-09,209.00,214.80,201.20,202.95,4083100,195.01
2012-05-08,216.05,221.00,210.10,212.25,628800,203.95
2012-05-07,218.00,218.00,207.45,215.05,1061100,206.64
2012-05-04,222.00,223.75,212.95,218.00,1246200,209.47
2012-05-03,225.10,226.05,220.25,222.10,583800,213.41
2012-05-02,226.40,228.90,225.00,226.20,524100,217.35
2012-05-01,225.60,225.60,225.60,225.60,000,216.78
2012-04-30,220.45,227.90,220.45,224.25,626300,215.48
2012-04-27,220.10,224.10,215.15,219.95,2194800,211.35
2012-04-26,216.40,223.80,207.65,219.80,1430200,211.20
2012-04-25,216.95,219.00,213.45,214.80,349800,206.40
2012-04-24,219.00,219.45,214.10,215.70,716700,207.26
2012-04-23,225.00,227.50,213.60,217.25,1083200,208.75
2012-04-20,218.00,224.80,216.35,223.95,884200,215.19
2012-04-19,229.00,229.00,218.10,219.95,1917700,211.35
2012-04-18,229.00,232.00,226.00,227.35,893800,218.46
2012-04-17,229.05,231.00,224.20,228.40,1236000,219.47
2012-04-16,230.70,232.35,223.60,227.60,1761000,218.70
2012-04-13,229.00,233.80,228.00,230.95,1318100,221.92
2012-04-12,232.35,233.95,226.50,227.40,1074100,218.51
2012-04-11,234.00,234.40,226.15,228.95,1221300,220.00
2012-04-10,237.00,243.75,233.80,236.75,1466900,227.49
2012-04-09,238.10,238.10,234.10,236.05,388500,226.82
2012-04-06,238.30,238.30,238.30,238.30,000,228.98
2012-04-05,238.30,238.30,238.30,238.30,000,228.98
2012-04-04,235.25,240.45,234.50,238.30,623900,228.98
2012-04-03,232.80,239.10,232.80,237.70,902100,228.40
2012-04-02,238.50,240.45,234.20,235.40,893900,226.19
2012-03-30,229.75,238.75,229.65,235.80,1747400,226.58
2012-03-29,217.70,235.15,217.20,230.30,1366800,221.29
2012-03-28,216.30,225.00,215.20,221.85,2548300,213.17
2012-03-27,217.00,222.00,210.55,217.90,1074200,209.38
2012-03-26,221.00,221.00,210.00,212.60,768700,204.29
2012-03-23,216.00,221.00,212.40,218.80,668700,210.24
2012-03-22,225.90,226.75,213.60,215.80,928900,207.36
2012-03-21,219.30,227.95,217.25,226.40,1350400,217.55
2012-03-20,220.00,228.00,214.25,224.70,1698000,215.91
2012-03-19,234.95,234.95,217.60,219.50,1133700,210.92
2012-03-16,245.00,245.80,228.05,230.40,1231700,221.39
2012-03-15,247.60,249.70,234.20,240.10,1087100,230.71
2012-03-14,240.95,249.60,238.05,246.65,1709400,237.00
2012-03-13,242.00,242.00,235.60,237.95,968400,228.64
2012-03-12,241.05,247.50,234.70,238.10,1642100,228.79
2012-03-09,232.55,239.50,232.55,236.35,1190500,227.11
2012-03-08,229.05,229.05,229.05,229.05,000,220.09
2012-03-07,229.55,234.00,221.95,230.95,360000,221.92
2012-03-06,226.95,236.55,223.60,227.20,1198100,218.31
2012-03-05,231.65,231.90,222.40,227.65,537900,218.75
2012-03-02,230.00,236.90,225.05,232.65,1167500,223.55
2012-03-01,233.00,234.25,225.25,229.05,1038500,220.09
2012-02-29,239.95,254.75,228.00,233.15,1219600,224.03
2012-02-28,227.00,239.00,221.95,234.30,3152800,225.14
2012-02-27,244.90,245.00,220.65,223.30,1672800,214.57
2012-02-24,252.90,254.40,239.15,241.65,600100,232.20
2012-02-23,245.45,253.70,242.00,247.75,1846400,238.06
2012-02-22,269.00,274.00,248.00,249.95,1690000,240.17
2012-02-21,261.35,271.00,261.35,267.20,1497600,256.75
2012-02-20,263.25,263.25,263.25,263.25,000,252.95
2012-02-17,259.70,264.95,258.60,263.25,1022100,252.95
2012-02-16,262.00,263.90,250.50,257.45,1595500,247.38
2012-02-15,259.50,262.00,256.30,258.35,1582300,248.25
2012-02-14,253.00,258.70,252.50,255.90,946800,245.89
2012-02-13,253.65,255.15,247.55,252.00,1539000,242.14
2012-02-10,260.00,260.00,248.00,250.40,2065100,240.61
2012-02-09,237.90,256.55,236.95,253.90,1537100,243.97
2012-02-08,239.70,243.00,235.40,237.70,1164200,228.40
2012-02-07,242.05,244.00,236.20,238.40,1406100,229.08
2012-02-06,232.90,246.80,232.10,240.70,3490800,231.29
2012-02-03,239.90,239.90,224.25,229.55,1905800,220.57
2012-02-02,242.00,243.20,230.00,234.25,1929400,225.09
2012-02-01,228.80,237.50,222.55,235.75,1567900,226.53
2012-01-31,216.00,230.00,216.00,228.20,1989000,219.28
2012-01-30,214.00,220.35,210.20,215.15,2658200,206.74
2012-01-27,205.00,216.65,200.20,215.05,4194500,206.64
2012-01-26,206.80,206.80,206.80,206.80,000,198.71
2012-01-25,214.00,215.55,197.00,206.80,8025900,198.71
2012-01-24,205.95,215.00,199.40,212.75,5649500,204.43
2012-01-23,195.00,205.50,195.00,204.05,1390900,196.07
2012-01-20,190.00,220.00,189.95,195.50,1607000,187.85
2012-01-19,187.50,189.80,185.05,188.05,196100,180.70
2012-01-18,190.05,191.70,184.00,185.85,288900,178.58
2012-01-17,186.10,191.80,186.10,189.40,1107000,181.99
2012-01-16,189.00,189.00,182.25,185.85,631400,178.58
2012-01-13,194.00,197.00,189.15,190.20,476100,182.76
2012-01-12,185.95,194.80,185.95,192.30,1112100,184.78
2012-01-11,179.00,187.70,178.60,186.65,780700,179.35
2012-01-10,171.15,181.25,171.10,178.60,542900,171.61
2012-01-09,170.85,172.00,166.30,170.05,245300,163.40
2012-01-06,171.15,172.30,165.15,168.20,486900,161.62
2012-01-05,174.00,176.45,170.50,171.60,800100,164.89
2012-01-04,175.10,179.00,172.45,174.25,702900,167.44
2012-01-03,172.80,176.65,172.80,175.10,839200,168.25
2012-01-02,170.50,174.90,166.90,172.90,503300,166.14
2011-12-30,166.85,172.50,164.15,169.85,939900,163.21
2011-12-29,158.20,166.50,155.45,164.15,1622900,157.73
2011-12-28,162.70,163.45,158.50,159.65,777500,153.41
2011-12-27,167.00,170.30,162.40,164.20,417200,157.78
2011-12-26,172.00,174.50,167.90,169.80,280600,163.16
2011-12-23,176.10,178.25,170.05,170.85,348500,164.17
2011-12-22,174.00,177.20,170.10,174.85,763800,168.01
2011-12-21,177.00,177.00,169.25,174.25,1011200,167.44
2011-12-20,176.00,177.35,163.05,166.65,1462800,160.13
2011-12-19,185.40,185.40,173.30,176.05,1255500,169.16
2011-12-16,198.00,200.95,185.15,187.25,1041200,179.93
2011-12-15,195.60,200.00,191.65,197.40,258800,189.68
2011-12-14,197.65,201.00,194.70,199.15,742300,191.36
2011-12-13,205.50,206.10,194.65,198.10,1225100,190.35
