Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,139.95,141.30,135.05,137.95,1127500,137.95
2013-01-22,140.00,144.10,128.25,139.90,1637000,139.90
2013-01-21,142.45,144.20,141.35,142.20,2063800,142.20
2013-01-18,139.80,142.95,138.60,141.10,3934700,141.10
2013-01-17,134.55,139.55,132.80,138.60,1822100,138.60
2013-01-16,136.00,137.90,133.85,134.60,1027100,134.60
2013-01-15,138.90,139.30,135.50,136.40,868900,136.40
2013-01-14,133.40,138.85,132.10,138.15,1699500,138.15
2013-01-11,137.80,138.00,133.05,133.95,1016600,133.95
2013-01-10,136.75,139.15,136.05,136.90,1626000,136.90
2013-01-09,138.45,138.50,135.30,136.00,1265600,136.00
2013-01-08,137.25,139.50,134.65,137.60,3133700,137.60
2013-01-07,136.15,140.45,136.10,137.25,2745800,137.25
2013-01-04,139.00,139.00,134.80,135.90,1743500,135.90
2013-01-03,132.20,138.00,130.50,136.80,3589900,136.80
2013-01-02,132.95,133.75,130.30,131.70,1070000,131.70
2013-01-01,130.75,132.85,130.75,132.40,1297000,132.40
2012-12-31,129.90,132.45,129.15,130.20,2543300,130.20
2012-12-28,126.10,129.40,125.10,128.85,2498300,128.85
2012-12-27,124.00,126.20,121.15,123.50,3652300,123.50
2012-12-26,123.80,124.70,123.00,124.00,565900,124.00
2012-12-25,123.15,123.15,123.15,123.15,000,123.15
2012-12-24,124.00,124.45,122.70,123.15,455700,123.15
2012-12-21,125.80,125.80,122.85,123.20,781100,123.20
2012-12-20,125.05,127.70,124.35,125.40,1352500,125.40
2012-12-19,124.45,125.40,123.10,124.80,1202800,124.80
2012-12-18,126.70,126.70,123.00,124.15,1048700,124.15
2012-12-17,125.60,128.35,124.60,125.80,1735100,125.80
2012-12-14,126.40,126.40,124.50,125.20,938300,125.20
2012-12-13,124.00,126.60,123.15,125.65,3141500,125.65
2012-12-12,125.30,125.80,122.10,123.00,1575800,123.00
2012-12-11,127.95,128.70,122.50,124.60,1977400,124.60
2012-12-10,128.80,129.95,126.40,127.20,2244400,127.20
2012-12-07,124.00,128.60,122.55,127.25,4296000,127.25
2012-12-06,124.25,124.30,120.80,123.25,2717700,123.25
2012-12-05,124.25,125.85,122.55,123.00,2032500,123.00
2012-12-04,126.15,127.00,123.05,124.05,3557600,124.05
2012-12-03,119.00,126.75,119.00,125.30,4302100,125.30
2012-11-30,114.95,121.65,113.90,117.80,21176200,117.80
2012-11-29,112.00,114.90,111.45,114.35,2625100,114.35
2012-11-28,111.45,111.45,111.45,111.45,000,111.45
2012-11-27,111.00,113.00,110.05,111.45,1636400,111.45
2012-11-26,108.50,112.40,108.50,110.05,2670200,110.05
2012-11-23,110.50,111.60,110.05,111.05,1079400,111.05
2012-11-22,110.50,111.45,110.00,110.00,728600,110.00
2012-11-21,111.20,112.60,108.70,110.00,2673600,110.00
2012-11-20,115.05,115.80,111.50,112.40,1867900,112.40
2012-11-19,113.30,115.30,112.55,114.45,1931400,114.45
2012-11-16,109.85,114.65,109.40,112.95,2536300,112.95
2012-11-15,109.15,111.25,107.50,109.40,2681800,109.40
2012-11-14,110.70,110.70,110.70,110.70,000,110.70
2012-11-13,110.70,110.70,110.70,110.70,000,110.70
2012-11-12,113.00,114.50,109.80,110.70,1995600,110.70
2012-11-09,116.60,117.50,113.05,113.35,1582000,113.35
2012-11-08,116.50,118.30,101.55,116.75,666500,116.75
2012-11-07,119.90,119.95,118.40,119.05,711700,119.05
2012-11-06,118.00,120.20,117.35,118.60,1425200,118.60
2012-11-05,118.00,118.50,116.20,118.15,806200,118.15
2012-11-02,117.10,119.85,117.00,117.75,1047000,117.75
2012-11-01,114.10,117.65,112.95,117.10,1193000,117.10
2012-10-31,116.60,117.50,113.65,114.10,1282200,114.10
2012-10-30,118.05,118.55,115.25,116.00,1162500,116.00
2012-10-29,120.95,120.95,117.05,118.00,1232500,118.00
2012-10-26,118.75,118.75,118.75,118.75,000,118.75
2012-10-25,119.10,122.50,117.55,118.75,2697700,118.75
2012-10-24,118.40,118.40,118.40,118.40,000,118.40
2012-10-23,118.70,118.95,108.20,118.40,3873700,118.40
2012-10-22,118.35,119.35,116.15,116.65,1291600,116.65
2012-10-19,120.30,121.50,118.25,118.65,811000,118.65
2012-10-18,122.60,122.80,119.60,120.25,555500,120.25
2012-10-17,123.50,124.85,120.65,120.90,511700,120.90
2012-10-16,125.85,126.95,122.85,123.35,510500,123.35
2012-10-15,122.95,126.30,120.10,125.85,1242200,125.85
2012-10-12,127.00,127.00,123.10,123.75,450200,123.75
2012-10-11,126.00,127.80,124.60,126.25,930900,126.25
2012-10-10,131.55,131.55,124.65,125.45,802100,125.45
2012-10-09,132.00,134.25,130.05,131.05,1107400,131.05
2012-10-08,133.30,133.40,130.50,131.40,465500,131.40
2012-10-05,132.05,133.65,128.65,132.85,659400,132.85
