Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,44.75,44.75,44.75,44.75,000,44.75
2012-12-24,44.00,45.70,42.65,44.75,75800,44.75
2012-12-21,46.55,46.80,44.60,44.90,133600,44.90
2012-12-20,46.90,48.95,46.25,46.55,571300,46.55
2012-12-19,46.20,47.00,46.20,46.45,145200,46.45
2012-12-18,47.00,47.50,46.10,46.40,414100,46.40
2012-12-17,46.20,47.05,46.20,46.95,87700,46.95
2012-12-14,46.05,47.25,46.00,46.15,77900,46.15
2012-12-13,46.70,47.25,45.85,46.30,90400,46.30
2012-12-12,46.60,48.00,46.60,46.95,217400,46.95
2012-12-11,46.95,48.10,45.30,46.15,166200,46.15
2012-12-10,47.00,47.50,46.50,46.95,125000,46.95
2012-12-07,48.00,48.90,46.65,46.85,519200,46.85
2012-12-06,47.00,47.00,44.30,46.35,73300,46.35
2012-12-05,42.10,46.60,42.10,46.30,89100,46.30
2012-12-04,46.25,46.50,45.30,46.00,77700,46.00
2012-12-03,46.90,46.90,45.55,46.20,88300,46.20
2012-11-30,46.50,47.25,45.70,46.15,210600,46.15
2012-11-29,46.00,49.00,45.05,45.85,69500,45.85
2012-11-28,45.40,45.40,45.40,45.40,000,45.40
2012-11-27,49.00,53.35,44.80,45.40,62900,45.40
2012-11-26,43.00,45.95,43.00,44.80,39900,44.80
2012-11-23,45.95,47.05,44.80,45.10,265800,45.10
2012-11-22,46.00,46.45,43.55,44.40,80400,44.40
2012-11-21,43.80,47.20,42.20,44.55,81900,44.55
2012-11-20,42.70,45.10,41.20,42.45,66900,42.45
2012-11-19,43.60,43.80,42.30,42.70,49700,42.70
2012-11-16,44.45,44.85,43.20,43.60,78000,43.60
2012-11-15,44.25,44.60,43.35,44.05,59400,44.05
2012-11-14,44.10,44.10,44.10,44.10,000,44.10
2012-11-13,44.10,44.10,44.10,44.10,000,44.10
2012-11-12,46.80,46.80,43.35,44.10,42600,44.10
2012-11-09,44.50,45.30,43.20,43.30,102500,43.30
2012-11-08,44.95,45.50,44.30,45.05,97900,45.05
2012-11-07,44.65,45.80,44.15,45.45,126500,45.45
2012-11-06,48.45,48.45,43.85,44.65,46600,44.65
2012-11-05,44.50,45.25,44.10,44.55,48600,44.55
2012-11-02,44.60,45.10,44.00,44.85,84800,44.85
2012-11-01,44.00,45.20,43.60,44.85,77300,44.85
2012-10-31,43.50,44.25,43.20,43.65,45400,43.65
2012-10-30,44.55,45.70,42.70,43.35,116800,43.35
2012-10-29,45.00,45.75,44.50,44.80,69000,44.80
2012-10-26,46.20,46.20,46.20,46.20,000,46.20
2012-10-25,46.75,47.30,45.50,46.20,76700,46.20
2012-10-24,46.70,46.70,46.70,46.70,000,46.70
2012-10-23,47.40,48.90,46.15,46.70,682500,46.70
2012-10-22,47.10,48.80,46.25,47.60,86900,47.60
2012-10-19,48.40,48.90,47.00,47.50,100900,47.50
2012-10-18,46.00,49.00,45.50,48.20,178700,48.20
2012-10-17,47.50,47.75,45.80,46.00,91900,46.00
2012-10-16,48.90,49.30,46.20,46.85,228500,46.85
2012-10-15,47.00,50.00,45.10,48.15,335000,48.15
2012-10-12,49.45,49.50,47.50,47.70,156800,47.70
2012-10-11,48.60,49.60,48.00,49.05,120100,49.05
2012-10-10,50.00,51.85,48.50,48.95,773800,48.95
2012-10-09,49.05,50.70,49.05,50.00,247300,50.00
2012-10-08,48.40,49.80,48.20,48.95,190400,48.95
2012-10-05,51.05,51.05,46.70,48.75,309300,48.75
2012-10-04,50.00,51.95,49.20,50.20,842200,50.20
2012-10-03,47.00,50.30,46.25,49.65,1038000,49.65
2012-10-02,46.30,46.30,46.30,46.30,000,46.30
2012-10-01,45.60,46.85,44.50,46.30,133400,46.30
2012-09-28,46.60,46.75,45.20,45.75,81200,45.75
2012-09-27,47.20,47.30,45.55,45.75,72800,45.75
2012-09-26,44.50,47.85,44.50,46.35,225400,46.35
2012-09-25,46.20,46.90,44.35,45.95,137100,45.95
2012-09-24,45.30,48.25,45.30,46.15,324800,46.15
2012-09-21,43.50,45.00,43.10,44.75,295100,44.75
