Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,65.35,65.35,65.35,65.35,000,65.35
2012-12-24,65.10,67.20,64.50,65.35,382700,65.35
2012-12-21,69.40,70.20,64.35,64.85,1573700,64.85
2012-12-20,61.80,72.25,61.10,70.20,2013300,70.20
2012-12-19,63.25,63.75,61.50,61.85,122200,61.85
2012-12-18,60.45,63.45,60.10,62.50,243700,62.50
2012-12-17,59.80,60.60,59.10,59.80,38900,59.80
2012-12-14,60.50,61.35,59.50,59.80,72800,59.80
2012-12-13,61.95,62.50,60.00,60.25,68600,60.25
2012-12-12,63.80,63.80,61.10,61.60,68700,61.60
2012-12-11,68.00,68.00,62.40,63.30,654700,63.30
2012-12-10,60.35,64.75,60.00,63.85,305400,63.85
2012-12-07,60.95,61.45,60.00,60.25,36000,60.25
2012-12-06,61.00,61.75,59.50,60.60,66400,60.60
2012-12-05,61.50,62.50,60.20,60.75,112200,60.75
2012-12-04,57.55,61.80,57.55,60.60,323000,60.60
2012-12-03,57.45,58.60,57.45,58.15,67900,58.15
2012-11-30,58.30,59.65,56.65,57.05,261700,57.05
2012-11-29,57.95,59.00,56.60,57.85,130300,57.85
2012-11-28,57.60,57.60,57.60,57.60,000,57.60
2012-11-27,58.10,58.85,56.95,57.60,110500,57.60
2012-11-26,59.45,59.85,58.00,58.25,52800,58.25
2012-11-23,60.00,60.00,58.55,58.80,33400,58.80
2012-11-22,60.10,61.15,59.15,59.90,28900,59.90
2012-11-21,60.55,60.70,59.75,60.10,14200,60.10
2012-11-20,62.20,63.05,60.50,60.90,36100,60.90
2012-11-19,61.40,64.50,61.40,62.20,227400,62.20
2012-11-16,61.45,61.45,60.00,60.05,15200,60.05
2012-11-15,61.70,61.70,59.75,60.40,20900,60.40
2012-11-14,61.45,61.45,61.45,61.45,000,61.45
2012-11-13,61.45,61.45,61.45,61.45,000,61.45
2012-11-12,62.45,62.50,61.05,61.45,14000,61.45
2012-11-09,62.65,63.95,61.65,61.95,34100,61.95
2012-11-08,62.10,63.45,61.90,62.45,30000,62.45
2012-11-07,62.40,64.85,62.40,63.30,199800,63.30
2012-11-06,61.55,61.95,61.00,61.40,25700,61.40
2012-11-05,61.05,62.90,60.80,61.10,31000,61.10
2012-11-02,61.90,63.00,61.00,61.20,32400,61.20
2012-11-01,61.05,61.95,60.55,61.15,17300,61.15
2012-10-31,59.90,64.40,59.45,61.85,68400,61.85
2012-10-30,60.35,60.85,59.40,59.55,14700,59.55
2012-10-29,61.65,61.65,60.05,60.35,17700,60.35
2012-10-26,61.80,61.80,61.80,61.80,000,61.80
2012-10-25,62.80,63.30,61.55,61.80,17500,61.80
2012-10-24,62.80,62.80,62.80,62.80,000,62.80
2012-10-23,63.00,63.60,62.25,62.80,16000,62.80
2012-10-22,62.80,63.85,62.20,63.05,18800,63.05
2012-10-19,63.50,65.45,62.90,63.25,35800,63.25
2012-10-18,63.55,64.45,63.10,63.80,36600,63.80
2012-10-17,64.55,65.45,63.15,63.35,28200,63.35
2012-10-16,66.30,66.70,63.60,64.20,28000,64.20
2012-10-15,66.45,68.40,65.55,66.15,92200,66.15
2012-10-12,66.00,67.40,65.20,65.75,56500,65.75
2012-10-11,65.10,66.25,64.20,65.80,42300,65.80
2012-10-10,67.05,67.85,65.30,65.55,45700,65.55
2012-10-09,68.00,69.70,66.85,67.35,116500,67.35
2012-10-08,64.90,74.80,64.20,67.45,315300,67.45
2012-10-05,65.10,66.10,63.55,64.15,42500,64.15
2012-10-04,66.45,67.15,65.15,65.35,62500,65.35
2012-10-03,64.40,68.25,63.90,65.65,212500,65.65
2012-10-02,64.15,64.15,64.15,64.15,000,64.15
2012-10-01,64.90,65.05,63.50,64.15,36700,64.15
2012-09-28,63.90,65.70,63.00,63.95,68600,63.95
2012-09-27,61.40,63.40,61.35,62.90,32500,62.90
2012-09-26,61.20,63.20,61.05,61.90,50200,61.90
2012-09-25,63.05,63.40,61.80,61.90,29100,61.90
2012-09-24,61.95,63.80,61.10,62.65,87000,62.65
