Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,60.00,60.00,60.00,60.00,000,60.00
2012-12-24,59.45,60.85,59.45,60.00,92900,60.00
2012-12-21,59.30,60.50,59.10,59.45,326700,59.45
2012-12-20,59.00,62.40,59.00,60.35,457600,60.35
2012-12-19,60.50,60.95,59.40,60.10,1147900,60.10
2012-12-18,57.10,61.50,57.10,60.50,1378800,60.50
2012-12-17,58.50,60.00,58.50,59.85,1294100,59.85
2012-12-14,59.60,60.95,58.00,58.60,237000,58.60
2012-12-13,59.55,60.00,56.55,59.45,471500,59.45
2012-12-12,55.00,60.00,55.00,59.25,962800,59.25
2012-12-11,55.00,55.30,54.90,55.05,72100,55.05
2012-12-10,55.05,55.35,54.75,55.00,212000,55.00
2012-12-07,55.10,55.60,54.95,55.00,49700,55.00
2012-12-06,54.75,55.40,54.75,55.00,148500,55.00
2012-12-05,54.60,55.25,54.60,55.00,138800,55.00
2012-12-04,54.55,54.80,54.50,54.60,35100,54.60
2012-12-03,54.50,54.70,52.25,54.50,356400,54.50
2012-11-30,54.60,54.85,54.10,54.50,69500,54.50
2012-11-29,55.95,55.95,54.50,54.55,92000,54.55
2012-11-28,54.55,54.55,54.55,54.55,000,54.55
2012-11-27,54.90,54.90,54.50,54.55,169800,54.55
2012-11-26,54.95,55.40,54.40,54.50,149200,54.50
2012-11-23,54.90,54.95,54.50,54.50,129800,54.50
2012-11-22,54.95,54.95,54.35,54.50,418200,54.50
2012-11-21,54.80,54.95,53.80,54.60,74600,54.60
2012-11-20,55.35,55.40,54.50,54.75,50500,54.75
2012-11-19,55.05,55.25,54.45,54.85,536700,54.85
2012-11-16,55.10,55.55,54.90,54.95,66400,54.95
2012-11-15,55.45,55.80,54.50,54.85,68500,54.85
2012-11-14,55.05,55.05,55.05,55.05,000,55.05
2012-11-13,55.05,55.05,55.05,55.05,000,55.05
2012-11-12,55.10,55.90,55.00,55.05,404800,55.05
2012-11-09,55.05,55.50,54.50,55.05,131700,55.05
2012-11-08,55.00,55.45,54.90,55.00,529000,55.00
2012-11-07,53.00,55.80,53.00,55.50,329000,55.50
2012-11-06,55.85,55.95,55.00,55.15,70200,55.15
2012-11-05,55.30,57.05,55.10,55.75,146500,55.75
2012-11-02,57.50,57.85,54.80,55.25,196200,55.25
2012-11-01,57.85,59.50,56.40,57.00,394600,57.00
2012-10-31,55.90,59.45,55.00,57.75,650800,57.75
2012-10-30,55.15,55.80,53.75,55.15,418300,55.15
2012-10-29,52.80,54.50,52.25,53.20,173700,53.20
2012-10-26,52.35,52.35,52.35,52.35,000,52.35
2012-10-25,52.05,52.50,52.00,52.35,693600,52.35
2012-10-24,52.00,52.00,52.00,52.00,000,52.00
2012-10-23,52.10,52.35,50.50,52.00,87700,52.00
2012-10-22,52.00,53.00,51.90,52.05,576900,52.05
2012-10-19,52.05,52.70,51.70,52.15,189300,52.15
2012-10-18,52.05,52.60,51.80,52.30,162500,52.30
2012-10-17,53.45,53.45,51.95,52.35,613200,52.35
2012-10-16,52.95,53.30,52.05,52.50,228400,52.50
2012-10-15,53.25,53.90,52.15,52.65,432200,52.65
2012-10-12,54.35,54.40,52.00,53.30,545700,53.30
2012-10-11,54.00,54.50,53.20,53.65,1432600,53.65
2012-10-10,52.45,56.00,51.10,52.00,1397700,52.00
2012-10-09,52.85,53.90,51.80,52.10,1351500,52.10
2012-10-08,51.30,55.85,51.00,51.70,1317300,51.70
2012-10-05,56.70,57.95,48.70,52.00,2191500,52.00
2012-10-04,62.50,62.90,55.65,56.50,773200,56.50
2012-10-03,63.85,64.25,61.50,62.30,432000,62.30
2012-10-02,63.10,63.10,63.10,63.10,000,63.10
2012-10-01,63.35,66.80,60.45,63.10,878200,63.10
2012-09-28,56.00,62.70,56.00,59.90,1060600,59.90
2012-09-27,54.80,56.00,54.75,55.65,328200,55.65
2012-09-26,54.70,55.15,53.55,54.90,369800,54.90
2012-09-25,53.00,54.10,52.40,53.90,956500,53.90
2012-09-24,50.00,52.75,49.95,52.45,918400,52.45
2012-09-21,49.30,51.85,46.90,49.40,1126400,49.40
2012-09-20,46.00,46.20,45.75,46.00,1625000,46.00
2012-09-19,46.00,46.00,46.00,46.00,000,46.00
