Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,210.75,210.75,210.75,210.75,000,210.75
2012-12-24,217.00,218.50,210.00,210.75,194100,210.75
2012-12-21,218.05,224.25,214.20,215.35,216500,215.35
2012-12-20,222.60,223.95,216.80,218.00,114200,218.00
2012-12-19,229.25,229.25,220.00,221.15,232400,221.15
2012-12-18,228.90,230.45,224.55,225.35,197500,225.35
2012-12-17,223.10,234.20,220.55,227.95,359100,227.95
2012-12-14,223.25,227.75,222.00,222.95,186800,222.95
2012-12-13,234.60,236.45,221.45,222.90,198100,222.90
2012-12-12,233.95,236.50,231.05,233.15,274600,233.15
2012-12-11,233.40,242.15,228.60,231.05,672600,231.05
2012-12-10,234.75,239.70,231.40,232.90,244900,232.90
2012-12-07,234.85,238.80,230.65,232.60,428200,232.60
2012-12-06,232.00,240.00,226.10,234.45,570200,234.45
2012-12-05,232.75,243.80,228.05,230.30,856800,230.30
2012-12-04,238.00,242.40,229.00,230.60,857400,230.60
2012-12-03,213.80,246.00,211.00,238.95,2868300,238.95
2012-11-30,209.20,216.10,204.10,212.80,691500,212.80
2012-11-29,208.00,217.25,204.80,209.35,2205700,209.35
2012-11-28,204.10,204.10,204.10,204.10,000,204.10
2012-11-27,170.25,204.10,170.10,204.10,2590900,204.10
2012-11-26,169.70,171.90,169.05,170.10,379600,170.10
2012-11-23,170.50,170.50,169.05,169.70,11900,169.70
2012-11-22,169.60,170.70,169.50,169.85,19200,169.85
2012-11-21,170.05,170.55,169.05,169.90,112900,169.90
2012-11-20,170.00,170.90,168.90,169.60,22100,169.60
2012-11-19,171.35,171.35,169.35,169.65,15900,169.65
2012-11-16,170.45,171.15,168.50,169.55,83200,169.55
2012-11-15,170.05,173.80,169.05,169.85,36100,169.85
2012-11-14,169.80,169.80,169.80,169.80,000,169.80
2012-11-13,169.80,169.80,169.80,169.80,000,169.80
2012-11-12,168.15,170.80,167.85,169.80,50600,169.80
2012-11-09,172.80,172.80,169.05,170.00,22500,170.00
2012-11-08,169.55,172.30,169.50,170.95,18200,170.95
2012-11-07,170.90,172.90,169.70,171.25,74500,171.25
2012-11-06,169.50,170.60,168.45,170.00,59600,170.00
2012-11-05,171.30,173.35,169.00,169.80,89700,169.80
2012-11-02,173.35,173.90,172.00,173.10,29400,173.10
2012-11-01,173.30,174.35,171.00,172.25,45500,172.25
2012-10-31,170.00,171.85,169.95,170.30,21500,170.30
2012-10-30,170.90,170.90,169.50,170.00,33500,170.00
2012-10-29,171.80,171.90,170.05,170.30,27000,170.30
2012-10-26,171.20,171.20,171.20,171.20,000,171.20
2012-10-25,171.10,173.00,170.50,171.20,25200,171.20
2012-10-24,171.70,171.70,171.70,171.70,000,171.70
2012-10-23,170.20,173.75,170.10,171.70,19000,171.70
2012-10-22,172.50,173.95,171.00,171.90,38500,171.90
2012-10-19,188.00,188.00,170.50,171.95,44500,171.95
2012-10-18,173.10,174.00,172.05,172.50,19900,172.50
2012-10-17,173.20,174.30,172.00,172.90,27400,172.90
2012-10-16,173.60,174.80,172.25,172.90,49900,172.90
2012-10-15,174.90,176.60,172.05,173.00,57700,173.00
2012-10-12,172.95,177.80,172.55,173.25,76100,173.25
2012-10-11,173.55,174.65,172.05,172.90,25000,172.90
2012-10-10,175.05,176.60,172.50,173.00,23800,173.00
2012-10-09,176.00,179.70,173.55,176.70,76600,176.70
2012-10-08,179.85,179.85,174.30,174.80,31000,174.80
2012-10-05,181.75,181.95,174.15,176.40,75500,176.40
2012-10-04,172.55,182.65,171.10,179.75,340800,179.75
2012-10-03,172.80,174.30,171.60,172.00,26300,172.00
2012-10-02,172.30,172.30,172.30,172.30,000,172.30
2012-10-01,173.50,174.55,171.50,172.30,27400,172.30
2012-09-28,173.15,176.80,170.85,171.45,88600,171.45
2012-09-27,177.25,178.80,170.20,171.65,450400,171.65
2012-09-26,175.90,177.00,174.00,176.00,69000,176.00
2012-09-25,175.15,177.95,174.50,175.75,42100,175.75
2012-09-24,175.00,177.90,173.10,175.60,152900,175.60
2012-09-21,176.00,180.25,174.50,175.85,189700,175.85
2012-09-20,177.60,180.50,176.25,177.75,83100,177.75
2012-09-19,180.00,180.00,180.00,180.00,000,180.00
2012-09-18,181.65,182.40,178.50,180.00,444400,180.00
2012-09-17,181.25,182.60,180.15,181.70,820500,181.70
2012-09-14,180.90,181.90,179.10,180.00,175100,180.00
2012-09-13,180.00,182.25,178.35,180.30,434100,180.30
2012-09-12,175.80,180.25,175.35,179.00,253300,179.00
2012-09-11,173.30,176.90,173.00,175.95,238000,175.95
2012-09-10,174.90,175.35,172.15,174.10,184800,174.10
2012-09-07,175.00,175.05,172.75,174.15,167800,174.15
2012-09-06,175.15,176.80,172.50,173.55,268600,173.55
2012-09-05,174.50,175.90,172.25,173.75,317800,173.75
2012-09-04,175.50,175.50,171.15,174.00,66000,174.00
2012-09-03,176.00,177.50,174.00,174.60,110500,174.60
2012-08-31,174.00,176.50,173.00,175.75,404000,175.75
2012-08-30,170.75,174.50,169.10,173.85,1415200,173.85
2012-08-29,173.40,173.40,170.00,170.60,382100,170.60
2012-08-28,175.30,175.70,169.25,172.55,170900,172.55
2012-08-27,175.00,176.80,172.50,173.50,110300,173.50
2012-08-24,178.00,178.00,173.20,174.95,185500,174.95
2012-08-23,178.50,180.80,174.15,174.75,501800,174.75
2012-08-22,176.00,178.45,174.10,174.75,129900,174.75
2012-08-21,177.30,177.80,174.00,175.70,497900,175.70
2012-08-20,176.40,176.40,176.40,176.40,000,176.40
2012-08-17,172.90,177.80,172.00,176.40,997500,176.40
2012-08-16,172.00,174.65,171.40,171.95,186600,171.95
2012-08-15,171.25,171.25,171.25,171.25,000,171.25
2012-08-14,171.05,172.00,169.95,171.25,85900,171.25
2012-08-13,168.25,170.85,167.50,169.25,49300,169.25
2012-08-10,167.00,170.00,167.00,168.70,93000,168.70
2012-08-09,169.20,169.95,167.80,168.45,26100,168.45
2012-08-08,169.50,170.80,168.75,169.10,27900,169.10
2012-08-07,170.10,171.30,169.20,169.65,17600,169.65
2012-08-06,171.35,171.70,170.00,170.95,25600,170.95
2012-08-03,170.40,171.00,169.00,169.80,122400,169.80
2012-08-02,167.00,171.45,167.00,170.85,21000,170.85
2012-08-01,170.90,171.90,170.00,170.40,19000,170.40
2012-07-31,171.15,173.00,169.60,170.60,72000,170.60
2012-07-30,167.00,172.70,165.35,172.00,467800,172.00
2012-07-27,168.75,171.90,166.20,168.00,180900,168.00
