Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,60.65,60.65,60.65,60.65,000,60.65
2012-12-24,61.00,61.60,60.10,60.65,1127000,60.65
2012-12-21,62.20,62.35,60.25,60.70,1617200,60.70
2012-12-20,62.85,63.40,61.75,62.80,1516000,62.80
2012-12-19,64.05,64.50,62.60,62.95,2064100,62.95
2012-12-18,63.00,64.00,60.35,63.55,3639600,63.55
2012-12-17,62.80,63.20,62.25,62.85,1816200,62.85
2012-12-14,60.30,63.35,59.05,62.70,3347200,62.70
2012-12-13,62.00,63.90,59.40,60.30,2635700,60.30
2012-12-12,62.40,63.75,61.30,63.15,2712300,63.15
2012-12-11,64.90,65.65,60.85,61.85,4432400,61.85
2012-12-10,61.90,65.30,61.50,64.70,4129700,64.70
2012-12-07,62.20,62.90,61.60,61.90,2660500,61.90
2012-12-06,61.05,62.15,60.05,61.85,2917300,61.85
2012-12-05,60.90,61.65,60.50,60.85,1801900,60.85
2012-12-04,60.85,61.40,60.00,60.55,2293200,60.55
2012-12-03,59.00,60.75,58.70,60.55,3822300,60.55
2012-11-30,55.85,59.10,55.85,58.60,3872400,58.60
2012-11-29,56.50,56.50,55.60,55.80,1621000,55.80
2012-11-28,55.75,55.75,55.75,55.75,000,55.75
2012-11-27,55.65,56.05,55.50,55.75,818900,55.75
2012-11-26,55.35,55.50,54.30,55.35,524800,55.35
2012-11-23,55.25,55.40,53.95,54.65,695100,54.65
2012-11-22,55.45,56.20,54.60,55.05,1025200,55.05
2012-11-21,53.60,55.95,53.25,55.45,1555300,55.45
2012-11-20,55.00,55.00,53.00,53.40,790000,53.40
2012-11-19,54.90,54.90,53.55,54.35,1191700,54.35
2012-11-16,56.30,56.30,53.70,54.35,1092400,54.35
2012-11-15,55.40,55.90,54.55,55.75,979200,55.75
2012-11-14,55.60,55.60,55.60,55.60,000,55.60
2012-11-13,55.60,55.60,55.60,55.60,000,55.60
2012-11-12,55.25,55.80,54.45,55.60,1042500,55.60
2012-11-09,56.00,56.75,55.00,55.20,1455100,55.20
2012-11-08,54.10,56.50,53.90,55.80,1418400,55.80
2012-11-07,55.00,55.40,54.20,54.95,1242600,54.95
2012-11-06,54.30,55.00,50.60,54.30,1589900,54.30
2012-11-05,56.00,56.00,53.50,54.30,3261100,54.30
2012-11-02,54.95,56.00,54.80,55.90,1361000,55.90
2012-11-01,55.00,55.00,53.90,54.55,1209900,54.55
2012-10-31,53.00,54.40,52.50,54.05,1371400,54.05
2012-10-30,55.55,56.05,52.65,52.95,2063500,52.95
2012-10-29,54.75,55.90,54.40,55.20,1285600,55.20
2012-10-26,56.35,56.35,56.35,56.35,000,56.35
2012-10-25,56.50,57.10,56.15,56.35,1650400,56.35
2012-10-24,56.75,56.75,56.75,56.75,000,56.75
2012-10-23,56.60,57.55,56.25,56.75,1198200,56.75
2012-10-22,56.85,57.30,55.80,57.15,1554000,57.15
2012-10-19,58.60,58.60,56.60,56.95,2178200,56.95
2012-10-18,57.40,58.30,56.70,58.05,3083900,58.05
2012-10-17,57.00,57.40,56.10,57.00,1399600,57.00
2012-10-16,57.50,58.35,56.60,56.75,2628500,56.75
2012-10-15,56.30,57.40,55.70,57.05,1371700,57.05
2012-10-12,57.00,57.60,56.05,56.25,2135800,56.25
2012-10-11,54.95,56.90,54.40,56.60,1771300,56.60
2012-10-10,55.55,55.85,54.90,55.05,998700,55.05
2012-10-09,56.10,56.80,55.20,55.95,1522100,55.95
2012-10-08,57.35,57.40,55.55,55.90,1192900,55.90
2012-10-05,58.30,59.00,55.80,56.85,2038000,56.85
2012-10-04,58.25,59.20,58.05,58.30,2349300,58.30
2012-10-03,58.40,58.70,57.35,58.00,2056600,58.00
2012-10-02,57.90,57.90,57.90,57.90,000,57.90
2012-10-01,56.00,58.10,55.70,57.90,2416800,57.90
2012-09-28,55.60,57.15,55.60,56.25,1808200,56.25
2012-09-27,56.00,56.30,55.20,55.40,1307700,55.40
2012-09-26,55.00,56.25,54.75,55.80,1194200,55.80
2012-09-25,56.50,56.55,54.25,55.70,1573800,55.70
2012-09-24,56.50,57.45,55.00,55.55,3186300,55.55
2012-09-21,55.35,56.75,55.35,56.25,3856900,56.25
2012-09-20,53.00,56.40,52.50,55.25,5733400,55.25
2012-09-19,54.40,54.40,54.40,54.40,000,54.40
2012-09-18,52.20,54.90,51.75,54.40,3403200,54.40
2012-09-17,50.40,52.40,50.25,52.05,3226200,52.05
2012-09-14,49.10,50.00,48.50,49.80,2101900,49.80
2012-09-13,47.85,48.80,47.50,47.75,1112700,47.75
2012-09-12,47.80,48.25,47.55,47.90,901900,47.90
2012-09-11,47.50,47.65,47.00,47.45,652000,47.45
2012-09-10,47.85,48.25,47.50,47.70,699200,47.70
2012-09-07,47.55,48.00,47.20,47.45,981500,47.45
2012-09-06,46.80,47.30,46.35,46.65,894000,46.65
2012-09-05,47.60,47.60,46.65,46.90,1029600,46.90
2012-09-04,47.50,47.80,46.85,47.55,1769300,47.55
2012-09-03,48.50,48.50,46.50,47.30,1167400,47.30
2012-08-31,47.25,48.05,46.00,46.25,1814400,46.25
2012-08-30,47.30,47.55,46.00,47.00,1970600,47.00
2012-08-29,48.30,48.50,47.10,47.35,858200,47.35
2012-08-28,49.00,49.50,47.65,48.15,1536600,48.15
2012-08-27,49.50,53.50,49.00,49.25,891100,49.25
2012-08-24,51.10,51.50,50.20,50.25,820200,50.25
2012-08-23,52.10,52.30,51.20,51.50,622600,51.50
2012-08-22,52.25,52.25,51.70,51.85,854700,51.85
2012-08-21,52.10,52.60,51.85,51.95,958200,51.95
2012-08-20,52.05,52.05,52.05,52.05,000,52.05
2012-08-17,53.00,53.00,51.65,52.05,935300,52.05
2012-08-16,52.90,53.10,52.35,52.50,1256700,52.50
2012-08-15,52.50,52.50,52.50,52.50,000,52.50
2012-08-14,52.10,53.20,52.05,52.50,1679500,52.50
2012-08-13,52.90,52.95,51.65,52.05,778900,52.05
2012-08-10,52.45,52.75,51.80,52.55,561100,52.55
2012-08-09,53.20,53.80,52.05,52.45,843400,52.45
2012-08-08,54.00,54.25,53.05,53.15,680100,53.15
2012-08-07,53.90,54.20,53.40,53.65,723200,53.65
2012-08-06,54.50,54.60,53.60,53.70,498400,53.70
2012-08-03,53.05,53.70,52.50,53.50,641000,53.50
2012-08-02,53.95,54.15,53.05,53.50,663400,53.50
2012-08-01,53.90,54.20,53.30,54.05,803000,54.05
2012-07-31,54.25,54.45,52.45,53.55,1396900,53.55
2012-07-30,52.90,54.00,51.85,53.75,974700,53.75
2012-07-27,53.25,54.40,50.80,51.65,2266800,51.65
2012-07-26,55.95,56.50,52.00,52.85,2654500,52.85
2012-07-25,55.55,56.90,55.30,55.70,3004400,55.70
2012-07-24,55.00,55.80,55.00,55.55,784600,55.55
2012-07-23,55.30,56.10,54.50,55.10,668800,55.10
2012-07-20,56.00,56.55,55.90,56.15,507700,56.15
2012-07-19,57.35,57.40,56.30,56.55,566400,56.55
2012-07-18,56.45,57.25,55.60,56.75,943500,56.75
2012-07-17,58.20,59.00,56.15,56.55,720200,56.55
2012-07-16,59.45,59.45,57.40,57.75,724900,57.75
2012-07-13,58.25,58.95,57.20,57.85,1494500,57.85
2012-07-12,58.50,58.50,57.70,58.25,808700,58.25
2012-07-11,58.50,59.60,58.50,58.90,564100,58.90
2012-07-10,58.15,59.70,57.75,59.25,1130300,59.25
2012-07-09,60.00,60.40,57.95,58.10,1240100,58.10
2012-07-06,60.90,61.35,60.15,60.45,2216900,60.45
2012-07-05,60.85,61.00,58.85,60.65,2045300,60.65
2012-07-04,58.80,59.70,58.65,59.10,893500,59.10
2012-07-03,58.90,59.35,58.65,58.80,1251500,58.80
2012-07-02,58.40,59.10,57.60,58.40,1384300,58.40
2012-06-29,57.60,58.45,57.05,58.20,1342800,58.20
2012-06-28,57.40,57.40,56.35,56.60,908500,56.60
2012-06-27,57.30,58.00,56.70,57.05,664200,57.05
2012-06-26,57.15,57.60,56.85,57.30,535700,57.30
2012-06-25,58.00,58.45,56.80,57.05,1388300,57.05
2012-06-22,57.60,58.10,56.55,57.50,1863900,57.50
2012-06-21,58.10,59.90,58.10,59.65,1223900,57.15
2012-06-20,57.95,59.05,57.55,58.75,1182100,56.29
2012-06-19,57.10,57.90,56.80,57.70,1132600,55.28
2012-06-18,60.00,60.15,57.00,57.15,1454000,54.75
2012-06-15,58.10,59.65,57.50,59.10,941800,56.62
2012-06-14,59.05,59.25,57.70,58.00,1130200,55.57
2012-06-13,60.35,60.70,59.00,59.25,1915000,56.77
2012-06-12,57.85,59.90,57.10,59.65,1784300,57.15
2012-06-11,58.30,59.25,57.45,57.85,1753900,55.43
2012-06-08,57.45,58.50,56.75,58.10,1241300,55.66
2012-06-07,58.50,58.50,57.10,57.45,1063000,55.04
2012-06-06,56.45,57.20,56.25,57.00,1147400,54.61
2012-06-05,55.85,56.80,55.50,55.90,1572200,53.56
2012-06-04,54.10,55.75,53.10,55.35,901300,53.03
2012-06-01,55.00,58.90,54.15,54.55,1206900,52.26
2012-05-31,52.60,56.00,52.10,55.30,1952000,52.98
2012-05-30,54.60,54.60,52.80,53.00,667500,50.78
2012-05-29,54.60,55.00,54.05,54.35,901800,52.07
2012-05-28,53.75,54.50,53.30,54.35,655700,52.07
2012-05-25,53.50,53.75,52.60,53.30,549200,51.07
2012-05-24,52.50,53.60,52.25,53.35,1131200,51.11
2012-05-23,51.45,52.70,51.00,52.20,942700,50.01
2012-05-22,54.50,54.95,51.00,51.45,1230800,49.29
2012-05-21,52.50,54.50,52.50,53.95,835600,51.69
2012-05-18,51.40,53.50,51.05,52.90,918700,50.68
2012-05-17,52.90,53.85,51.65,52.00,776400,49.82
2012-05-16,53.40,53.40,51.15,52.70,818600,50.49
2012-05-15,51.55,53.10,51.10,52.85,855000,50.63
2012-05-14,52.80,53.40,51.50,51.90,695000,49.72
2012-05-11,52.80,53.60,52.10,52.80,1092200,50.59
2012-05-10,53.50,54.50,52.25,52.90,988800,50.68
2012-05-09,54.45,54.80,53.10,53.35,1285300,51.11
2012-05-08,57.60,57.70,54.40,54.65,1627900,52.36
2012-05-07,52.10,56.90,52.10,56.55,1843200,54.18
2012-05-04,55.50,56.70,55.20,55.40,1191200,53.08
2012-05-03,58.50,58.50,56.60,56.90,1335900,54.52
2012-05-02,59.50,60.05,58.20,58.45,2059300,56.00
2012-05-01,58.70,58.70,58.70,58.70,000,56.24
2012-04-30,57.05,59.90,56.90,58.65,5719400,56.19
2012-04-27,56.00,56.70,55.05,55.85,1284400,53.51
2012-04-26,57.15,57.30,54.80,55.15,1364800,52.84
2012-04-25,57.85,58.40,56.50,56.90,797700,54.52
2012-04-24,57.90,58.40,57.20,57.75,1053900,55.33
2012-04-23,59.65,59.85,57.55,57.85,1182100,55.43
2012-04-20,61.00,61.25,59.30,59.75,1207300,57.25
2012-04-19,62.75,62.75,60.50,60.90,933700,58.35
2012-04-18,63.25,63.25,60.80,60.90,1590200,58.35
2012-04-17,61.95,63.50,60.65,61.55,3021500,58.97
2012-04-16,60.00,62.30,59.60,61.90,1466500,59.31
2012-04-13,62.20,62.85,59.85,60.20,1994600,57.68
2012-04-12,60.80,63.00,60.80,61.80,3198800,59.21
2012-04-11,59.60,62.05,58.80,60.55,3369700,58.01
2012-04-10,59.35,60.45,57.90,60.15,1352700,57.63
2012-04-09,59.20,59.50,58.50,58.70,636000,56.24
2012-04-06,59.75,59.75,59.75,59.75,000,57.25
2012-04-05,59.75,59.75,59.75,59.75,000,57.25
2012-04-04,59.40,60.05,59.05,59.75,756900,57.25
2012-04-03,60.00,60.55,59.55,60.05,851900,57.53
2012-04-02,59.80,61.00,58.25,59.45,1351600,56.96
2012-03-30,56.00,58.75,56.00,58.45,2306800,56.00
2012-03-29,57.40,57.40,55.25,55.75,2281900,53.41
2012-03-28,58.20,59.00,57.30,57.80,1042600,55.38
2012-03-27,59.00,59.75,58.05,58.75,1418500,56.29
2012-03-26,60.10,60.35,58.05,58.30,1383500,55.86
2012-03-23,60.50,60.80,59.10,60.05,1761500,57.53
2012-03-22,62.00,62.60,59.80,60.00,1976200,57.49
2012-03-21,60.60,62.30,59.75,62.00,1676500,59.40
2012-03-20,59.10,60.75,58.95,60.20,1781400,57.68
2012-03-19,61.90,61.95,59.05,59.70,1162500,57.20
2012-03-16,62.75,63.90,60.20,61.30,2481400,58.73
2012-03-15,65.25,65.25,62.25,62.85,2956600,60.22
2012-03-14,64.90,65.70,62.80,64.85,2924900,62.13
2012-03-13,63.50,64.45,63.30,63.75,1532800,61.08
2012-03-12,63.90,64.80,62.80,63.50,2400000,60.84
2012-03-09,60.50,62.30,60.00,62.05,1688700,59.45
2012-03-08,60.85,60.85,60.85,60.85,000,58.30
2012-03-07,59.10,59.65,57.70,59.40,2096000,56.91
2012-03-06,59.10,62.25,58.60,59.35,2047500,56.86
2012-03-05,62.00,63.00,59.20,60.05,1725300,57.53
2012-03-02,61.70,63.10,60.15,61.80,2847900,59.21
2012-03-01,61.15,62.00,60.00,60.85,1689200,58.30
2012-02-29,61.50,62.50,59.80,61.15,2314100,58.59
2012-02-28,58.05,61.15,57.90,60.45,2877100,57.92
2012-02-27,61.45,61.90,57.25,57.70,1729500,55.28
2012-02-24,62.70,62.90,60.05,60.70,2149000,58.16
2012-02-23,62.75,63.50,60.55,61.30,3326300,58.73
2012-02-22,67.80,68.40,62.00,62.75,3125400,60.12
2012-02-21,68.00,68.90,66.80,67.80,2385300,64.96
2012-02-20,67.50,67.50,67.50,67.50,000,64.67
2012-02-17,67.45,68.85,66.55,67.50,4295700,64.67
2012-02-16,64.40,67.50,63.75,66.75,3935000,63.95
2012-02-15,62.95,64.75,62.95,64.40,3542800,61.70
2012-02-14,61.20,63.30,61.00,62.95,3259400,60.31
2012-02-13,61.80,62.35,60.40,61.20,2667900,58.64
2012-02-10,60.90,62.50,60.20,61.60,4194500,59.02
2012-02-09,60.15,60.85,59.10,60.40,3545800,57.87
2012-02-08,58.85,60.90,58.40,59.45,3876700,56.96
2012-02-07,57.95,60.10,57.50,58.80,4732300,56.34
2012-02-06,57.05,58.20,56.80,57.55,3174100,55.14
2012-02-03,56.05,56.90,55.35,56.65,1583600,54.28
2012-02-02,56.80,57.50,54.90,56.05,2242400,53.70
2012-02-01,56.10,56.75,55.20,56.40,2474800,54.04
2012-01-31,55.00,56.15,54.50,55.90,1605100,53.56
2012-01-30,54.70,56.20,54.10,54.50,1869100,52.22
2012-01-27,56.00,57.00,54.55,55.15,2069300,52.84
2012-01-26,55.85,55.85,55.85,55.85,000,53.51
2012-01-25,57.05,58.10,54.90,55.85,7180000,53.51
2012-01-24,55.05,57.25,53.90,56.80,4743400,54.42
2012-01-23,53.00,55.50,53.00,54.50,1824000,52.22
2012-01-20,53.00,54.90,52.60,53.65,2570800,51.40
2012-01-19,52.15,52.90,51.85,52.55,987800,50.35
2012-01-18,53.35,53.40,51.10,51.50,1447100,49.34
2012-01-17,52.90,53.95,52.50,53.25,1672500,51.02
2012-01-16,52.00,52.70,50.50,52.15,1490000,49.96
2012-01-13,52.10,52.75,51.55,52.35,1373900,50.16
2012-01-12,51.80,52.90,50.70,51.60,2159300,49.44
2012-01-11,50.70,51.60,50.40,51.10,1643600,48.96
2012-01-10,48.90,51.45,48.70,50.85,1842300,48.72
2012-01-09,48.00,49.00,47.45,48.45,989700,46.42
2012-01-06,46.70,48.90,46.15,48.10,1384300,46.08
2012-01-05,47.65,48.50,47.15,47.55,1134000,45.56
2012-01-04,47.50,47.75,46.15,47.45,1868200,45.46
2012-01-03,45.25,47.40,45.25,47.05,1637900,45.08
2012-01-02,44.90,45.35,43.80,44.80,1576800,42.92
2011-12-30,45.50,46.45,44.80,45.20,1259800,43.31
2011-12-29,45.00,46.80,44.55,45.00,2082600,43.11
2011-12-28,47.75,47.90,45.25,45.80,1609200,43.88
2011-12-27,49.10,49.30,46.90,47.50,1683500,45.51
2011-12-26,50.00,50.00,48.75,49.05,1146800,46.99
2011-12-23,50.70,51.35,48.55,49.10,1368700,47.04
2011-12-22,49.75,51.10,48.60,50.70,1272100,48.58
2011-12-21,49.20,49.95,48.20,49.55,1382900,47.47
2011-12-20,49.90,50.40,47.80,48.15,1482300,46.13
2011-12-19,51.00,51.00,48.40,49.90,2543000,47.81
2011-12-16,52.90,54.50,50.80,51.10,1636800,48.96
2011-12-15,52.85,53.05,50.85,51.85,1232400,49.68
2011-12-14,53.90,54.30,52.60,53.05,1046800,50.83
2011-12-13,52.50,53.60,52.10,53.10,859300,50.87
2011-12-12,55.25,55.25,52.25,52.55,1193400,50.35
2011-12-09,52.50,55.50,52.10,54.40,1848600,52.12
2011-12-08,54.50,54.95,53.05,53.40,1228200,51.16
2011-12-07,54.50,55.45,54.35,54.70,1412000,52.41
2011-12-06,54.40,54.40,54.40,54.40,000,52.12
2011-12-05,54.00,54.75,53.30,54.40,1434700,52.12
2011-12-02,52.00,54.40,51.90,54.00,2109200,51.74
2011-12-01,51.60,53.50,51.30,51.55,1540900,49.39
2011-11-30,50.10,50.90,49.75,50.50,1053900,48.38
2011-11-29,52.50,52.50,50.35,50.85,1394800,48.72
2011-11-28,51.10,52.35,51.10,52.10,1016100,49.92
2011-11-25,50.00,51.40,49.55,50.40,1295600,48.29
2011-11-24,49.80,50.85,48.65,50.15,2332100,48.05
2011-11-23,51.05,51.10,49.40,49.85,1090000,47.76
2011-11-22,50.95,51.90,50.65,51.00,832500,48.86
2011-11-21,52.30,52.65,50.25,50.60,1158800,48.48
2011-11-18,53.80,54.00,50.80,52.15,1868200,49.96
2011-11-17,54.85,55.65,53.10,53.35,935500,51.11
2011-11-16,53.65,55.95,53.65,54.85,1417100,52.55
2011-11-15,56.45,56.85,54.80,54.95,1406100,52.65
2011-11-14,59.90,59.90,55.65,56.15,1160700,53.80
2011-11-11,58.10,58.85,57.10,58.30,1533300,55.86
2011-11-09,60.95,61.30,58.25,58.50,2325100,56.05
2011-11-08,61.00,61.30,59.65,60.75,1279700,58.20
2011-11-04,61.30,61.80,60.35,60.70,1925900,58.16
2011-11-03,60.00,61.15,59.25,60.30,1986400,57.77
2011-11-02,59.50,61.35,59.00,60.35,2701400,57.82
2011-11-01,60.80,61.40,58.80,59.85,4094300,57.34
2011-10-31,56.00,61.80,55.15,61.20,10356100,58.64
2011-10-28,55.00,56.30,55.00,55.80,1616100,53.46
2011-10-26,54.00,54.35,53.55,54.10,312200,51.83
2011-10-25,52.55,53.70,51.55,53.25,1419500,51.02
2011-10-24,54.00,54.30,52.10,52.35,791400,50.16
2011-10-21,54.00,54.50,52.90,53.15,566800,50.92
2011-10-20,54.00,54.45,53.45,54.10,703800,51.83
2011-10-19,53.75,54.85,53.55,54.60,771700,52.31
2011-10-18,54.35,54.35,53.00,53.30,867000,51.07
2011-10-17,55.95,55.95,54.50,54.80,730800,52.50
2011-10-14,54.50,55.40,54.30,55.05,688800,52.74
2011-10-13,55.80,56.25,54.65,54.90,1448100,52.60
2011-10-12,54.25,55.65,53.60,55.45,1574400,53.13
2011-10-11,53.55,54.85,53.00,53.45,997100,51.21
2011-10-10,53.00,53.60,52.50,53.10,1855400,50.87
2011-10-07,52.30,53.75,52.30,53.20,798400,50.97
2011-10-05,52.90,52.95,51.50,51.80,1019400,49.63
2011-10-04,53.80,54.45,51.40,52.00,1504300,49.82
2011-10-03,53.60,54.60,53.05,53.65,835400,51.40
2011-09-30,55.25,55.85,54.20,54.60,1188800,52.31
2011-09-29,55.00,55.90,54.20,55.50,1129400,53.17
2011-09-28,57.00,57.00,54.45,54.95,1694600,52.65
2011-09-27,55.30,57.10,55.05,56.25,1745000,53.89
2011-09-26,55.10,55.40,53.05,54.60,1962800,52.31
2011-09-23,56.00,56.45,54.00,55.10,3028200,52.79
2011-09-22,58.60,58.95,56.25,56.75,1580100,54.37
2011-09-21,60.05,60.55,59.25,59.75,1644900,57.25
2011-09-20,58.50,60.20,58.10,59.90,1456200,57.39
2011-09-19,59.30,59.70,58.25,58.55,1294000,56.10
2011-09-16,60.50,61.15,58.45,59.65,2862600,57.15
2011-09-15,59.00,60.50,58.40,60.25,1895600,57.72
2011-09-14,58.90,58.90,57.10,58.30,1189800,55.86
2011-09-13,58.50,59.45,56.80,57.30,1874600,54.90
2011-09-12,59.10,59.90,57.50,58.00,1711000,55.57
2011-09-09,63.20,63.30,60.15,60.55,2509700,58.01
2011-09-08,60.00,62.75,58.60,62.45,3735000,59.83
2011-09-07,57.25,60.15,57.25,59.45,3075600,56.96
2011-09-06,56.60,57.40,55.60,57.20,1423400,54.80
2011-09-05,57.00,57.35,55.90,57.00,1207000,54.61
2011-09-02,57.00,58.00,56.10,57.10,1588300,54.71
2011-08-30,58.00,58.00,56.10,57.10,1671900,54.71
2011-08-29,55.50,57.20,54.75,56.75,1282500,54.37
2011-08-26,55.30,56.40,53.50,54.20,1644000,51.93
2011-08-25,58.00,58.40,55.60,56.30,1935500,53.94
2011-08-24,58.90,59.50,57.30,57.65,1369900,55.23
2011-08-23,58.70,58.90,57.10,58.45,1194800,56.00
2011-08-22,57.10,58.50,56.50,58.00,1398900,55.57
2011-08-19,56.85,58.05,55.05,57.05,1614700,54.66
2011-08-18,59.00,59.40,56.40,56.90,1682000,54.52
2011-08-17,59.25,60.50,58.45,58.90,1251500,56.43
2011-08-16,61.90,62.45,59.30,59.85,1860500,57.34
2011-08-12,61.50,62.30,61.05,61.30,1926800,58.73
2011-08-11,60.10,62.00,59.25,60.90,1632700,58.35
2011-08-10,61.85,61.90,59.75,60.60,1848600,58.06
2011-08-09,58.50,60.85,57.50,59.50,2605100,57.01
2011-08-08,58.45,60.95,56.80,59.65,3226200,57.15
2011-08-05,59.50,60.80,57.60,59.75,2145300,57.25
2011-08-04,62.50,63.35,61.70,62.00,1957200,59.40
2011-08-03,61.00,62.20,59.70,61.70,1868700,59.11
2011-08-02,64.40,64.40,61.25,61.60,1511100,59.02
2011-08-01,64.95,65.00,63.10,63.50,1264100,60.84
2011-07-29,62.80,64.25,62.10,63.25,2974500,60.60
2011-07-28,66.70,67.20,62.85,63.45,6104300,60.79
2011-07-27,68.00,68.90,65.10,67.60,937700,64.77
2011-07-26,70.60,70.70,68.20,68.50,1541000,65.63
2011-07-25,70.15,70.35,69.30,70.05,1451900,67.11
2011-07-22,70.00,70.75,69.35,70.15,1454100,67.21
2011-07-21,69.50,69.90,68.35,69.30,2003200,66.40
2011-07-20,71.50,72.70,68.70,69.25,2298500,66.35
2011-07-19,69.10,71.25,68.60,70.95,3341300,67.98
2011-07-18,68.50,69.45,68.30,69.10,815700,66.20
2011-07-15,69.00,69.75,68.00,68.45,1712300,65.58
2011-07-14,68.00,69.90,67.35,68.90,1742900,66.01
2011-07-13,67.00,68.60,67.00,68.20,1515000,65.34
2011-07-12,67.50,67.85,66.30,66.90,1247400,64.10
2011-07-11,69.50,69.80,67.65,67.85,1610100,65.01
2011-07-08,71.50,71.90,69.65,70.00,2019600,67.07
2011-07-07,69.20,71.45,68.85,71.20,2426700,68.22
2011-07-06,69.75,69.95,68.60,69.25,1408100,66.35
2011-07-05,71.60,71.60,69.50,69.75,2787100,66.83
2011-07-04,71.50,72.00,70.65,71.50,1727400,68.50
2011-07-01,70.50,70.90,69.50,70.65,2999500,67.69
2011-06-30,68.25,70.50,68.05,69.55,3503700,66.64
2011-06-29,68.30,68.95,67.80,67.95,1782100,65.10
2011-06-28,68.40,68.90,67.20,67.70,1604000,64.86
2011-06-27,66.20,68.75,66.20,68.10,2376700,65.25
2011-06-24,64.30,67.05,64.00,66.80,2274900,64.00
2011-06-23,66.00,66.00,63.55,64.00,2015800,61.32
2011-06-22,66.60,66.95,65.00,65.15,1388700,62.42
2011-06-21,67.00,67.60,65.80,66.10,1630500,63.33
2011-06-20,69.20,69.20,65.90,66.35,2196200,63.57
2011-06-17,69.80,70.80,68.20,68.65,2764800,65.77
2011-06-16,70.70,72.45,70.40,71.80,2361600,66.40
2011-06-15,72.00,72.45,70.75,71.30,1283600,65.93
2011-06-14,72.40,72.95,71.50,72.15,2424800,66.72
2011-06-13,71.75,72.30,70.65,72.00,1919200,66.58
2011-06-10,73.80,73.85,71.50,72.25,1764400,66.81
2011-06-09,73.50,74.25,73.00,73.55,1680300,68.01
2011-06-08,72.40,74.30,72.00,73.50,1753900,67.97
2011-06-07,72.50,74.20,72.10,73.65,1844900,68.11
2011-06-06,72.20,73.25,71.10,72.95,1679300,67.46
2011-06-03,72.60,73.80,71.65,72.10,2131400,66.67
2011-06-02,73.00,73.50,72.00,72.35,2183300,66.90
2011-06-01,71.20,74.90,70.15,74.15,7467600,68.57
2011-05-31,68.50,70.60,68.50,70.40,2469400,65.10
2011-05-30,80.00,80.00,67.50,68.30,3639500,63.16
2011-05-27,64.30,67.95,64.30,67.60,3710400,62.51
2011-05-26,66.25,68.55,64.00,64.50,7153500,59.65
2011-05-25,66.80,67.85,66.00,66.25,1725300,61.26
2011-05-24,69.00,69.00,67.00,67.65,1720800,62.56
