Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,83.65,83.65,83.65,83.65,000,83.65
2012-12-24,82.10,84.80,82.10,83.65,142200,83.65
2012-12-21,84.70,85.35,83.05,83.95,277700,83.95
2012-12-20,86.50,86.50,84.35,85.15,243700,85.15
2012-12-19,86.25,87.75,85.45,86.15,343100,86.15
2012-12-18,85.55,88.40,83.65,86.25,443000,86.25
2012-12-17,83.55,85.50,83.55,85.00,276100,85.00
2012-12-14,86.05,86.05,83.40,84.00,377300,84.00
2012-12-13,87.10,87.85,84.60,85.75,371400,85.75
2012-12-12,85.60,87.65,84.65,87.10,396900,87.10
2012-12-11,87.50,88.35,84.15,85.25,496500,85.25
2012-12-10,87.45,88.75,85.80,87.30,497000,87.30
2012-12-07,87.70,89.75,85.75,87.80,1220200,87.80
2012-12-06,86.20,87.00,84.55,86.70,573900,86.70
2012-12-05,86.20,87.50,84.80,85.90,833900,85.90
2012-12-04,84.75,86.35,83.70,85.85,1042400,85.85
2012-12-03,81.60,85.40,81.00,84.45,1998000,84.45
2012-11-30,82.00,82.10,80.60,81.55,405900,81.55
2012-11-29,81.10,82.45,81.00,81.45,637400,81.45
2012-11-28,80.70,80.70,80.70,80.70,000,80.70
2012-11-27,79.80,82.30,79.80,80.70,762300,80.70
2012-11-26,80.35,80.80,79.10,79.70,450500,79.70
2012-11-23,80.00,81.65,79.10,80.05,746100,80.05
2012-11-22,79.90,81.40,79.65,80.45,642400,80.45
2012-11-21,79.00,80.65,78.05,79.60,409900,79.60
2012-11-20,80.90,82.50,78.60,79.65,1419500,79.65
2012-11-19,77.35,80.50,76.50,79.90,1394800,79.90
2012-11-16,77.05,78.80,76.50,77.05,671300,77.05
2012-11-15,77.50,77.75,75.80,76.70,344900,76.70
2012-11-14,77.70,77.70,77.70,77.70,000,77.70
2012-11-13,77.70,77.70,77.70,77.70,000,77.70
2012-11-12,80.10,80.10,77.40,77.70,453400,77.70
2012-11-09,79.85,81.40,79.00,79.45,525200,79.45
2012-11-08,79.50,79.85,78.65,79.25,374900,79.25
2012-11-07,79.95,81.25,79.10,80.50,464200,80.50
2012-11-06,78.75,80.10,78.65,79.35,395500,79.35
2012-11-05,80.50,81.50,78.00,80.10,564500,80.10
2012-11-02,79.45,82.10,79.15,80.35,720700,80.35
