Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,103.60,103.60,103.60,103.60,000,103.60
2012-12-24,104.00,105.50,103.15,103.60,1613900,103.60
2012-12-21,110.70,114.00,104.30,104.50,1886400,104.50
2012-12-20,110.00,110.00,108.00,108.75,1144200,108.75
2012-12-19,111.20,111.85,109.05,109.90,1313300,109.90
2012-12-18,110.75,110.90,107.10,110.10,1964500,110.10
2012-12-17,104.60,110.35,104.35,109.00,3424300,109.00
2012-12-14,105.40,105.40,102.45,104.60,2015600,104.60
2012-12-13,107.00,107.75,103.80,104.25,1401200,104.25
2012-12-12,107.00,108.75,105.40,106.05,1532900,106.05
2012-12-11,109.50,111.70,106.50,107.35,1315100,107.35
2012-12-10,112.85,114.05,109.30,110.10,1484700,110.10
2012-12-07,114.00,116.75,112.00,112.85,2637700,112.85
2012-12-06,114.00,115.50,112.00,114.40,1087100,114.40
2012-12-05,113.00,116.50,112.35,113.25,1971500,113.25
2012-12-04,111.90,115.05,111.55,114.55,1828400,114.55
2012-12-03,105.15,111.95,105.15,111.05,1237500,111.05
2012-11-30,106.65,109.85,106.65,108.30,1478300,108.30
2012-11-29,105.25,108.15,104.30,107.20,1216000,107.20
2012-11-28,105.25,105.25,105.25,105.25,000,105.25
2012-11-27,103.95,106.60,103.95,105.25,1567400,105.25
2012-11-26,102.55,104.15,102.45,103.75,868200,103.75
2012-11-23,103.60,104.20,101.50,102.10,1110000,102.10
2012-11-22,106.00,106.00,101.50,103.45,1050300,103.45
2012-11-21,103.05,104.80,100.85,103.90,1227500,103.90
2012-11-20,106.90,107.80,101.85,102.40,1841200,102.40
2012-11-19,107.00,107.75,104.60,105.90,831700,105.90
2012-11-16,108.10,111.00,106.05,106.60,1147700,106.60
2012-11-15,111.40,112.50,108.85,109.45,988900,109.45
2012-11-14,112.45,112.45,112.45,112.45,000,112.45
2012-11-13,112.45,112.45,112.45,112.45,000,112.45
2012-11-12,113.10,113.85,111.15,112.45,617800,112.45
2012-11-09,114.90,115.45,112.20,112.80,736200,112.80
2012-11-08,112.00,114.90,110.60,114.00,1337500,114.00
2012-11-07,114.05,115.90,111.50,112.25,1729400,112.25
2012-11-06,114.40,114.95,111.75,113.75,3090600,113.75
2012-11-05,115.00,119.00,111.10,117.15,1921200,117.15
2012-11-02,115.00,117.25,114.30,115.90,1316100,115.90
2012-11-01,110.80,115.25,109.70,114.75,1276600,114.75
2012-10-31,110.95,111.75,108.00,110.80,846300,110.80
2012-10-30,112.30,113.95,107.10,109.80,980100,109.80
2012-10-29,114.65,114.65,110.80,112.10,753000,112.10
2012-10-26,115.05,115.05,115.05,115.05,000,115.05
2012-10-25,113.70,115.50,111.60,115.05,2212000,115.05
2012-10-24,112.50,112.50,112.50,112.50,000,112.50
2012-10-23,115.40,115.75,111.90,112.50,1692100,112.50
2012-10-22,117.80,118.55,114.75,115.30,1282500,115.30
2012-10-19,121.05,121.35,117.30,118.25,969600,118.25
2012-10-18,120.00,121.50,118.15,120.70,1202900,120.70
2012-10-17,119.50,121.30,116.90,119.30,1404900,119.30
2012-10-16,123.85,123.85,118.00,118.60,955300,118.60
2012-10-15,124.25,124.90,122.25,122.75,801200,122.75
