Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1814.90,1814.90,1814.90,1814.90,000,1814.90
2012-12-24,1822.05,1833.00,1773.00,1814.90,700,1814.90
2012-12-21,1820.00,1839.80,1801.15,1820.65,600,1820.65
2012-12-20,1820.00,1823.00,1801.00,1813.30,1000,1813.30
2012-12-19,1821.10,1840.00,1815.00,1817.05,1800,1817.05
2012-12-18,1814.50,1840.90,1812.00,1831.50,400,1831.50
2012-12-17,1835.00,1845.00,1811.20,1840.30,900,1840.30
2012-12-14,1849.80,1849.80,1812.00,1835.60,1300,1835.60
2012-12-13,1840.00,1857.15,1810.00,1820.80,1500,1820.80
2012-12-12,1854.95,1855.00,1825.00,1833.95,1600,1833.95
2012-12-11,1851.00,1874.95,1825.00,1832.75,16700,1832.75
2012-12-10,1861.00,1869.00,1830.50,1836.20,800,1836.20
2012-12-07,1882.45,1882.45,1830.00,1847.60,800,1847.60
2012-12-06,1885.00,1885.00,1860.00,1872.15,5800,1872.15
2012-12-05,1888.55,1898.05,1843.05,1874.95,70900,1874.95
2012-12-04,1840.00,1900.25,1840.00,1888.60,6100,1888.60
2012-12-03,1850.05,1850.05,1801.00,1837.90,900,1837.90
2012-11-30,1864.95,1880.00,1833.00,1845.85,1000,1845.85
2012-11-29,1830.50,1853.05,1830.45,1849.10,1000,1849.10
2012-11-28,1835.75,1835.75,1835.75,1835.75,000,1835.75
2012-11-27,1872.00,1879.00,1826.20,1835.75,1600,1835.75
2012-11-26,1909.80,1910.00,1850.00,1859.55,1100,1859.55
2012-11-23,1870.00,1919.50,1845.00,1888.60,4700,1888.60
2012-11-22,1850.00,1851.35,1824.00,1834.75,1200,1834.75
2012-11-21,1840.00,1867.00,1785.05,1847.15,3600,1847.15
2012-11-20,1919.95,1919.95,1849.00,1855.85,600,1855.85
2012-11-19,1834.05,1904.00,1813.00,1894.70,8000,1894.70
2012-11-16,1780.00,1874.95,1771.60,1833.65,5200,1833.65
2012-11-15,1795.20,1834.50,1795.15,1825.50,1100,1825.50
2012-11-14,1827.20,1827.20,1827.20,1827.20,000,1827.20
2012-11-13,1827.20,1827.20,1827.20,1827.20,000,1827.20
2012-11-12,1822.80,1839.30,1775.15,1827.20,2200,1827.20
2012-11-09,1785.00,1811.10,1785.00,1804.50,800,1804.50
2012-11-08,1778.20,1815.00,1778.20,1790.30,500,1790.30
2012-11-07,1792.60,1815.00,1792.60,1802.75,400,1802.75
2012-11-06,1781.05,1830.95,1781.05,1810.70,4400,1810.70
2012-11-05,1766.20,1783.95,1760.00,1775.70,12400,1775.70
2012-11-02,1784.00,1785.00,1760.00,1762.00,28200,1762.00
2012-11-01,1757.10,1780.00,1752.55,1758.40,25800,1758.40
2012-10-31,1751.50,1826.60,1750.00,1762.95,6800,1762.95
2012-10-30,1785.60,1799.50,1750.20,1764.10,1300,1764.10
2012-10-29,1800.00,1842.00,1760.00,1798.10,4500,1798.10
2012-10-26,1791.65,1791.65,1791.65,1791.65,000,1791.65
2012-10-25,1780.00,1799.85,1756.00,1791.65,9000,1791.65
2012-10-24,1783.00,1783.00,1783.00,1783.00,000,1783.00
2012-10-23,1800.00,1807.00,1783.00,1783.00,10900,1783.00
2012-10-22,1810.00,1819.95,1784.00,1797.95,1900,1797.95
2012-10-19,1816.00,1845.00,1790.10,1802.25,155200,1802.25
2012-10-18,1790.00,1879.00,1788.95,1843.05,66800,1843.05
2012-10-17,1795.00,1819.00,1773.10,1793.15,9100,1793.15
2012-10-16,1787.00,1798.00,1765.00,1769.95,4000,1769.95
2012-10-15,1781.00,1798.00,1764.05,1793.50,12200,1793.50
2012-10-12,1774.80,1790.65,1748.90,1773.75,61400,1773.75
2012-10-11,1769.95,1780.00,1740.00,1740.30,226900,1740.30
2012-10-10,1815.00,1815.00,1740.00,1758.25,2400,1758.25
2012-10-09,1785.05,1825.00,1775.35,1817.60,4200,1817.60
2012-10-08,1785.00,1794.90,1760.25,1777.45,1100,1777.45
2012-10-05,1803.20,1803.20,1760.00,1770.35,22000,1770.35
2012-10-04,1780.10,1818.90,1780.10,1799.90,11100,1799.90
2012-10-03,1795.60,1812.95,1775.05,1789.30,82300,1789.30
2012-10-02,1787.75,1787.75,1787.75,1787.75,000,1787.75
2012-10-01,1850.00,1850.00,1775.00,1787.75,38800,1787.75
2012-09-28,1729.00,1779.90,1729.00,1763.60,3500,1763.60
2012-09-27,1755.00,1755.00,1726.25,1731.85,1600,1731.85
2012-09-26,1720.55,1749.00,1720.00,1724.25,700,1724.25
2012-09-25,1739.75,1752.05,1720.00,1721.10,1400,1721.10
2012-09-24,1744.80,1744.95,1718.75,1735.15,1400,1735.15
2012-09-21,1681.70,1730.00,1681.70,1715.60,51400,1715.60
2012-09-20,1724.95,1730.00,1675.00,1700.20,800,1700.20
2012-09-19,1705.30,1705.30,1705.30,1705.30,000,1705.30
2012-09-18,1737.95,1739.00,1700.00,1705.30,600,1705.30
2012-09-17,1688.00,1735.00,1688.00,1717.30,3600,1717.30
2012-09-14,1725.00,1725.00,1702.00,1710.35,1500,1710.35
2012-09-13,1675.00,1739.95,1662.25,1711.10,3600,1711.10
2012-09-12,1645.00,1681.00,1645.00,1671.20,1000,1671.20
2012-09-11,1657.00,1684.00,1635.00,1656.30,2500,1656.30
