Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,1601.10,1609.75,1590.50,1591.00,400,1591.00
2012-10-10,1629.95,1630.00,1595.00,1604.00,300,1604.00
2012-10-09,1610.15,1630.00,1610.15,1630.00,600,1630.00
2012-10-05,1422.05,1649.95,1422.05,1615.00,1200,1615.00
2012-10-04,1657.00,1660.00,1630.10,1630.10,900,1630.10
2012-10-03,1654.95,1655.80,1624.10,1630.10,300,1630.10
2012-10-01,1692.80,1692.80,1630.00,1650.00,400,1650.00
2012-09-28,1620.00,1680.00,1596.00,1650.00,9400,1650.00
2012-09-27,1625.45,1640.00,1590.00,1638.20,1000,1638.20
2012-09-25,1600.00,1698.90,1585.05,1640.00,2900,1640.00
2012-09-24,1560.00,1650.00,1531.00,1619.00,2900,1619.00
2012-09-21,1575.05,1588.95,1552.00,1555.10,900,1555.10
2012-09-20,1597.70,1597.70,1550.10,1570.00,700,1570.00
2012-09-18,1572.15,1625.00,1567.10,1575.00,800,1575.00
2012-09-17,1575.05,1609.95,1570.40,1580.00,62400,1580.00
2012-09-14,1699.00,1699.00,1565.15,1580.00,6000,1580.00
2012-09-13,1614.85,1625.00,1587.10,1587.10,1200,1587.10
2012-09-12,1590.00,1604.90,1572.00,1601.35,400,1601.35
2012-09-11,1590.00,1594.80,1561.30,1565.00,500,1565.00
2012-09-10,1600.00,1607.00,1584.10,1600.00,500,1600.00
2012-09-07,1592.25,1612.00,1590.00,1600.10,900,1600.10
2012-09-06,1594.90,1620.00,1571.00,1600.00,1100,1600.00
2012-09-05,1598.85,1598.90,1571.00,1588.85,1300,1588.85
2012-09-03,1590.00,1645.80,1580.00,1610.00,1600,1610.00
2012-08-31,1648.00,1648.00,1576.10,1587.00,1100,1587.00
2012-08-30,1589.95,1599.95,1572.10,1590.00,1800,1590.00
2012-08-29,1580.00,1605.00,1570.00,1600.00,2700,1600.00
2012-08-28,1582.10,1630.00,1582.10,1585.40,2400,1585.40
2012-08-27,1562.05,1634.95,1557.05,1602.10,2000,1602.10
2012-08-24,1561.00,1574.80,1530.00,1561.00,7100,1561.00
2012-08-23,1598.85,1598.85,1551.15,1556.10,1000,1556.10
2012-08-22,1600.00,1639.95,1570.00,1579.60,2300,1579.60
