Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,275.50,275.50,275.50,275.50,000,275.50
2012-12-24,275.00,280.00,271.00,275.50,21400,275.50
2012-12-21,274.00,282.00,272.05,273.25,34300,273.25
2012-12-20,276.05,286.00,274.00,276.45,159800,276.45
2012-12-19,275.35,279.80,272.60,276.35,36400,276.35
2012-12-18,276.85,279.00,273.45,273.95,56600,273.95
2012-12-17,280.00,289.70,273.40,276.05,239300,276.05
2012-12-14,270.10,283.40,269.70,280.30,135300,280.30
2012-12-13,274.00,278.50,270.00,271.60,42500,271.60
2012-12-12,278.70,278.70,272.05,274.60,30600,274.60
2012-12-11,278.65,280.70,272.50,273.35,219300,273.35
2012-12-10,283.50,284.50,275.25,277.55,91700,277.55
2012-12-07,274.00,284.90,274.00,276.40,140400,276.40
2012-12-06,263.80,279.85,262.00,273.80,289500,273.80
2012-12-05,262.70,269.00,258.45,262.35,40200,262.35
2012-12-04,265.75,267.75,258.20,258.35,25600,258.35
2012-12-03,265.70,270.00,262.15,265.00,50300,265.00
2012-11-30,262.00,268.80,260.05,264.35,67400,264.35
2012-11-29,258.75,264.00,256.50,261.50,107800,261.50
2012-11-28,257.90,257.90,257.90,257.90,000,257.90
2012-11-27,253.25,261.00,252.00,257.90,49300,257.90
2012-11-26,250.10,256.80,247.15,254.20,35800,254.20
2012-11-23,249.25,254.00,247.35,250.70,673600,250.70
2012-11-22,250.00,252.75,245.50,251.65,17000,251.65
2012-11-21,252.00,254.80,248.60,250.95,25900,250.95
2012-11-20,255.50,259.95,248.20,250.65,667800,250.65
2012-11-19,253.65,255.90,250.70,253.80,19100,253.80
2012-11-16,255.70,255.70,248.10,252.55,42700,252.55
2012-11-15,257.95,259.90,252.60,254.55,33000,254.55
2012-11-14,257.90,257.90,257.90,257.90,000,257.90
2012-11-13,257.90,257.90,257.90,257.90,000,257.90
2012-11-12,261.85,270.80,256.00,257.90,179900,257.90
2012-11-09,265.00,270.95,260.00,261.15,44200,261.15
2012-11-08,256.00,267.95,255.35,265.05,53400,265.05
2012-11-07,256.00,261.70,254.00,258.50,47300,258.50
2012-11-06,258.50,259.60,252.70,256.15,35700,256.15
2012-11-05,256.70,259.80,255.60,257.75,39200,257.75
2012-11-02,259.00,265.30,254.25,255.80,106900,255.80
2012-11-01,253.80,263.90,251.25,258.85,151400,258.85
2012-10-31,258.00,270.20,246.05,250.05,401700,250.05
2012-10-30,257.25,258.95,243.50,250.00,353600,250.00
2012-10-29,251.90,258.70,251.15,255.95,45600,255.95
