Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,397.25,402.95,396.95,401.75,1547800,401.75
2013-01-22,398.15,403.25,395.90,398.75,2226300,398.75
2013-01-21,401.05,401.80,393.25,397.55,2877900,397.55
2013-01-18,438.00,439.60,395.25,397.35,8013500,397.35
2013-01-17,424.00,436.50,422.40,430.70,3904900,430.70
2013-01-16,421.00,425.00,416.30,419.95,1542300,419.95
2013-01-15,421.50,423.60,417.00,420.95,976900,420.95
2013-01-14,423.05,424.90,417.35,419.15,1580900,419.15
2013-01-11,406.00,422.80,404.55,419.95,4507500,419.95
2013-01-10,398.80,405.80,393.50,395.60,1857400,395.60
2013-01-09,398.25,400.90,393.55,397.05,1438500,397.05
2013-01-08,402.90,404.75,395.60,398.15,1094700,398.15
2013-01-07,403.75,408.50,403.05,404.95,1249600,404.95
2013-01-04,398.90,404.90,397.65,403.65,1699200,403.65
2013-01-03,395.50,399.00,393.85,397.80,1742400,397.80
2013-01-02,398.30,399.25,391.70,393.75,856100,393.75
2013-01-01,396.05,399.00,391.15,396.90,796400,396.90
2012-12-31,393.70,398.50,392.60,394.50,2328100,394.50
2012-12-28,386.15,392.95,386.15,392.05,781500,392.05
2012-12-27,387.50,388.00,382.25,385.50,1349300,385.50
2012-12-26,384.10,385.85,381.55,385.05,716100,385.05
2012-12-25,385.95,385.95,385.95,385.95,000,385.95
2012-12-24,380.15,386.90,380.15,385.95,572400,385.95
2012-12-21,378.30,383.90,377.10,379.45,818300,379.45
2012-12-20,387.50,391.00,379.15,382.05,1187900,382.05
2012-12-19,377.05,387.10,374.55,386.15,935900,386.15
2012-12-18,370.75,379.50,367.95,375.85,1219400,375.85
2012-12-17,377.00,378.00,366.40,370.20,1145700,370.20
2012-12-14,372.35,377.70,372.35,375.95,772000,375.95
2012-12-13,374.80,379.40,372.75,373.60,1035600,373.60
2012-12-12,381.40,385.50,371.70,374.80,1596700,374.80
2012-12-11,384.50,387.90,374.30,379.55,1205900,379.55
2012-12-10,389.85,390.00,381.00,382.10,1212000,382.10
2012-12-07,382.65,382.65,378.50,380.20,844800,380.20
2012-12-06,382.65,383.00,375.20,379.85,1026700,379.85
2012-12-05,388.55,391.15,378.90,380.95,1392600,380.95
2012-12-04,395.10,399.95,385.55,388.10,1058200,388.10
2012-12-03,393.10,397.45,393.00,394.60,1192300,394.60
2012-11-30,385.30,396.00,384.85,393.25,1954600,393.25
2012-11-29,377.55,389.85,377.25,386.35,2879600,386.35
2012-11-28,378.95,378.95,378.95,378.95,000,378.95
2012-11-27,376.00,380.65,375.65,378.95,1851400,378.95
2012-11-26,368.00,376.70,367.00,375.45,1394200,375.45
2012-11-23,372.00,375.65,365.00,366.85,715700,366.85
2012-11-22,368.15,372.60,366.30,370.80,714400,370.80
2012-11-21,361.60,368.00,360.90,366.80,663800,366.80
2012-11-20,361.00,363.80,356.20,361.75,666300,361.75
2012-11-19,358.35,362.40,355.15,358.15,625200,358.15
2012-11-16,361.00,365.80,358.00,359.10,576200,359.10
2012-11-15,368.20,369.35,360.25,361.75,564900,361.75
2012-11-14,368.75,368.75,368.75,368.75,000,368.75
2012-11-13,368.75,368.75,368.75,368.75,000,368.75
2012-11-12,370.20,373.10,367.05,368.75,718900,368.75
2012-11-09,375.45,378.05,369.25,370.80,934700,370.80
2012-11-08,364.90,376.50,295.00,375.40,2353400,375.40
2012-11-07,366.00,371.00,365.55,367.85,1112100,367.85
2012-11-06,362.50,367.35,360.00,366.00,1245000,366.00
2012-11-05,364.95,367.50,360.45,362.50,863100,362.50
2012-11-02,370.00,372.95,358.30,364.60,5104400,364.60
2012-11-01,348.00,366.00,348.00,361.25,6803100,361.25
2012-10-31,348.10,355.25,348.10,350.65,1965600,350.65
2012-10-30,345.25,349.05,341.55,347.55,2785400,347.55
2012-10-29,340.00,345.95,338.00,344.85,1788600,344.85
2012-10-26,340.10,340.10,340.10,340.10,000,340.10
2012-10-25,344.50,348.10,339.20,340.10,3806100,340.10
