Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,183.35,183.35,183.35,183.35,000,183.35
2012-12-24,180.40,184.00,180.40,183.35,100,183.35
2012-12-21,180.55,180.70,180.00,180.30,1400,180.30
2012-12-20,184.00,185.00,180.05,181.50,700,181.50
2012-12-19,184.00,184.00,179.65,180.85,500,180.85
2012-12-18,181.00,182.90,180.00,180.00,3000,180.00
2012-12-17,183.75,183.75,180.00,180.00,1800,180.00
2012-12-14,184.00,184.00,180.00,180.00,3100,180.00
2012-12-13,180.70,180.70,180.00,180.05,000,180.05
2012-12-12,185.00,186.00,180.40,180.85,300,180.85
2012-12-11,182.50,186.00,180.80,181.30,900,181.30
2012-12-10,191.00,191.00,182.50,183.40,500,183.40
2012-12-07,190.00,192.50,183.05,184.55,800,184.55
2012-12-06,198.00,198.00,185.50,189.80,700,189.80
2012-12-05,189.75,193.95,188.50,191.00,200,191.00
2012-12-04,196.00,198.95,185.80,190.00,1100,190.00
2012-12-03,181.00,198.85,181.00,190.90,4100,190.90
2012-11-30,178.30,183.00,178.30,181.80,3600,181.80
2012-11-29,179.15,181.80,177.30,178.40,100,178.40
2012-11-28,180.05,180.05,180.05,180.05,000,180.05
2012-11-27,179.95,182.50,179.95,180.05,1300,180.05
2012-11-26,178.50,183.95,176.50,180.60,5400,180.60
2012-11-23,180.00,182.45,175.00,180.10,1800,180.10
2012-11-22,180.00,180.00,180.00,180.00,000,180.00
2012-11-21,180.00,182.00,178.05,180.00,4100,180.00
2012-11-20,180.00,185.00,176.00,176.35,2700,176.35
2012-11-19,189.00,193.20,179.55,185.00,96300,185.00
2012-11-16,189.00,189.00,181.15,182.85,1900,182.85
2012-11-15,179.85,187.90,179.85,182.35,110200,182.35
2012-11-14,180.00,180.00,180.00,180.00,000,180.00
2012-11-13,180.00,180.00,180.00,180.00,000,180.00
2012-11-12,181.20,183.80,179.00,180.00,900,180.00
2012-11-09,184.95,193.55,178.55,180.70,100,180.70
2012-11-08,180.00,181.00,179.00,179.05,300,179.05
2012-11-07,188.95,188.95,180.90,183.30,900,183.30
2012-11-06,180.05,182.50,179.50,181.15,600,181.15
2012-11-05,181.50,181.50,179.00,180.00,600,180.00
2012-11-02,183.20,187.00,177.05,179.00,1500,179.00
2012-11-01,179.30,180.50,179.30,180.00,600,180.00
2012-10-31,181.80,182.00,178.85,180.95,900,180.95
2012-10-30,178.55,183.75,178.55,181.85,1000,181.85
2012-10-29,182.95,182.95,180.00,180.00,1900,180.00
2012-10-26,181.40,181.40,181.40,181.40,000,181.40
2012-10-25,180.00,183.20,175.00,181.40,2400,181.40
2012-10-24,180.60,180.60,180.60,180.60,000,180.60
2012-10-23,177.30,187.00,176.30,180.60,4500,180.60
2012-10-22,183.90,183.95,176.00,178.65,3900,178.65
2012-10-19,179.00,181.00,176.50,177.05,1000,177.05
2012-10-18,181.00,184.90,179.00,180.80,700,180.80
2012-10-17,177.00,183.90,177.00,179.70,5600,179.70
2012-10-16,179.00,179.90,175.00,175.70,1200,175.70
2012-10-15,184.80,184.80,177.35,179.45,1100,179.45
