Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,494.80,494.80,494.80,494.80,000,494.80
2012-12-24,500.00,548.60,491.50,494.80,11800,494.80
2012-12-21,496.80,499.00,491.20,495.30,44800,495.30
2012-12-20,501.50,501.50,488.00,494.50,37800,494.50
2012-12-19,495.00,506.50,489.20,495.35,40600,495.35
2012-12-18,490.10,495.90,488.60,492.85,39600,492.85
2012-12-17,485.00,496.20,485.00,494.20,58800,494.20
2012-12-14,494.00,494.00,478.00,490.35,43500,490.35
2012-12-13,500.00,500.00,486.10,492.75,22900,492.75
2012-12-12,496.00,497.00,488.00,494.95,17400,494.95
2012-12-11,488.00,500.00,488.00,493.30,81800,493.30
2012-12-10,478.00,489.00,475.00,486.85,60600,486.85
2012-12-07,465.15,476.25,462.70,473.95,39900,473.95
2012-12-06,478.00,478.00,462.00,468.00,27500,468.00
2012-12-05,457.00,476.50,457.00,469.95,46300,469.95
2012-12-04,460.10,464.35,457.00,458.50,7600,458.50
2012-12-03,467.00,470.00,459.50,460.80,11800,460.80
2012-11-30,470.00,470.00,466.55,467.05,4400,467.05
2012-11-29,469.00,473.00,464.00,468.85,13200,468.85
2012-11-28,463.40,463.40,463.40,463.40,000,463.40
2012-11-27,460.30,472.00,460.30,463.40,3800,463.40
2012-11-26,456.00,465.00,456.00,461.70,5500,461.70
2012-11-23,458.95,462.50,457.75,460.20,4100,460.20
2012-11-22,452.00,463.80,452.00,459.95,5000,459.95
2012-11-21,457.80,467.00,445.00,460.85,7700,460.85
2012-11-20,465.80,467.80,457.80,459.35,10600,459.35
2012-11-19,471.50,473.80,461.00,463.80,7900,463.80
2012-11-16,481.00,483.00,468.10,470.00,14300,470.00
2012-11-15,476.00,485.00,472.00,479.55,44600,479.55
2012-11-14,473.15,473.15,473.15,473.15,000,473.15
2012-11-13,473.15,473.15,473.15,473.15,000,473.15
2012-11-12,461.65,477.90,461.00,473.15,22200,473.15
2012-11-09,458.10,461.90,456.00,460.45,25000,460.45
2012-11-08,462.00,465.00,455.50,460.00,80400,460.00
2012-11-07,468.00,475.05,464.00,465.70,33200,465.70
2012-11-06,463.00,467.20,458.00,462.90,17600,462.90
2012-11-05,466.35,471.40,461.10,463.80,11800,463.80
2012-11-02,446.40,468.50,446.40,463.75,15800,463.75
2012-11-01,441.00,452.80,441.00,445.60,19800,445.60
2012-10-31,449.45,449.45,437.00,438.60,11400,438.60
2012-10-30,450.20,457.45,445.00,446.75,8800,446.75
2012-10-29,456.95,459.90,455.00,457.50,12100,457.50
2012-10-26,459.90,459.90,459.90,459.90,000,459.90
2012-10-25,463.45,468.90,458.65,459.90,18700,459.90
2012-10-24,466.20,466.20,466.20,466.20,000,466.20
2012-10-23,485.00,513.65,463.45,466.20,24700,466.20
2012-10-22,452.25,465.95,450.30,463.20,16900,463.20
2012-10-19,457.85,459.80,453.45,456.20,16900,456.20
2012-10-18,460.00,467.00,453.10,460.15,27100,460.15
2012-10-17,458.00,463.35,452.65,458.00,32600,458.00
2012-10-16,449.45,461.90,449.45,455.80,60200,455.80
2012-10-15,436.00,451.85,433.45,447.90,60700,447.90
2012-10-12,428.65,438.50,428.65,436.05,27200,436.05
2012-10-11,428.05,431.95,425.00,428.40,14600,428.40
2012-10-10,429.95,435.40,425.00,426.80,30000,426.80
2012-10-09,427.45,435.45,426.30,428.55,28100,428.55
2012-10-08,425.00,434.00,424.05,425.50,31300,425.50
2012-10-05,419.40,430.00,417.05,423.05,48500,423.05
2012-10-04,417.45,422.85,416.00,419.90,44800,419.90
2012-10-03,413.00,424.00,413.00,415.85,46000,415.85
2012-10-02,413.00,413.00,413.00,413.00,000,413.00
2012-10-01,415.50,418.85,410.00,413.00,15900,413.00
2012-09-28,404.00,420.00,404.00,413.45,43700,413.45
2012-09-27,407.00,411.90,403.55,409.45,25200,409.45
2012-09-26,398.05,412.00,396.30,402.00,45000,402.00
2012-09-25,403.65,403.65,396.10,397.90,12900,397.90
2012-09-24,401.10,408.70,396.00,398.90,21600,398.90
2012-09-21,401.00,406.90,401.00,405.35,19200,405.35
2012-09-20,400.05,406.60,396.65,398.80,15900,398.80
2012-09-19,404.15,404.15,404.15,404.15,000,404.15
2012-09-18,404.05,409.50,400.25,404.15,21300,404.15
2012-09-17,414.70,414.70,400.00,404.25,29000,404.25
2012-09-14,417.50,424.50,408.00,409.90,102600,409.90
2012-09-13,395.50,415.00,394.00,412.30,197800,412.30
2012-09-12,396.95,408.80,391.00,393.45,65800,393.45
2012-09-11,396.20,397.05,392.00,393.70,26800,393.70
2012-09-10,397.05,398.70,392.45,393.65,17300,393.65
2012-09-07,396.40,398.95,394.00,396.70,59600,396.70
2012-09-06,395.85,396.80,392.50,394.55,19000,394.55
2012-09-05,395.10,397.80,392.10,394.25,14400,394.25
2012-09-04,393.20,398.95,393.05,394.20,62700,394.20
2012-09-03,393.90,399.30,392.05,393.70,15500,393.70
2012-08-31,394.00,400.40,390.25,391.80,38000,391.80
2012-08-30,390.10,397.85,389.00,391.95,11600,391.95
2012-08-29,404.70,408.60,390.10,392.00,31200,392.00
2012-08-28,390.10,407.40,390.10,404.00,50700,404.00
2012-08-27,393.45,402.95,392.55,393.70,20200,393.70
2012-08-24,399.90,399.90,390.25,393.20,14600,393.20
2012-08-23,405.25,411.00,396.00,399.30,40400,399.30
2012-08-22,398.00,409.90,394.95,403.25,36300,403.25
2012-08-21,393.95,401.85,386.20,394.35,32200,394.35
2012-08-20,389.95,389.95,389.95,389.95,000,389.95
2012-08-17,398.00,404.00,387.05,389.95,55700,389.95
2012-08-16,405.30,413.00,396.00,398.65,42800,398.65
2012-08-15,404.50,404.50,404.50,404.50,000,404.50
2012-08-14,415.05,423.00,336.00,404.50,60600,404.50
2012-08-13,424.60,428.50,418.00,419.60,28300,419.60
2012-08-10,419.90,439.00,419.30,424.50,235400,424.50
2012-08-09,417.10,430.65,417.00,419.00,58700,419.00
2012-08-08,419.40,421.85,415.50,416.90,9600,416.90
2012-08-07,418.80,428.40,416.10,418.65,41300,418.65
2012-08-06,423.55,426.75,418.05,418.90,16900,418.90
2012-08-03,423.75,426.40,417.05,419.35,18500,419.35
